,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-15T00:38:42.480+03:00,   0.177E+00,   0.17678
      2,2021-05-15T00:38:42.590+03:00,   0.177E+00,   0.35355
      3,2021-05-15T00:38:42.700+03:00,   0.177E+00,   0.53033
      4,2021-05-15T00:38:42.840+03:00,   0.177E+00,   0.70711
      5,2021-05-15T00:38:42.934+03:00,   0.177E+00,   0.88388
      6,2021-05-15T00:38:43.043+03:00,   0.177E+00,   1.06066
      7,2021-05-15T00:38:43.184+03:00,   0.177E+00,   1.23744
      8,2021-05-15T00:38:43.294+03:00,   0.177E+00,   1.41421
      9,2021-05-15T00:38:43.418+03:00,   0.177E+00,   1.59099
     10,2021-05-15T00:38:43.559+03:00,   0.177E+00,   1.76777
     20,2021-05-15T00:38:44.906+03:00,   0.177E+00,   3.53553
     30,2021-05-15T00:38:46.378+03:00,   0.177E+00,   5.30330
     40,2021-05-15T00:38:47.846+03:00,   0.177E+00,   7.07107
     50,2021-05-15T00:38:49.258+03:00,   0.177E+00,   8.83883
     60,2021-05-15T00:38:50.730+03:00,   0.177E+00,  10.60660
     70,2021-05-15T00:38:52.201+03:00,   0.177E+00,  12.37437
     80,2021-05-15T00:38:53.608+03:00,   0.177E+00,  14.14214
     90,2021-05-15T00:38:55.013+03:00,   0.177E+00,  15.90990
    100,2021-05-15T00:38:56.483+03:00,   0.177E+00,  17.67767
    200,2021-05-15T00:39:13.241+03:00,   0.882E-01,  31.46872
    300,2021-05-15T00:39:34.895+03:00,   0.882E-01,  40.29336
    400,2021-05-15T00:40:02.233+03:00,   0.882E-01,  49.11801
    500,2021-05-15T00:40:28.230+03:00,   0.882E-01,  57.94265
    600,2021-05-15T00:40:53.086+03:00,   0.870E-01,  66.42730
    700,2021-05-15T00:41:19.242+03:00,   0.870E-01,  75.13079
    800,2021-05-15T00:41:45.773+03:00,   0.870E-01,  83.83429
    900,2021-05-15T00:42:12.581+03:00,   0.870E-01,  92.53778
   1000,2021-05-15T00:42:39.327+03:00,   0.870E-01, 101.24127
   1100,2021-05-15T00:43:06.497+03:00,   0.870E-01, 109.94477
   1200,2021-05-15T00:43:33.366+03:00,   0.940E-01, 119.10851
   1300,2021-05-15T00:44:00.476+03:00,   0.927E-01, 128.30564
   1400,2021-05-15T00:44:27.414+03:00,   0.913E-01, 137.28764
   1500,2021-05-15T00:44:54.215+03:00,   0.819E-01, 145.83592
   1600,2021-05-15T00:45:23.806+03:00,   0.883E-01, 154.56931
   1700,2021-05-15T00:45:50.569+03:00,   0.883E-01, 163.39505
   1800,2021-05-15T00:46:17.407+03:00,   0.947E-01, 172.65214
   1900,2021-05-15T00:46:45.398+03:00,   0.916E-01, 181.72274
   2000,2021-05-15T00:47:12.815+03:00,   0.927E-01, 190.66107
   2100,2021-05-15T00:47:40.064+03:00,   0.892E-01, 200.12574
   2200,2021-05-15T00:48:07.520+03:00,   0.962E-01, 209.19553
   2300,2021-05-15T00:48:34.372+03:00,   0.945E-01, 218.50045
   2400,2021-05-15T00:49:01.811+03:00,   0.847E-01, 227.54578
   2500,2021-05-15T00:49:29.164+03:00,   0.891E-01, 236.65371
   2600,2021-05-15T00:49:56.706+03:00,   0.945E-01, 245.84577
   2700,2021-05-15T00:50:24.334+03:00,   0.101E+00, 254.89091
   2800,2021-05-15T00:50:51.430+03:00,   0.982E-01, 264.20534
   2900,2021-05-15T00:51:18.441+03:00,   0.877E-01, 273.09302
   3000,2021-05-15T00:51:48.667+03:00,   0.953E-01, 282.50959
   3100,2021-05-15T00:52:15.423+03:00,   0.942E-01, 291.66391
   3200,2021-05-15T00:52:42.233+03:00,   0.942E-01, 301.08491
   3300,2021-05-15T00:53:09.019+03:00,   0.942E-01, 310.50592
   3400,2021-05-15T00:53:36.105+03:00,   0.942E-01, 319.92693
   3500,2021-05-15T00:54:02.843+03:00,   0.942E-01, 329.34793
   3600,2021-05-15T00:54:29.503+03:00,   0.922E-01, 338.48784
