,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-10-14T22:31:26.009+03:00,   0.177E+00,   0.17678
      2,2020-10-14T22:31:26.118+03:00,   0.177E+00,   0.35355
      3,2020-10-14T22:31:26.243+03:00,   0.177E+00,   0.53033
      4,2020-10-14T22:31:26.399+03:00,   0.177E+00,   0.70711
      5,2020-10-14T22:31:26.509+03:00,   0.177E+00,   0.88388
      6,2020-10-14T22:31:26.649+03:00,   0.177E+00,   1.06066
      7,2020-10-14T22:31:26.821+03:00,   0.177E+00,   1.23744
      8,2020-10-14T22:31:26.962+03:00,   0.177E+00,   1.41421
      9,2020-10-14T22:31:27.087+03:00,   0.177E+00,   1.59099
     10,2020-10-14T22:31:27.243+03:00,   0.177E+00,   1.76777
     20,2020-10-14T22:31:28.571+03:00,   0.177E+00,   3.53553
     30,2020-10-14T22:31:29.993+03:00,   0.177E+00,   5.30330
     40,2020-10-14T22:31:31.274+03:00,   0.177E+00,   7.07107
     50,2020-10-14T22:31:32.664+03:00,   0.177E+00,   8.83883
     60,2020-10-14T22:31:33.945+03:00,   0.177E+00,  10.60660
     70,2020-10-14T22:31:35.320+03:00,   0.177E+00,  12.37437
     80,2020-10-14T22:31:36.695+03:00,   0.177E+00,  14.14214
     90,2020-10-14T22:31:38.086+03:00,   0.177E+00,  15.90990
    100,2020-10-14T22:31:39.507+03:00,   0.177E+00,  17.67767
    200,2020-10-14T22:31:53.021+03:00,   0.834E-01,  31.53105
    300,2020-10-14T22:32:05.926+03:00,   0.888E-01,  40.36896
    400,2020-10-14T22:32:19.174+03:00,   0.888E-01,  49.24540
    500,2020-10-14T22:32:32.845+03:00,   0.799E-01,  57.56172
    600,2020-10-14T22:32:46.656+03:00,   0.879E-01,  65.94843
    700,2020-10-14T22:33:00.498+03:00,   0.879E-01,  74.73452
    800,2020-10-14T22:33:14.184+03:00,   0.935E-01,  83.37540
    900,2020-10-14T22:33:27.886+03:00,   0.841E-01,  92.07712
   1000,2020-10-14T22:33:41.650+03:00,   0.925E-01, 100.88430
   1100,2020-10-14T22:33:55.429+03:00,   0.911E-01, 109.73342
   1200,2020-10-14T22:34:09.240+03:00,   0.911E-01, 118.84705
   1300,2020-10-14T22:34:23.098+03:00,   0.911E-01, 127.96067
   1400,2020-10-14T22:34:37.003+03:00,   0.897E-01, 136.78061
   1500,2020-10-14T22:34:50.996+03:00,   0.897E-01, 145.75500
   1600,2020-10-14T22:35:04.994+03:00,   0.791E-01, 154.60214
   1700,2020-10-14T22:35:18.868+03:00,   0.871E-01, 163.17289
   1800,2020-10-14T22:35:32.819+03:00,   0.871E-01, 171.87819
   1900,2020-10-14T22:35:46.755+03:00,   0.933E-01, 180.70316
   2000,2020-10-14T22:36:00.535+03:00,   0.933E-01, 190.03243
   2100,2020-10-14T22:36:14.518+03:00,   0.799E-01, 198.81794
   2200,2020-10-14T22:36:28.579+03:00,   0.879E-01, 207.14221
   2300,2020-10-14T22:36:42.578+03:00,   0.863E-01, 215.80768
   2400,2020-10-14T22:36:56.607+03:00,   0.751E-01, 224.86054
   2500,2020-10-14T22:37:10.543+03:00,   0.909E-01, 233.89501
   2600,2020-10-14T22:37:24.432+03:00,   0.909E-01, 242.98583
   2700,2020-10-14T22:37:38.212+03:00,   0.898E-01, 251.94165
   2800,2020-10-14T22:37:52.382+03:00,   0.861E-01, 261.17881
   2900,2020-10-14T22:38:06.357+03:00,   0.927E-01, 270.34839
   3000,2020-10-14T22:38:20.309+03:00,   0.927E-01, 279.61867
   3100,2020-10-14T22:38:34.323+03:00,   0.821E-01, 288.87837
   3200,2020-10-14T22:38:48.087+03:00,   0.953E-01, 297.69349
   3300,2020-10-14T22:39:01.945+03:00,   0.920E-01, 306.73045
   3400,2020-10-14T22:39:15.881+03:00,   0.887E-01, 315.36561
   3500,2020-10-14T22:39:29.817+03:00,   0.876E-01, 324.38321
   3600,2020-10-14T22:39:43.722+03:00,   0.945E-01, 333.75676
   3700,2020-10-14T22:39:57.814+03:00,   0.839E-01, 343.04786
   3800,2020-10-14T22:40:11.765+03:00,   0.923E-01, 351.51291
   3900,2020-10-14T22:40:25.592+03:00,   0.899E-01, 360.36116
   4000,2020-10-14T22:40:39.419+03:00,   0.899E-01, 369.35501
   4100,2020-10-14T22:40:53.152+03:00,   0.899E-01, 378.34885
   4200,2020-10-14T22:41:06.931+03:00,   0.886E-01, 387.38906
   4300,2020-10-14T22:41:20.945+03:00,   0.945E-01, 396.44565
   4400,2020-10-14T22:41:34.725+03:00,   0.837E-01, 405.20535
   4500,2020-10-14T22:41:48.458+03:00,   0.921E-01, 414.35365
   4600,2020-10-14T22:42:02.363+03:00,   0.911E-01, 423.32582
   4700,2020-10-14T22:42:16.205+03:00,   0.911E-01, 432.43263
   4800,2020-10-14T22:42:30.032+03:00,   0.946E-01, 441.56966
   4900,2020-10-14T22:42:44.171+03:00,   0.101E+00, 450.58514
   5000,2020-10-14T22:42:58.091+03:00,   0.103E+00, 459.91823
   5100,2020-10-14T22:43:11.965+03:00,   0.816E-01, 469.32588
   5200,2020-10-14T22:43:25.838+03:00,   0.886E-01, 478.32273
   5300,2020-10-14T22:43:39.774+03:00,   0.938E-01, 487.25810
   5400,2020-10-14T22:43:53.616+03:00,   0.841E-01, 496.59547
   5500,2020-10-14T22:44:07.459+03:00,   0.925E-01, 505.49794
   5600,2020-10-14T22:44:21.176+03:00,   0.910E-01, 514.11709
   5700,2020-10-14T22:44:35.081+03:00,   0.910E-01, 523.21579
   5800,2020-10-14T22:44:49.048+03:00,   0.910E-01, 532.31448
   5900,2020-10-14T22:45:02.881+03:00,   0.812E-01, 541.19817
   6000,2020-10-14T22:45:16.801+03:00,   0.802E-01, 550.05011
   6100,2020-10-14T22:45:30.706+03:00,   0.871E-01, 558.99413
   6200,2020-10-14T22:45:44.642+03:00,   0.958E-01, 568.42508
   6300,2020-10-14T22:45:58.500+03:00,   0.925E-01, 577.61015
   6400,2020-10-14T22:46:12.514+03:00,   0.876E-01, 586.74435
   6500,2020-10-14T22:46:26.497+03:00,   0.901E-01, 595.87482
   6600,2020-10-14T22:46:40.355+03:00,   0.889E-01, 604.64752
   6700,2020-10-14T22:46:54.182+03:00,   0.873E-01, 613.61949
   6800,2020-10-14T22:47:07.961+03:00,   0.961E-01, 622.80544
   6900,2020-10-14T22:47:21.788+03:00,   0.936E-01, 632.13558
   7000,2020-10-14T22:47:35.599+03:00,   0.838E-01, 641.29882
   7100,2020-10-14T22:47:49.410+03:00,   0.921E-01, 650.40365
   7200,2020-10-14T22:48:03.315+03:00,   0.903E-01, 659.44373
   7300,2020-10-14T22:48:17.282+03:00,   0.937E-01, 668.07604
   7400,2020-10-14T22:48:31.296+03:00,   0.990E-01, 677.14281
   7500,2020-10-14T22:48:45.310+03:00,   0.980E-01, 686.46392
   7600,2020-10-14T22:48:59.199+03:00,   0.967E-01, 695.66069
   7700,2020-10-14T22:49:13.041+03:00,   0.936E-01, 705.09819
   7800,2020-10-14T22:49:26.931+03:00,   0.897E-01, 714.26179
   7900,2020-10-14T22:49:40.992+03:00,   0.969E-01, 723.62958
   8000,2020-10-14T22:49:55.240+03:00,   0.984E-01, 732.97731
   8100,2020-10-14T22:50:09.160+03:00,   0.847E-01, 742.29485
   8200,2020-10-14T22:50:22.940+03:00,   0.847E-01, 750.76314
   8300,2020-10-14T22:50:36.861+03:00,   0.932E-01, 759.66331
   8400,2020-10-14T22:50:50.687+03:00,   0.921E-01, 768.62788
   8500,2020-10-14T22:51:04.717+03:00,   0.810E-01, 778.26352
   8600,2020-10-14T22:51:18.840+03:00,   0.937E-01, 787.12393
   8700,2020-10-14T22:51:32.651+03:00,   0.918E-01, 796.18574
   8800,2020-10-14T22:51:46.540+03:00,   0.918E-01, 805.36911
   8900,2020-10-14T22:52:00.492+03:00,   0.850E-01, 814.65865
   9000,2020-10-14T22:52:14.475+03:00,   0.956E-01, 823.87088
   9100,2020-10-14T22:52:28.380+03:00,   0.906E-01, 832.74636
   9200,2020-10-14T22:52:42.269+03:00,   0.814E-01, 841.69355
   9300,2020-10-14T22:52:56.236+03:00,   0.850E-01, 850.88241
   9400,2020-10-14T22:53:10.156+03:00,   0.935E-01, 859.58295
   9500,2020-10-14T22:53:24.280+03:00,   0.867E-01, 868.56460
   9600,2020-10-14T22:53:38.075+03:00,   0.926E-01, 877.73969
