,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-10-16T17:42:40.174+03:00,   0.177E+00,   0.17678
      2,2020-10-16T17:42:40.424+03:00,   0.177E+00,   0.35355
      3,2020-10-16T17:42:40.642+03:00,   0.177E+00,   0.53033
      4,2020-10-16T17:42:40.970+03:00,   0.177E+00,   0.70711
      5,2020-10-16T17:42:41.205+03:00,   0.177E+00,   0.88388
      6,2020-10-16T17:42:41.455+03:00,   0.177E+00,   1.06066
      7,2020-10-16T17:42:41.736+03:00,   0.177E+00,   1.23744
      8,2020-10-16T17:42:41.955+03:00,   0.177E+00,   1.41421
      9,2020-10-16T17:42:42.158+03:00,   0.177E+00,   1.59099
     10,2020-10-16T17:42:42.486+03:00,   0.177E+00,   1.76777
     20,2020-10-16T17:42:44.642+03:00,   0.177E+00,   3.53553
     30,2020-10-16T17:42:46.767+03:00,   0.177E+00,   5.30330
     40,2020-10-16T17:42:49.079+03:00,   0.177E+00,   7.07107
     50,2020-10-16T17:42:51.344+03:00,   0.177E+00,   8.83883
     60,2020-10-16T17:42:53.985+03:00,   0.177E+00,  10.60660
     70,2020-10-16T17:42:56.375+03:00,   0.177E+00,  12.37437
     80,2020-10-16T17:42:58.656+03:00,   0.177E+00,  14.14214
     90,2020-10-16T17:43:00.859+03:00,   0.177E+00,  15.90990
    100,2020-10-16T17:43:03.406+03:00,   0.177E+00,  17.67767
    200,2020-10-16T17:43:25.200+03:00,   0.104E+00,  32.52920
    300,2020-10-16T17:43:46.167+03:00,   0.100E+00,  43.38261
    400,2020-10-16T17:44:07.242+03:00,   0.120E+00,  54.83259
    500,2020-10-16T17:44:28.771+03:00,   0.132E+00,  67.17496
    600,2020-10-16T17:44:52.543+03:00,   0.130E+00,  81.47442
    700,2020-10-16T17:45:14.707+03:00,   0.121E+00,  94.61374
    800,2020-10-16T17:45:36.111+03:00,   0.111E+00, 107.54241
    900,2020-10-16T17:45:57.265+03:00,   0.135E+00, 120.59904
   1000,2020-10-16T17:46:19.137+03:00,   0.133E+00, 134.16564
   1100,2020-10-16T17:46:40.244+03:00,   0.131E+00, 147.19397
   1200,2020-10-16T17:47:01.320+03:00,   0.131E+00, 160.26673
   1300,2020-10-16T17:47:22.255+03:00,   0.144E+00, 173.61402
   1400,2020-10-16T17:47:43.909+03:00,   0.135E+00, 187.04984
   1500,2020-10-16T17:48:05.251+03:00,   0.124E+00, 200.35336
   1600,2020-10-16T17:48:26.613+03:00,   0.134E+00, 213.63849
   1700,2020-10-16T17:48:47.796+03:00,   0.126E+00, 226.70189
   1800,2020-10-16T17:49:09.325+03:00,   0.125E+00, 239.89396
   1900,2020-10-16T17:49:31.236+03:00,   0.131E+00, 253.10594
   2000,2020-10-16T17:49:52.607+03:00,   0.129E+00, 266.49916
   2100,2020-10-16T17:50:13.870+03:00,   0.129E+00, 279.44001
   2200,2020-10-16T17:50:35.225+03:00,   0.129E+00, 292.38086
   2300,2020-10-16T17:50:56.535+03:00,   0.129E+00, 305.32170
   2400,2020-10-16T17:51:17.921+03:00,   0.125E+00, 318.44719
