,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-10-16T17:40:02.761+03:00,   0.177E+00,   0.17678
      2,2020-10-16T17:40:02.886+03:00,   0.177E+00,   0.35355
      3,2020-10-16T17:40:03.011+03:00,   0.177E+00,   0.53033
      4,2020-10-16T17:40:03.183+03:00,   0.177E+00,   0.70711
      5,2020-10-16T17:40:03.308+03:00,   0.177E+00,   0.88388
      6,2020-10-16T17:40:03.417+03:00,   0.177E+00,   1.06066
      7,2020-10-16T17:40:03.620+03:00,   0.177E+00,   1.23744
      8,2020-10-16T17:40:03.761+03:00,   0.177E+00,   1.41421
      9,2020-10-16T17:40:03.886+03:00,   0.177E+00,   1.59099
     10,2020-10-16T17:40:04.058+03:00,   0.177E+00,   1.76777
     20,2020-10-16T17:40:05.339+03:00,   0.177E+00,   3.53553
     30,2020-10-16T17:40:06.673+03:00,   0.177E+00,   5.30330
     40,2020-10-16T17:40:08.063+03:00,   0.177E+00,   7.07107
     50,2020-10-16T17:40:09.454+03:00,   0.177E+00,   8.83883
     60,2020-10-16T17:40:10.813+03:00,   0.177E+00,  10.60660
     70,2020-10-16T17:40:12.266+03:00,   0.177E+00,  12.37437
     80,2020-10-16T17:40:13.656+03:00,   0.177E+00,  14.14214
     90,2020-10-16T17:40:15.094+03:00,   0.177E+00,  15.90990
    100,2020-10-16T17:40:16.547+03:00,   0.177E+00,  17.67767
    200,2020-10-16T17:40:30.164+03:00,   0.883E-01,  31.42560
    300,2020-10-16T17:40:44.866+03:00,   0.862E-01,  39.79788
    400,2020-10-16T17:41:00.344+03:00,   0.862E-01,  48.42152
    500,2020-10-16T17:41:17.921+03:00,   0.775E-01,  57.02766
    600,2020-10-16T17:41:32.909+03:00,   0.852E-01,  65.51187
    700,2020-10-16T17:41:47.345+03:00,   0.852E-01,  74.03482
    800,2020-10-16T17:42:01.202+03:00,   0.852E-01,  82.55777
    900,2020-10-16T17:42:15.194+03:00,   0.852E-01,  91.08072
   1000,2020-10-16T17:42:30.062+03:00,   0.852E-01,  99.60367
   1100,2020-10-16T17:42:51.235+03:00,   0.852E-01, 108.12662
   1200,2020-10-16T17:43:14.373+03:00,   0.852E-01, 116.64957
   1300,2020-10-16T17:43:35.355+03:00,   0.852E-01, 125.17252
   1400,2020-10-16T17:43:56.072+03:00,   0.852E-01, 133.69547
   1500,2020-10-16T17:44:17.194+03:00,   0.843E-01, 142.09372
   1600,2020-10-16T17:44:40.091+03:00,   0.843E-01, 150.52317
   1700,2020-10-16T17:45:02.901+03:00,   0.843E-01, 158.95262
   1800,2020-10-16T17:45:24.096+03:00,   0.843E-01, 167.38207
   1900,2020-10-16T17:45:45.235+03:00,   0.843E-01, 175.81152
   2000,2020-10-16T17:46:06.170+03:00,   0.843E-01, 184.24097
   2100,2020-10-16T17:46:27.636+03:00,   0.843E-01, 192.67042
   2200,2020-10-16T17:46:48.540+03:00,   0.843E-01, 201.09987
   2300,2020-10-16T17:47:09.569+03:00,   0.843E-01, 209.52932
   2400,2020-10-16T17:47:30.301+03:00,   0.843E-01, 217.95877
   2500,2020-10-16T17:47:51.502+03:00,   0.843E-01, 226.38822
   2600,2020-10-16T17:48:12.406+03:00,   0.843E-01, 234.81767
   2700,2020-10-16T17:48:33.347+03:00,   0.843E-01, 243.24712
   2800,2020-10-16T17:48:54.498+03:00,   0.843E-01, 251.67657
   2900,2020-10-16T17:49:15.978+03:00,   0.843E-01, 260.10602
   3000,2020-10-16T17:49:37.345+03:00,   0.843E-01, 268.53547
   3100,2020-10-16T17:49:58.606+03:00,   0.843E-01, 276.96492
   3200,2020-10-16T17:50:19.774+03:00,   0.843E-01, 285.39437
   3300,2020-10-16T17:50:40.896+03:00,   0.843E-01, 293.82382
   3400,2020-10-16T17:51:02.191+03:00,   0.843E-01, 302.25327
   3500,2020-10-16T17:51:23.233+03:00,   0.843E-01, 310.68272
   3600,2020-10-16T17:51:44.121+03:00,   0.843E-01, 319.11217
   3700,2020-10-16T17:52:05.072+03:00,   0.843E-01, 327.54162
   3800,2020-10-16T17:52:26.116+03:00,   0.843E-01, 335.97107
   3900,2020-10-16T17:52:47.395+03:00,   0.843E-01, 344.40052
   4000,2020-10-16T17:53:08.253+03:00,   0.823E-01, 352.89139
   4100,2020-10-16T17:53:29.250+03:00,   0.878E-01, 361.41081
   4200,2020-10-16T17:53:50.123+03:00,   0.864E-01, 369.96227
   4300,2020-10-16T17:54:11.089+03:00,   0.864E-01, 378.59869
   4400,2020-10-16T17:54:32.306+03:00,   0.848E-01, 387.08969
   4500,2020-10-16T17:54:53.679+03:00,   0.848E-01, 395.56842
   4600,2020-10-16T17:55:15.192+03:00,   0.848E-01, 404.04714
   4700,2020-10-16T17:55:36.127+03:00,   0.848E-01, 412.52586
   4800,2020-10-16T17:55:57.047+03:00,   0.848E-01, 421.00458
   4900,2020-10-16T17:56:18.185+03:00,   0.848E-01, 429.48330
   5000,2020-10-16T17:56:38.995+03:00,   0.848E-01, 437.96202
   5100,2020-10-16T17:57:00.056+03:00,   0.848E-01, 446.44075
   5200,2020-10-16T17:57:21.100+03:00,   0.848E-01, 454.91947
   5300,2020-10-16T17:57:42.035+03:00,   0.848E-01, 463.39819
   5400,2020-10-16T17:58:02.611+03:00,   0.848E-01, 471.87691
