,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-12-07T07:34:17.683+02:00,   0.286E-01,   0.02864
      2,2020-12-07T07:34:17.854+02:00,   0.315E-01,   0.06014
      3,2020-12-07T07:34:18.042+02:00,   0.347E-01,   0.09479
      4,2020-12-07T07:34:18.276+02:00,   0.347E-01,   0.12945
      5,2020-12-07T07:34:18.432+02:00,   0.347E-01,   0.16410
      6,2020-12-07T07:34:18.604+02:00,   0.347E-01,   0.19875
      7,2020-12-07T07:34:18.823+02:00,   0.347E-01,   0.23341
      8,2020-12-07T07:34:19.042+02:00,   0.307E-01,   0.26413
      9,2020-12-07T07:34:19.214+02:00,   0.307E-01,   0.29486
     10,2020-12-07T07:34:19.432+02:00,   0.307E-01,   0.32558
     20,2020-12-07T07:34:20.880+02:00,   0.307E-01,   0.63284
     30,2020-12-07T07:34:22.376+02:00,   0.307E-01,   0.94010
     40,2020-12-07T07:34:24.051+02:00,   0.236E-01,   1.19012
     50,2020-12-07T07:34:25.662+02:00,   0.207E-01,   1.39685
     60,2020-12-07T07:34:27.303+02:00,   0.204E-01,   1.59035
     70,2020-12-07T07:34:28.818+02:00,   0.204E-01,   1.79404
     80,2020-12-07T07:34:30.443+02:00,   0.177E-01,   1.99245
     90,2020-12-07T07:34:32.130+02:00,   0.158E-01,   2.16579
    100,2020-12-07T07:34:33.677+02:00,   0.173E-01,   2.32825
    200,2020-12-07T07:34:51.331+02:00,   0.249E-01,   4.40298
    300,2020-12-07T07:35:20.956+02:00,   0.246E-01,   6.82817
    400,2020-12-07T07:35:54.714+02:00,   0.187E-01,   8.71868
    500,2020-12-07T07:36:25.468+02:00,   0.235E-01,  11.01545
    600,2020-12-07T07:36:52.580+02:00,   0.234E-01,  13.23866
    700,2020-12-07T07:37:18.667+02:00,   0.251E-01,  15.38229
    800,2020-12-07T07:37:44.881+02:00,   0.233E-01,  17.68672
    900,2020-12-07T07:38:09.541+02:00,   0.217E-01,  20.04115
   1000,2020-12-07T07:38:34.460+02:00,   0.205E-01,  22.18126
   1100,2020-12-07T07:38:59.441+02:00,   0.219E-01,  24.55541
   1200,2020-12-07T07:39:24.345+02:00,   0.255E-01,  26.75486
   1300,2020-12-07T07:39:49.452+02:00,   0.186E-01,  29.16663
   1400,2020-12-07T07:40:14.933+02:00,   0.212E-01,  31.25264
   1500,2020-12-07T07:40:40.243+02:00,   0.229E-01,  33.53955
   1600,2020-12-07T07:41:05.693+02:00,   0.242E-01,  35.73358
   1700,2020-12-07T07:41:30.863+02:00,   0.222E-01,  37.96261
   1800,2020-12-07T07:41:55.807+02:00,   0.231E-01,  40.31607
   1900,2020-12-07T07:42:21.211+02:00,   0.200E-01,  42.39190
   2000,2020-12-07T07:42:46.255+02:00,   0.252E-01,  44.52158
   2100,2020-12-07T07:43:11.471+02:00,   0.190E-01,  46.59297
   2200,2020-12-07T07:43:36.625+02:00,   0.202E-01,  48.75985
