,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-11-03T22:25:21.174+02:00,   0.325E-01,   0.03246
      2,2020-11-03T22:25:21.549+02:00,   0.357E-01,   0.06818
      3,2020-11-03T22:25:21.940+02:00,   0.393E-01,   0.10746
      4,2020-11-03T22:25:22.424+02:00,   0.393E-01,   0.14674
      5,2020-11-03T22:25:22.799+02:00,   0.393E-01,   0.18602
      6,2020-11-03T22:25:23.189+02:00,   0.393E-01,   0.22531
      7,2020-11-03T22:25:23.658+02:00,   0.393E-01,   0.26459
      8,2020-11-03T22:25:24.049+02:00,   0.393E-01,   0.30387
      9,2020-11-03T22:25:24.424+02:00,   0.393E-01,   0.34315
     10,2020-11-03T22:25:24.892+02:00,   0.393E-01,   0.38243
     20,2020-11-03T22:25:28.314+02:00,   0.268E-01,   0.70105
     30,2020-11-03T22:25:31.485+02:00,   0.268E-01,   0.96921
     40,2020-11-03T22:25:34.766+02:00,   0.241E-01,   1.20975
     50,2020-11-03T22:25:37.735+02:00,   0.241E-01,   1.45029
     60,2020-11-03T22:25:40.766+02:00,   0.241E-01,   1.69082
     70,2020-11-03T22:25:43.998+02:00,   0.216E-01,   1.91406
     80,2020-11-03T22:25:46.966+02:00,   0.216E-01,   2.12989
     90,2020-11-03T22:25:49.966+02:00,   0.216E-01,   2.34572
    100,2020-11-03T22:25:53.106+02:00,   0.216E-01,   2.56155
    200,2020-11-03T22:26:24.528+02:00,   0.194E-01,   4.50415
    300,2020-11-03T22:27:11.619+02:00,   0.194E-01,   6.44457
    400,2020-11-03T22:27:43.468+02:00,   0.194E-01,   8.38500
    500,2020-11-03T22:28:15.693+02:00,   0.194E-01,  10.32542
    600,2020-11-03T22:28:48.087+02:00,   0.194E-01,  12.26584
    700,2020-11-03T22:29:20.341+02:00,   0.194E-01,  14.20627
    800,2020-11-03T22:29:52.505+02:00,   0.194E-01,  16.14669
    900,2020-11-03T22:30:24.845+02:00,   0.194E-01,  18.08711
   1000,2020-11-03T22:30:56.389+02:00,   0.170E-01,  19.77998
   1100,2020-11-03T22:31:27.901+02:00,   0.170E-01,  21.47876
   1200,2020-11-03T22:31:59.413+02:00,   0.170E-01,  23.17754
   1300,2020-11-03T22:32:31.925+02:00,   0.107E-01,  24.66258
   1400,2020-11-03T22:33:04.047+02:00,   0.180E-01,  26.02928
   1500,2020-11-03T22:33:36.918+02:00,   0.178E-01,  27.59031
   1600,2020-11-03T22:34:09.946+02:00,   0.178E-01,  29.37136
   1700,2020-11-03T22:34:42.677+02:00,   0.141E-01,  31.05162
   1800,2020-11-03T22:35:16.423+02:00,   0.170E-01,  32.74531
   1900,2020-11-03T22:35:48.248+02:00,   0.164E-01,  34.42641
   2000,2020-11-03T22:36:20.980+02:00,   0.180E-01,  36.23011
   2100,2020-11-03T22:36:53.733+02:00,   0.180E-01,  38.03380
   2200,2020-11-03T22:37:28.011+02:00,   0.180E-01,  39.83750
   2300,2020-11-03T22:38:00.112+02:00,   0.180E-01,  41.64119
   2400,2020-11-03T22:38:32.030+02:00,   0.175E-01,  43.37585
   2500,2020-11-03T22:39:03.761+02:00,   0.175E-01,  45.12093
