,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-11-07T16:09:39.009+02:00,   0.305E-01,   0.03052
      2,2020-11-07T16:09:39.399+02:00,   0.336E-01,   0.06408
      3,2020-11-07T16:09:39.774+02:00,   0.369E-01,   0.10101
      4,2020-11-07T16:09:40.290+02:00,   0.369E-01,   0.13793
      5,2020-11-07T16:09:40.649+02:00,   0.369E-01,   0.17486
      6,2020-11-07T16:09:41.180+02:00,   0.330E-01,   0.20786
      7,2020-11-07T16:09:41.665+02:00,   0.330E-01,   0.24085
      8,2020-11-07T16:09:42.055+02:00,   0.330E-01,   0.27385
      9,2020-11-07T16:09:42.430+02:00,   0.330E-01,   0.30685
     10,2020-11-07T16:09:42.946+02:00,   0.330E-01,   0.33984
     20,2020-11-07T16:09:46.227+02:00,   0.330E-01,   0.66982
     30,2020-11-07T16:09:49.586+02:00,   0.294E-01,   0.98535
     40,2020-11-07T16:09:53.117+02:00,   0.220E-01,   1.21760
     50,2020-11-07T16:09:56.257+02:00,   0.223E-01,   1.45489
     60,2020-11-07T16:09:59.350+02:00,   0.223E-01,   1.67838
     70,2020-11-07T16:10:02.533+02:00,   0.223E-01,   1.90186
     80,2020-11-07T16:10:05.611+02:00,   0.223E-01,   2.12534
     90,2020-11-07T16:10:08.814+02:00,   0.221E-01,   2.33483
    100,2020-11-07T16:10:11.970+02:00,   0.221E-01,   2.55590
    200,2020-11-07T16:10:43.125+02:00,   0.221E-01,   4.76658
    300,2020-11-07T16:11:14.601+02:00,   0.220E-01,   6.88566
    400,2020-11-07T16:11:46.395+02:00,   0.176E-01,   8.91074
    500,2020-11-07T16:12:17.997+02:00,   0.222E-01,  10.86616
    600,2020-11-07T16:12:49.538+02:00,   0.207E-01,  12.76684
    700,2020-11-07T16:13:21.140+02:00,   0.217E-01,  14.65153
    800,2020-11-07T16:13:52.949+02:00,   0.151E-01,  16.67702
    900,2020-11-07T16:14:24.144+02:00,   0.162E-01,  18.41665
   1000,2020-11-07T16:14:55.829+02:00,   0.196E-01,  20.29121
   1100,2020-11-07T16:15:27.571+02:00,   0.150E-01,  22.26311
   1200,2020-11-07T16:15:59.411+02:00,   0.161E-01,  24.24466
   1300,2020-11-07T16:16:31.279+02:00,   0.213E-01,  26.15595
   1400,2020-11-07T16:17:03.443+02:00,   0.124E-01,  28.01426
   1500,2020-11-07T16:17:35.362+02:00,   0.207E-01,  30.00855
   1600,2020-11-07T16:18:07.401+02:00,   0.221E-01,  32.06151
   1700,2020-11-07T16:18:39.316+02:00,   0.185E-01,  34.20193
   1800,2020-11-07T16:19:11.453+02:00,   0.200E-01,  36.25595
   1900,2020-11-07T16:19:43.184+02:00,   0.210E-01,  38.29454
   2000,2020-11-07T16:20:14.942+02:00,   0.226E-01,  40.40936
   2100,2020-11-07T16:20:47.419+02:00,   0.193E-01,  42.42962
   2200,2020-11-07T16:21:19.308+02:00,   0.238E-01,  44.47433
   2300,2020-11-07T16:21:51.575+02:00,   0.216E-01,  46.51390
   2400,2020-11-07T16:22:23.677+02:00,   0.156E-01,  48.45726
   2500,2020-11-07T16:22:57.626+02:00,   0.198E-01,  50.42486
   2600,2020-11-07T16:23:28.139+02:00,   0.167E-01,  52.47577
   2700,2020-11-07T16:23:59.042+02:00,   0.196E-01,  54.44172
   2800,2020-11-07T16:24:29.987+02:00,   0.194E-01,  56.42381
   2900,2020-11-07T16:25:01.933+02:00,   0.189E-01,  58.44529
   3000,2020-11-07T16:25:33.797+02:00,   0.220E-01,  60.48048
   3100,2020-11-07T16:26:05.757+02:00,   0.195E-01,  62.52724
   3200,2020-11-07T16:26:37.518+02:00,   0.174E-01,  64.59528
   3300,2020-11-07T16:27:09.587+02:00,   0.208E-01,  66.52477
   3400,2020-11-07T16:27:41.426+02:00,   0.193E-01,  68.65189
   3500,2020-11-07T16:28:13.480+02:00,   0.220E-01,  70.60623
   3600,2020-11-07T16:28:45.220+02:00,   0.223E-01,  72.77293
   3700,2020-11-07T16:29:17.471+02:00,   0.184E-01,  74.74218
   3800,2020-11-07T16:29:48.880+02:00,   0.156E-01,  76.50365
