,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2022-02-24T06:23:16.130+02:00,   0.583E-01,   0.05831
      2,2022-02-24T06:23:16.440+02:00,   0.641E-01,   0.12245
      3,2022-02-24T06:23:16.738+02:00,   0.706E-01,   0.19300
      4,2022-02-24T06:23:17.120+02:00,   0.706E-01,   0.26355
      5,2022-02-24T06:23:17.373+02:00,   0.706E-01,   0.33411
      6,2022-02-24T06:23:17.638+02:00,   0.706E-01,   0.40466
      7,2022-02-24T06:23:18.017+02:00,   0.706E-01,   0.47521
      8,2022-02-24T06:23:18.289+02:00,   0.706E-01,   0.54576
      9,2022-02-24T06:23:18.637+02:00,   0.630E-01,   0.60881
     10,2022-02-24T06:23:19.026+02:00,   0.630E-01,   0.67186
     20,2022-02-24T06:23:21.471+02:00,   0.564E-01,   1.29572
     30,2022-02-24T06:23:23.825+02:00,   0.564E-01,   1.86005
     40,2022-02-24T06:23:26.324+02:00,   0.564E-01,   2.42438
     50,2022-02-24T06:23:28.751+02:00,   0.507E-01,   2.96591
     60,2022-02-24T06:23:31.125+02:00,   0.507E-01,   3.47321
     70,2022-02-24T06:23:33.653+02:00,   0.452E-01,   3.96384
     80,2022-02-24T06:23:36.069+02:00,   0.452E-01,   4.41556
     90,2022-02-24T06:23:38.491+02:00,   0.452E-01,   4.86728
    100,2022-02-24T06:23:41.022+02:00,   0.452E-01,   5.31900
    200,2022-02-24T06:24:06.098+02:00,   0.452E-01,   9.83619
    300,2022-02-24T06:24:31.752+02:00,   0.445E-01,  14.26605
    400,2022-02-24T06:24:57.423+02:00,   0.445E-01,  18.71325
    500,2022-02-24T06:25:23.124+02:00,   0.445E-01,  23.16044
    600,2022-02-24T06:25:48.847+02:00,   0.445E-01,  27.60763
    700,2022-02-24T06:26:14.869+02:00,   0.445E-01,  32.05483
    800,2022-02-24T06:26:40.669+02:00,   0.445E-01,  36.50202
    900,2022-02-24T06:27:06.607+02:00,   0.445E-01,  40.94921
   1000,2022-02-24T06:27:33.431+02:00,   0.445E-01,  45.39641
   1100,2022-02-24T06:28:02.011+02:00,   0.445E-01,  49.84360
   1200,2022-02-24T06:28:27.290+02:00,   0.445E-01,  54.29080
   1300,2022-02-24T06:28:52.248+02:00,   0.445E-01,  58.73799
   1400,2022-02-24T06:29:17.802+02:00,   0.445E-01,  63.18518
   1500,2022-02-24T06:29:42.710+02:00,   0.445E-01,  67.63238
   1600,2022-02-24T06:30:07.664+02:00,   0.445E-01,  72.07957
   1700,2022-02-24T06:30:32.447+02:00,   0.445E-01,  76.52676
   1800,2022-02-24T06:30:58.042+02:00,   0.434E-01,  80.91447
   1900,2022-02-24T06:31:23.382+02:00,   0.434E-01,  85.25577
   2000,2022-02-24T06:31:48.337+02:00,   0.422E-01,  89.45275
   2100,2022-02-24T06:32:13.453+02:00,   0.422E-01,  93.66785
   2200,2022-02-24T06:32:39.111+02:00,   0.422E-01,  97.88296
   2300,2022-02-24T06:33:04.892+02:00,   0.422E-01, 102.09806
   2400,2022-02-24T06:33:30.464+02:00,   0.422E-01, 106.31316
   2500,2022-02-24T06:33:57.386+02:00,   0.422E-01, 110.52827
   2600,2022-02-24T06:34:23.731+02:00,   0.422E-01, 114.74337
   2700,2022-02-24T06:34:49.468+02:00,   0.422E-01, 118.95848
   2800,2022-02-24T06:35:16.285+02:00,   0.422E-01, 123.17358
   2900,2022-02-24T06:35:43.254+02:00,   0.422E-01, 127.38868
   3000,2022-02-24T06:36:09.967+02:00,   0.422E-01, 131.60379
   3100,2022-02-24T06:36:36.788+02:00,   0.422E-01, 135.81889
   3200,2022-02-24T06:37:03.688+02:00,   0.422E-01, 140.03400
