,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-10-24T22:38:31.564+03:00,   0.425E-01,   0.04254
      2,2020-10-24T22:38:31.752+03:00,   0.425E-01,   0.08508
      3,2020-10-24T22:38:31.924+03:00,   0.425E-01,   0.12761
      4,2020-10-24T22:38:32.143+03:00,   0.425E-01,   0.17015
      5,2020-10-24T22:38:32.392+03:00,   0.425E-01,   0.21269
      6,2020-10-24T22:38:32.596+03:00,   0.425E-01,   0.25523
      7,2020-10-24T22:38:32.799+03:00,   0.425E-01,   0.29776
      8,2020-10-24T22:38:32.986+03:00,   0.425E-01,   0.34030
      9,2020-10-24T22:38:33.174+03:00,   0.425E-01,   0.38284
     10,2020-10-24T22:38:33.408+03:00,   0.425E-01,   0.42538
     20,2020-10-24T22:38:35.111+03:00,   0.382E-01,   0.82899
     30,2020-10-24T22:38:36.751+03:00,   0.382E-01,   1.21084
     40,2020-10-24T22:38:38.673+03:00,   0.382E-01,   1.59268
     50,2020-10-24T22:38:40.314+03:00,   0.382E-01,   1.97453
     60,2020-10-24T22:38:42.141+03:00,   0.342E-01,   2.34049
     70,2020-10-24T22:38:43.954+03:00,   0.342E-01,   2.68261
     80,2020-10-24T22:38:45.579+03:00,   0.342E-01,   3.02473
     90,2020-10-24T22:38:47.203+03:00,   0.342E-01,   3.36684
    100,2020-10-24T22:38:48.872+03:00,   0.342E-01,   3.70896
    200,2020-10-24T22:39:05.765+03:00,   0.177E-01,   6.60393
    300,2020-10-24T22:39:23.023+03:00,   0.182E-01,   8.50988
    400,2020-10-24T22:39:42.271+03:00,   0.197E-01,  10.86360
    500,2020-10-24T22:40:00.764+03:00,   0.313E-01,  13.37308
    600,2020-10-24T22:40:19.512+03:00,   0.280E-01,  16.06140
    700,2020-10-24T22:40:36.761+03:00,   0.228E-01,  18.41724
    800,2020-10-24T22:40:55.148+03:00,   0.193E-01,  20.55865
    900,2020-10-24T22:41:16.149+03:00,   0.183E-01,  22.74242
   1000,2020-10-24T22:41:37.380+03:00,   0.188E-01,  25.06249
   1100,2020-10-24T22:41:57.523+03:00,   0.278E-01,  27.64691
   1200,2020-10-24T22:42:18.895+03:00,   0.199E-01,  30.39067
   1300,2020-10-24T22:42:40.117+03:00,   0.238E-01,  32.56454
   1400,2020-10-24T22:43:01.281+03:00,   0.286E-01,  35.03154
