,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-10-08T22:12:58.572+03:00,   0.286E-01,   0.02864
      2,2021-10-08T22:12:58.922+03:00,   0.315E-01,   0.06014
      3,2021-10-08T22:12:59.233+03:00,   0.347E-01,   0.09479
      4,2021-10-08T22:12:59.647+03:00,   0.347E-01,   0.12945
      5,2021-10-08T22:12:59.981+03:00,   0.347E-01,   0.16410
      6,2021-10-08T22:13:00.322+03:00,   0.347E-01,   0.19875
      7,2021-10-08T22:13:00.725+03:00,   0.347E-01,   0.23341
      8,2021-10-08T22:13:01.172+03:00,   0.307E-01,   0.26413
      9,2021-10-08T22:13:01.490+03:00,   0.307E-01,   0.29486
     10,2021-10-08T22:13:01.896+03:00,   0.307E-01,   0.32558
     20,2021-10-08T22:13:04.777+03:00,   0.307E-01,   0.63284
     30,2021-10-08T22:13:07.672+03:00,   0.307E-01,   0.94010
     40,2021-10-08T22:13:10.639+03:00,   0.236E-01,   1.19012
     50,2021-10-08T22:13:13.498+03:00,   0.207E-01,   1.39685
     60,2021-10-08T22:13:16.249+03:00,   0.204E-01,   1.59035
     70,2021-10-08T22:13:19.035+03:00,   0.204E-01,   1.79405
     80,2021-10-08T22:13:21.792+03:00,   0.177E-01,   1.99246
     90,2021-10-08T22:13:24.568+03:00,   0.158E-01,   2.16580
    100,2021-10-08T22:13:27.313+03:00,   0.174E-01,   2.32831
    200,2021-10-08T22:13:55.225+03:00,   0.265E-01,   4.37814
    300,2021-10-08T22:14:23.063+03:00,   0.220E-01,   6.75171
    400,2021-10-08T22:14:48.878+03:00,   0.212E-01,   9.11210
    500,2021-10-08T22:15:13.626+03:00,   0.230E-01,  11.21172
    600,2021-10-08T22:15:38.128+03:00,   0.235E-01,  13.35182
    700,2021-10-08T22:16:02.950+03:00,   0.213E-01,  15.45080
    800,2021-10-08T22:16:27.718+03:00,   0.266E-01,  17.81772
    900,2021-10-08T22:16:53.073+03:00,   0.247E-01,  19.92727
   1000,2021-10-08T22:17:20.823+03:00,   0.238E-01,  22.02193
   1100,2021-10-08T22:17:47.981+03:00,   0.154E-01,  24.08225
   1200,2021-10-08T22:18:15.384+03:00,   0.227E-01,  25.92235
   1300,2021-10-08T22:18:42.444+03:00,   0.196E-01,  27.93919
   1400,2021-10-08T22:19:07.965+03:00,   0.225E-01,  30.07120
   1500,2021-10-08T22:19:43.229+03:00,   0.227E-01,  32.32980
   1600,2021-10-08T22:20:17.019+03:00,   0.206E-01,  34.56823
   1700,2021-10-08T22:20:49.440+03:00,   0.199E-01,  36.75666
   1800,2021-10-08T22:21:23.054+03:00,   0.215E-01,  39.00432
   1900,2021-10-08T22:22:06.339+03:00,   0.232E-01,  40.97248
   2000,2021-10-08T22:22:46.037+03:00,   0.202E-01,  43.21753
   2100,2021-10-08T22:23:25.738+03:00,   0.222E-01,  45.45299
   2200,2021-10-08T22:24:05.427+03:00,   0.197E-01,  47.58287
   2300,2021-10-08T22:24:45.530+03:00,   0.181E-01,  49.66472
   2400,2021-10-08T22:25:25.002+03:00,   0.217E-01,  51.82667
   2500,2021-10-08T22:26:04.785+03:00,   0.209E-01,  53.94106
   2600,2021-10-08T22:26:44.541+03:00,   0.212E-01,  56.02315
   2700,2021-10-08T22:27:24.057+03:00,   0.251E-01,  58.16911
   2800,2021-10-08T22:28:04.741+03:00,   0.199E-01,  60.36572
   2900,2021-10-08T22:28:47.120+03:00,   0.217E-01,  62.54088
   3000,2021-10-08T22:29:31.169+03:00,   0.232E-01,  64.67155
   3100,2021-10-08T22:30:13.711+03:00,   0.190E-01,  66.94266
   3200,2021-10-08T22:30:56.171+03:00,   0.145E-01,  68.91933
   3300,2021-10-08T22:31:38.274+03:00,   0.238E-01,  71.01475
   3400,2021-10-08T22:32:20.649+03:00,   0.245E-01,  73.38776
   3500,2021-10-08T22:33:02.883+03:00,   0.224E-01,  75.58286
   3600,2021-10-08T22:33:44.665+03:00,   0.239E-01,  77.70123
   3700,2021-10-08T22:34:26.727+03:00,   0.235E-01,  79.80687
   3800,2021-10-08T22:35:09.820+03:00,   0.209E-01,  81.94969
   3900,2021-10-08T22:35:51.749+03:00,   0.253E-01,  84.05292
   4000,2021-10-08T22:36:33.906+03:00,   0.223E-01,  86.18617
   4100,2021-10-08T22:37:15.724+03:00,   0.248E-01,  88.48166
   4200,2021-10-08T22:37:57.166+03:00,   0.247E-01,  90.80427
   4300,2021-10-08T22:38:40.304+03:00,   0.191E-01,  92.96902
   4400,2021-10-08T22:39:22.375+03:00,   0.213E-01,  95.12010
   4500,2021-10-08T22:40:04.255+03:00,   0.241E-01,  97.37714
   4600,2021-10-08T22:40:46.353+03:00,   0.221E-01,  99.66493
   4700,2021-10-08T22:41:28.845+03:00,   0.232E-01, 101.70420
   4800,2021-10-08T22:42:10.840+03:00,   0.212E-01, 103.88818
   4900,2021-10-08T22:42:52.776+03:00,   0.238E-01, 106.08907
   5000,2021-10-08T22:43:35.138+03:00,   0.242E-01, 108.42183
   5100,2021-10-08T22:44:17.005+03:00,   0.223E-01, 110.68857
   5200,2021-10-08T22:44:59.047+03:00,   0.253E-01, 112.97953
   5300,2021-10-08T22:45:41.416+03:00,   0.229E-01, 115.15881
   5400,2021-10-08T22:46:26.758+03:00,   0.226E-01, 117.43883
   5500,2021-10-08T22:47:12.235+03:00,   0.226E-01, 119.72204
