,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-01T22:04:38.280+02:00,   0.286E-01,   0.02864
      2,2021-11-01T22:04:38.605+02:00,   0.315E-01,   0.06015
      3,2021-11-01T22:04:38.939+02:00,   0.347E-01,   0.09481
      4,2021-11-01T22:04:39.354+02:00,   0.347E-01,   0.12947
      5,2021-11-01T22:04:39.660+02:00,   0.347E-01,   0.16412
      6,2021-11-01T22:04:40.027+02:00,   0.347E-01,   0.19878
      7,2021-11-01T22:04:40.394+02:00,   0.347E-01,   0.23344
      8,2021-11-01T22:04:40.818+02:00,   0.307E-01,   0.26417
      9,2021-11-01T22:04:41.108+02:00,   0.307E-01,   0.29490
     10,2021-11-01T22:04:41.478+02:00,   0.307E-01,   0.32563
     20,2021-11-01T22:04:44.094+02:00,   0.307E-01,   0.63292
     30,2021-11-01T22:04:46.688+02:00,   0.307E-01,   0.94022
     40,2021-11-01T22:04:49.557+02:00,   0.236E-01,   1.19024
     50,2021-11-01T22:04:52.219+02:00,   0.205E-01,   1.39541
     60,2021-11-01T22:04:54.865+02:00,   0.200E-01,   1.58865
     70,2021-11-01T22:04:57.537+02:00,   0.221E-01,   1.80315
     80,2021-11-01T22:05:00.428+02:00,   0.170E-01,   2.00421
     90,2021-11-01T22:05:03.111+02:00,   0.170E-01,   2.17412
    100,2021-11-01T22:05:05.981+02:00,   0.206E-01,   2.34929
    200,2021-11-01T22:05:32.059+02:00,   0.239E-01,   4.46709
    300,2021-11-01T22:05:58.596+02:00,   0.204E-01,   6.64360
    400,2021-11-01T22:06:24.592+02:00,   0.252E-01,   8.88706
    500,2021-11-01T22:06:56.520+02:00,   0.125E-01,  10.82136
    600,2021-11-01T22:07:31.209+02:00,   0.237E-01,  13.01107
    700,2021-11-01T22:08:05.263+02:00,   0.216E-01,  15.07098
    800,2021-11-01T22:08:39.612+02:00,   0.222E-01,  17.16508
    900,2021-11-01T22:09:13.562+02:00,   0.244E-01,  19.48639
   1000,2021-11-01T22:09:49.564+02:00,   0.180E-01,  21.69302
   1100,2021-11-01T22:10:25.020+02:00,   0.211E-01,  24.00975
   1200,2021-11-01T22:11:00.529+02:00,   0.227E-01,  26.10312
   1300,2021-11-01T22:11:35.783+02:00,   0.208E-01,  28.40943
   1400,2021-11-01T22:12:10.824+02:00,   0.224E-01,  30.53005
   1500,2021-11-01T22:12:46.195+02:00,   0.164E-01,  32.71386
   1600,2021-11-01T22:13:21.016+02:00,   0.230E-01,  35.02303
   1700,2021-11-01T22:13:56.093+02:00,   0.202E-01,  37.17447
   1800,2021-11-01T22:14:30.985+02:00,   0.207E-01,  39.36041
   1900,2021-11-01T22:15:05.591+02:00,   0.251E-01,  41.55154
   2000,2021-11-01T22:15:39.040+02:00,   0.250E-01,  43.73310
   2100,2021-11-01T22:16:12.107+02:00,   0.244E-01,  46.14679
   2200,2021-11-01T22:16:45.919+02:00,   0.217E-01,  48.29785
   2300,2021-11-01T22:17:19.147+02:00,   0.248E-01,  50.46676
   2400,2021-11-01T22:17:57.324+02:00,   0.206E-01,  52.71775
   2500,2021-11-01T22:18:33.499+02:00,   0.233E-01,  54.90152
   2600,2021-11-01T22:19:10.494+02:00,   0.201E-01,  57.04235
   2700,2021-11-01T22:19:45.318+02:00,   0.181E-01,  59.23313
   2800,2021-11-01T22:20:18.226+02:00,   0.230E-01,  61.36113
   2900,2021-11-01T22:20:50.898+02:00,   0.246E-01,  63.56213
   3000,2021-11-01T22:21:23.744+02:00,   0.186E-01,  65.71309
   3100,2021-11-01T22:21:57.498+02:00,   0.213E-01,  67.90460
   3200,2021-11-01T22:22:32.620+02:00,   0.239E-01,  70.23550
   3300,2021-11-01T22:23:11.125+02:00,   0.248E-01,  72.34588
   3400,2021-11-01T22:23:46.448+02:00,   0.150E-01,  74.26964
   3500,2021-11-01T22:24:21.680+02:00,   0.231E-01,  76.31514
   3600,2021-11-01T22:24:57.670+02:00,   0.191E-01,  78.43834
   3700,2021-11-01T22:25:33.260+02:00,   0.164E-01,  80.53036
   3800,2021-11-01T22:26:08.266+02:00,   0.206E-01,  82.65737
   3900,2021-11-01T22:26:43.487+02:00,   0.167E-01,  84.70927
   4000,2021-11-01T22:27:18.638+02:00,   0.235E-01,  86.91303
   4100,2021-11-01T22:27:54.852+02:00,   0.209E-01,  88.99443
   4200,2021-11-01T22:28:32.075+02:00,   0.158E-01,  91.11424
   4300,2021-11-01T22:29:08.626+02:00,   0.241E-01,  93.19072
   4400,2021-11-01T22:29:46.525+02:00,   0.221E-01,  95.23340
   4500,2021-11-01T22:30:25.447+02:00,   0.248E-01,  97.43341
   4600,2021-11-01T22:31:03.628+02:00,   0.151E-01,  99.56949
   4700,2021-11-01T22:31:40.213+02:00,   0.201E-01, 101.79818
   4800,2021-11-01T22:32:16.946+02:00,   0.241E-01, 103.90405
   4900,2021-11-01T22:32:54.055+02:00,   0.214E-01, 106.27518
   5000,2021-11-01T22:33:28.956+02:00,   0.215E-01, 108.43938
   5100,2021-11-01T22:34:01.994+02:00,   0.147E-01, 110.44478
   5200,2021-11-01T22:34:35.212+02:00,   0.205E-01, 112.43798
   5300,2021-11-01T22:35:07.944+02:00,   0.194E-01, 114.56812
   5400,2021-11-01T22:35:43.631+02:00,   0.197E-01, 116.41974
   5500,2021-11-01T22:36:20.602+02:00,   0.236E-01, 118.71656
   5600,2021-11-01T22:36:59.352+02:00,   0.194E-01, 120.96855
   5700,2021-11-01T22:37:37.049+02:00,   0.238E-01, 123.17385
   5800,2021-11-01T22:38:13.306+02:00,   0.158E-01, 125.30920
   5900,2021-11-01T22:38:50.004+02:00,   0.217E-01, 126.98877
   6000,2021-11-01T22:39:26.644+02:00,   0.229E-01, 129.09810
   6100,2021-11-01T22:40:03.897+02:00,   0.128E-01, 131.07781
   6200,2021-11-01T22:40:38.823+02:00,   0.201E-01, 133.34473
   6300,2021-11-01T22:41:13.634+02:00,   0.262E-01, 135.53847
