,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-23T21:41:10.054+03:00,   0.177E+00,   0.17678
      2,2021-05-23T21:41:10.238+03:00,   0.177E+00,   0.35355
      3,2021-05-23T21:41:10.426+03:00,   0.177E+00,   0.53033
      4,2021-05-23T21:41:10.910+03:00,   0.177E+00,   0.70711
      5,2021-05-23T21:41:11.110+03:00,   0.177E+00,   0.88388
      6,2021-05-23T21:41:11.358+03:00,   0.177E+00,   1.06066
      7,2021-05-23T21:41:11.634+03:00,   0.177E+00,   1.23744
      8,2021-05-23T21:41:11.832+03:00,   0.177E+00,   1.41421
      9,2021-05-23T21:41:12.031+03:00,   0.177E+00,   1.59099
     10,2021-05-23T21:41:12.314+03:00,   0.177E+00,   1.76777
     20,2021-05-23T21:41:14.659+03:00,   0.177E+00,   3.53553
     30,2021-05-23T21:41:16.988+03:00,   0.177E+00,   5.30330
     40,2021-05-23T21:41:19.285+03:00,   0.177E+00,   7.07107
     50,2021-05-23T21:41:21.553+03:00,   0.177E+00,   8.83883
     60,2021-05-23T21:41:23.811+03:00,   0.177E+00,  10.60660
     70,2021-05-23T21:41:26.203+03:00,   0.177E+00,  12.37437
     80,2021-05-23T21:41:28.395+03:00,   0.177E+00,  14.14214
     90,2021-05-23T21:41:30.491+03:00,   0.177E+00,  15.90990
    100,2021-05-23T21:41:32.672+03:00,   0.177E+00,  17.67767
    200,2021-05-23T21:41:54.910+03:00,   0.828E-01,  31.47611
    300,2021-05-23T21:42:17.257+03:00,   0.806E-01,  39.07398
    400,2021-05-23T21:42:38.783+03:00,   0.806E-01,  47.13105
    500,2021-05-23T21:43:00.144+03:00,   0.806E-01,  55.18811
    600,2021-05-23T21:43:21.731+03:00,   0.806E-01,  63.24517
    700,2021-05-23T21:43:43.865+03:00,   0.806E-01,  71.30223
    800,2021-05-23T21:44:09.885+03:00,   0.806E-01,  79.35929
    900,2021-05-23T21:44:37.153+03:00,   0.806E-01,  87.41636
   1000,2021-05-23T21:45:04.285+03:00,   0.806E-01,  95.47342
   1100,2021-05-23T21:45:35.332+03:00,   0.806E-01, 103.53048
   1200,2021-05-23T21:46:20.033+03:00,   0.806E-01, 111.58754
   1300,2021-05-23T21:47:04.871+03:00,   0.806E-01, 119.64461
   1400,2021-05-23T21:47:54.606+03:00,   0.806E-01, 127.70167
   1500,2021-05-23T21:48:40.317+03:00,   0.806E-01, 135.75873
   1600,2021-05-23T21:49:26.834+03:00,   0.806E-01, 143.81579
   1700,2021-05-23T21:50:13.580+03:00,   0.806E-01, 151.87285
   1800,2021-05-23T21:51:00.560+03:00,   0.806E-01, 159.92992
   1900,2021-05-23T21:51:46.537+03:00,   0.806E-01, 167.98698
   2000,2021-05-23T21:52:33.331+03:00,   0.806E-01, 176.04404
   2100,2021-05-23T21:53:21.182+03:00,   0.806E-01, 184.10110
   2200,2021-05-23T21:54:09.406+03:00,   0.806E-01, 192.15816
   2300,2021-05-23T21:54:57.274+03:00,   0.806E-01, 200.21523
   2400,2021-05-23T21:55:48.731+03:00,   0.806E-01, 208.27229
   2500,2021-05-23T21:56:38.465+03:00,   0.806E-01, 216.32935
   2600,2021-05-23T21:57:24.896+03:00,   0.806E-01, 224.38641
   2700,2021-05-23T21:58:10.610+03:00,   0.806E-01, 232.44348
   2800,2021-05-23T21:58:55.699+03:00,   0.806E-01, 240.50054
   2900,2021-05-23T21:59:40.586+03:00,   0.806E-01, 248.55760
   3000,2021-05-23T22:00:26.661+03:00,   0.806E-01, 256.61466
   3100,2021-05-23T22:01:13.640+03:00,   0.806E-01, 264.67172
   3200,2021-05-23T22:01:57.739+03:00,   0.806E-01, 272.72879
   3300,2021-05-23T22:02:43.218+03:00,   0.886E-01, 281.58350
