,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-01T22:06:46.096+02:00,   0.235E-01,   0.02353
      2,2021-11-01T22:06:46.458+02:00,   0.259E-01,   0.04941
      3,2021-11-01T22:06:46.806+02:00,   0.285E-01,   0.07789
      4,2021-11-01T22:06:47.261+02:00,   0.285E-01,   0.10636
      5,2021-11-01T22:06:47.603+02:00,   0.285E-01,   0.13483
      6,2021-11-01T22:06:47.969+02:00,   0.313E-01,   0.16615
      7,2021-11-01T22:06:48.421+02:00,   0.313E-01,   0.19747
      8,2021-11-01T22:06:48.796+02:00,   0.313E-01,   0.22879
      9,2021-11-01T22:06:49.168+02:00,   0.313E-01,   0.26011
     10,2021-11-01T22:06:49.686+02:00,   0.313E-01,   0.29142
     20,2021-11-01T22:06:52.908+02:00,   0.313E-01,   0.60461
     30,2021-11-01T22:06:56.221+02:00,   0.313E-01,   0.91780
     40,2021-11-01T22:06:59.702+02:00,   0.276E-01,   1.20098
     50,2021-11-01T22:07:02.967+02:00,   0.276E-01,   1.47665
     60,2021-11-01T22:07:06.329+02:00,   0.247E-01,   1.72612
     70,2021-11-01T22:07:09.586+02:00,   0.247E-01,   1.97269
     80,2021-11-01T22:07:12.894+02:00,   0.247E-01,   2.21925
     90,2021-11-01T22:07:16.175+02:00,   0.247E-01,   2.46582
    100,2021-11-01T22:07:19.770+02:00,   0.211E-01,   2.67686
    200,2021-11-01T22:07:53.236+02:00,   0.226E-01,   4.70770
    300,2021-11-01T22:08:26.973+02:00,   0.244E-01,   6.95199
    400,2021-11-01T22:08:59.940+02:00,   0.191E-01,   9.07240
    500,2021-11-01T22:09:31.611+02:00,   0.214E-01,  10.51141
    600,2021-11-01T22:10:03.305+02:00,   0.186E-01,  12.04671
    700,2021-11-01T22:10:34.899+02:00,   0.184E-01,  13.73658
    800,2021-11-01T22:11:05.913+02:00,   0.234E-01,  15.82805
    900,2021-11-01T22:11:37.951+02:00,   0.233E-01,  17.51185
   1000,2021-11-01T22:12:09.486+02:00,   0.219E-01,  19.02691
   1100,2021-11-01T22:12:42.040+02:00,   0.239E-01,  21.14404
   1200,2021-11-01T22:13:16.666+02:00,   0.131E-01,  23.13356
   1300,2021-11-01T22:13:52.374+02:00,   0.108E-01,  24.67760
   1400,2021-11-01T22:14:25.636+02:00,   0.239E-01,  26.41119
   1500,2021-11-01T22:15:00.141+02:00,   0.134E-01,  28.47446
   1600,2021-11-01T22:15:34.069+02:00,   0.123E-01,  30.13617
   1700,2021-11-01T22:16:07.667+02:00,   0.166E-01,  31.95870
   1800,2021-11-01T22:16:41.069+02:00,   0.162E-01,  34.29584
   1900,2021-11-01T22:17:14.968+02:00,   0.167E-01,  36.20270
   2000,2021-11-01T22:17:47.324+02:00,   0.222E-01,  38.38035
   2100,2021-11-01T22:18:19.351+02:00,   0.244E-01,  40.75367
   2200,2021-11-01T22:18:51.463+02:00,   0.224E-01,  42.97563
   2300,2021-11-01T22:19:24.088+02:00,   0.230E-01,  45.21101
   2400,2021-11-01T22:19:57.141+02:00,   0.201E-01,  47.50851
   2500,2021-11-01T22:20:31.291+02:00,   0.175E-01,  49.47269
   2600,2021-11-01T22:21:05.444+02:00,   0.223E-01,  51.12137
   2700,2021-11-01T22:21:39.007+02:00,   0.212E-01,  53.36485
   2800,2021-11-01T22:22:11.992+02:00,   0.235E-01,  55.43447
   2900,2021-11-01T22:22:44.946+02:00,   0.152E-01,  57.54915
   3000,2021-11-01T22:23:17.658+02:00,   0.199E-01,  59.61959
   3100,2021-11-01T22:23:50.683+02:00,   0.208E-01,  61.70438
   3200,2021-11-01T22:24:23.801+02:00,   0.225E-01,  63.70575
   3300,2021-11-01T22:24:56.227+02:00,   0.225E-01,  65.95428
   3400,2021-11-01T22:25:28.893+02:00,   0.198E-01,  68.14804
   3500,2021-11-01T22:26:01.546+02:00,   0.212E-01,  70.17871
   3600,2021-11-01T22:26:34.457+02:00,   0.134E-01,  71.98169
   3700,2021-11-01T22:27:07.607+02:00,   0.137E-01,  73.68567
   3800,2021-11-01T22:27:39.556+02:00,   0.242E-01,  75.85906
   3900,2021-11-01T22:28:11.200+02:00,   0.205E-01,  77.81107
   4000,2021-11-01T22:28:43.709+02:00,   0.213E-01,  79.32434
   4100,2021-11-01T22:29:16.164+02:00,   0.164E-01,  81.00622
   4200,2021-11-01T22:29:48.364+02:00,   0.228E-01,  82.78345
   4300,2021-11-01T22:30:20.145+02:00,   0.219E-01,  84.96530
   4400,2021-11-01T22:30:52.128+02:00,   0.164E-01,  86.58493
   4500,2021-11-01T22:31:24.448+02:00,   0.229E-01,  88.37848
   4600,2021-11-01T22:31:56.274+02:00,   0.235E-01,  90.21653
   4700,2021-11-01T22:32:28.265+02:00,   0.137E-01,  91.43842
   4800,2021-11-01T22:33:01.522+02:00,   0.158E-01,  92.91614
   4900,2021-11-01T22:33:34.964+02:00,   0.190E-01,  94.78582
   5000,2021-11-01T22:34:09.974+02:00,   0.218E-01,  96.40605
   5100,2021-11-01T22:34:44.988+02:00,   0.183E-01,  97.94601
   5200,2021-11-01T22:35:18.544+02:00,   0.219E-01,  99.72711
   5300,2021-11-01T22:35:51.314+02:00,   0.166E-01, 101.64191
   5400,2021-11-01T22:36:24.577+02:00,   0.217E-01, 103.44334
   5500,2021-11-01T22:36:57.801+02:00,   0.143E-01, 104.84237
   5600,2021-11-01T22:37:30.106+02:00,   0.242E-01, 106.62951
   5700,2021-11-01T22:38:02.326+02:00,   0.102E-01, 107.99432
   5800,2021-11-01T22:38:34.385+02:00,   0.220E-01, 109.60559
   5900,2021-11-01T22:39:06.018+02:00,   0.203E-01, 111.88132
   6000,2021-11-01T22:39:37.944+02:00,   0.205E-01, 113.74261
   6100,2021-11-01T22:40:10.138+02:00,   0.217E-01, 115.69693
   6200,2021-11-01T22:40:42.280+02:00,   0.111E-01, 117.06542
   6300,2021-11-01T22:41:13.651+02:00,   0.127E-01, 118.49198
   6400,2021-11-01T22:41:45.691+02:00,   0.232E-01, 120.01491
   6500,2021-11-01T22:42:17.137+02:00,   0.168E-01, 121.86665
   6600,2021-11-01T22:42:49.515+02:00,   0.217E-01, 123.65589
   6700,2021-11-01T22:43:21.909+02:00,   0.145E-01, 125.72212
   6800,2021-11-01T22:43:54.440+02:00,   0.131E-01, 127.25938
   6900,2021-11-01T22:44:27.058+02:00,   0.167E-01, 128.84306
   7000,2021-11-01T22:45:00.116+02:00,   0.109E-01, 130.35342
   7100,2021-11-01T22:45:35.248+02:00,   0.100E-01, 131.80750
   7200,2021-11-01T22:46:07.410+02:00,   0.218E-01, 133.16964
   7300,2021-11-01T22:46:38.971+02:00,   0.209E-01, 135.38479
   7400,2021-11-01T22:47:12.122+02:00,   0.199E-01, 137.11230
   7500,2021-11-01T22:47:47.267+02:00,   0.219E-01, 138.80440
   7600,2021-11-01T22:48:19.848+02:00,   0.169E-01, 140.73528
   7700,2021-11-01T22:48:52.543+02:00,   0.849E-02, 142.17967
   7800,2021-11-01T22:49:24.278+02:00,   0.228E-01, 144.26281
   7900,2021-11-01T22:49:54.487+02:00,   0.234E-01, 146.50437
   8000,2021-11-01T22:50:25.450+02:00,   0.133E-01, 148.37792
   8100,2021-11-01T22:50:55.969+02:00,   0.226E-01, 150.53439
   8200,2021-11-01T22:51:26.660+02:00,   0.232E-01, 152.68079
   8300,2021-11-01T22:51:57.918+02:00,   0.166E-01, 154.69547
   8400,2021-11-01T22:52:28.840+02:00,   0.226E-01, 156.82133
   8500,2021-11-01T22:53:00.549+02:00,   0.200E-01, 158.65898
   8600,2021-11-01T22:53:32.116+02:00,   0.124E-01, 160.53474
   8700,2021-11-01T22:54:02.721+02:00,   0.231E-01, 162.26274
   8800,2021-11-01T22:54:34.904+02:00,   0.158E-01, 164.00491
   8900,2021-11-01T22:55:06.609+02:00,   0.188E-01, 165.97121
   9000,2021-11-01T22:55:37.978+02:00,   0.162E-01, 168.12467
   9100,2021-11-01T22:56:09.441+02:00,   0.240E-01, 169.93419
   9200,2021-11-01T22:56:40.335+02:00,   0.150E-01, 171.80354
   9300,2021-11-01T22:57:11.184+02:00,   0.219E-01, 173.59698
   9400,2021-11-01T22:57:42.319+02:00,   0.171E-01, 175.78190
   9500,2021-11-01T22:58:13.691+02:00,   0.213E-01, 177.63478
   9600,2021-11-01T22:58:45.352+02:00,   0.242E-01, 179.90266
   9700,2021-11-01T22:59:16.075+02:00,   0.233E-01, 181.97127
   9800,2021-11-01T22:59:46.576+02:00,   0.233E-01, 184.15646
   9900,2021-11-01T23:00:18.008+02:00,   0.199E-01, 186.15128
  10000,2021-11-01T23:00:50.352+02:00,   0.129E-01, 187.72245
  10100,2021-11-01T23:01:23.574+02:00,   0.153E-01, 189.37777
  10200,2021-11-01T23:01:55.744+02:00,   0.114E-01, 190.97116
  10300,2021-11-01T23:02:28.511+02:00,   0.223E-01, 192.73323
  10400,2021-11-01T23:03:00.255+02:00,   0.175E-01, 194.85635
  10500,2021-11-01T23:03:32.237+02:00,   0.124E-01, 196.59176
  10600,2021-11-01T23:04:05.885+02:00,   0.215E-01, 198.52621
  10700,2021-11-01T23:04:37.398+02:00,   0.236E-01, 200.72708
  10800,2021-11-01T23:05:09.739+02:00,   0.173E-01, 202.35318
  10900,2021-11-01T23:05:41.599+02:00,   0.157E-01, 204.15844
  11000,2021-11-01T23:06:13.478+02:00,   0.134E-01, 205.83473
  11100,2021-11-01T23:06:45.172+02:00,   0.228E-01, 207.60041
  11200,2021-11-01T23:07:18.146+02:00,   0.169E-01, 209.31951
  11300,2021-11-01T23:07:50.554+02:00,   0.128E-01, 211.12943
  11400,2021-11-01T23:08:22.035+02:00,   0.119E-01, 212.40998
  11500,2021-11-01T23:08:55.006+02:00,   0.176E-01, 213.78733
  11600,2021-11-01T23:09:27.834+02:00,   0.150E-01, 215.48288
  11700,2021-11-01T23:10:00.007+02:00,   0.122E-01, 217.27061
  11800,2021-11-01T23:10:31.617+02:00,   0.239E-01, 219.29396
  11900,2021-11-01T23:11:02.951+02:00,   0.224E-01, 221.47059
  12000,2021-11-01T23:11:34.372+02:00,   0.235E-01, 223.41437
  12100,2021-11-01T23:12:05.355+02:00,   0.222E-01, 225.57056
  12200,2021-11-01T23:12:37.990+02:00,   0.228E-01, 227.58524
  12300,2021-11-01T23:13:08.278+02:00,   0.233E-01, 229.77384
  12400,2021-11-01T23:13:40.259+02:00,   0.136E-01, 231.42505
  12500,2021-11-01T23:14:12.157+02:00,   0.147E-01, 232.77368
  12600,2021-11-01T23:14:45.240+02:00,   0.182E-01, 234.88028
  12700,2021-11-01T23:15:20.912+02:00,   0.102E-01, 236.67479
  12800,2021-11-01T23:15:52.876+02:00,   0.176E-01, 237.93312
  12900,2021-11-01T23:16:25.318+02:00,   0.182E-01, 239.66594
  13000,2021-11-01T23:16:56.338+02:00,   0.214E-01, 242.00342
  13100,2021-11-01T23:17:26.839+02:00,   0.242E-01, 244.20409
  13200,2021-11-01T23:17:58.667+02:00,   0.178E-01, 246.53353
  13300,2021-11-01T23:18:30.819+02:00,   0.101E-01, 248.10675
  13400,2021-11-01T23:19:03.104+02:00,   0.141E-01, 249.43653
  13500,2021-11-01T23:19:34.221+02:00,   0.229E-01, 251.50108
  13600,2021-11-01T23:20:08.458+02:00,   0.221E-01, 253.61560
  13700,2021-11-01T23:20:42.698+02:00,   0.124E-01, 255.06086
  13800,2021-11-01T23:21:15.123+02:00,   0.142E-01, 256.81151
  13900,2021-11-01T23:21:48.088+02:00,   0.148E-01, 258.65379
  14000,2021-11-01T23:22:20.199+02:00,   0.232E-01, 260.35328
  14100,2021-11-01T23:22:55.460+02:00,   0.178E-01, 262.03607
  14200,2021-11-01T23:23:29.506+02:00,   0.222E-01, 263.72199
  14300,2021-11-01T23:24:01.653+02:00,   0.241E-01, 265.54896
  14400,2021-11-01T23:24:34.130+02:00,   0.165E-01, 267.59217
  14500,2021-11-01T23:25:06.899+02:00,   0.221E-01, 268.97779
  14600,2021-11-01T23:25:39.638+02:00,   0.231E-01, 270.81115
  14700,2021-11-01T23:26:13.938+02:00,   0.116E-01, 272.80311
  14800,2021-11-01T23:26:48.396+02:00,   0.211E-01, 274.89562
  14900,2021-11-01T23:27:20.576+02:00,   0.225E-01, 276.94306
  15000,2021-11-01T23:27:53.372+02:00,   0.184E-01, 278.55303
  15100,2021-11-01T23:28:26.403+02:00,   0.233E-01, 280.52065
  15200,2021-11-01T23:28:59.683+02:00,   0.149E-01, 282.23839
  15300,2021-11-01T23:29:31.890+02:00,   0.979E-02, 284.01543
  15400,2021-11-01T23:30:04.834+02:00,   0.163E-01, 285.67867
  15500,2021-11-01T23:30:38.046+02:00,   0.110E-01, 287.25721
  15600,2021-11-01T23:31:11.759+02:00,   0.154E-01, 288.99519
  15700,2021-11-01T23:31:44.943+02:00,   0.195E-01, 290.79933
  15800,2021-11-01T23:32:17.755+02:00,   0.186E-01, 292.84100
  15900,2021-11-01T23:32:50.580+02:00,   0.154E-01, 295.03075
  16000,2021-11-01T23:33:23.261+02:00,   0.192E-01, 297.06336
  16100,2021-11-01T23:33:55.968+02:00,   0.241E-01, 299.17315
  16200,2021-11-01T23:34:25.002+02:00,   0.234E-01, 300.75572
  16300,2021-11-01T23:34:54.273+02:00,   0.240E-01, 303.02044
  16400,2021-11-01T23:35:25.971+02:00,   0.221E-01, 305.13760
  16500,2021-11-01T23:35:58.545+02:00,   0.208E-01, 307.21398
  16600,2021-11-01T23:36:31.203+02:00,   0.224E-01, 309.42163
  16700,2021-11-01T23:37:03.311+02:00,   0.162E-01, 310.99870
  16800,2021-11-01T23:37:35.576+02:00,   0.133E-01, 312.30973
  16900,2021-11-01T23:38:08.210+02:00,   0.175E-01, 313.60517
  17000,2021-11-01T23:38:40.862+02:00,   0.155E-01, 315.05967
  17100,2021-11-01T23:39:13.497+02:00,   0.212E-01, 316.65708
  17200,2021-11-01T23:39:45.351+02:00,   0.174E-01, 318.72832
  17300,2021-11-01T23:40:17.702+02:00,   0.146E-01, 320.62353
  17400,2021-11-01T23:40:49.681+02:00,   0.242E-01, 322.83770
  17500,2021-11-01T23:41:23.513+02:00,   0.232E-01, 325.14068
  17600,2021-11-01T23:41:58.599+02:00,   0.126E-01, 327.34466
  17700,2021-11-01T23:42:33.076+02:00,   0.226E-01, 329.57468
  17800,2021-11-01T23:43:08.773+02:00,   0.187E-01, 331.45217
  17900,2021-11-01T23:43:41.787+02:00,   0.225E-01, 332.97031
  18000,2021-11-01T23:44:12.640+02:00,   0.177E-01, 335.19716
  18100,2021-11-01T23:44:43.856+02:00,   0.233E-01, 337.26903
  18200,2021-11-01T23:45:15.867+02:00,   0.154E-01, 339.25605
  18300,2021-11-01T23:45:47.641+02:00,   0.115E-01, 340.79964
  18400,2021-11-01T23:46:19.588+02:00,   0.158E-01, 342.48351
