,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-24T10:47:50.149+03:00,   0.177E+00,   0.17678
      2,2021-05-24T10:47:50.348+03:00,   0.177E+00,   0.35355
      3,2021-05-24T10:47:50.528+03:00,   0.177E+00,   0.53033
      4,2021-05-24T10:47:50.856+03:00,   0.177E+00,   0.70711
      5,2021-05-24T10:47:51.062+03:00,   0.177E+00,   0.88388
      6,2021-05-24T10:47:51.298+03:00,   0.177E+00,   1.06066
      7,2021-05-24T10:47:51.534+03:00,   0.177E+00,   1.23744
      8,2021-05-24T10:47:51.738+03:00,   0.177E+00,   1.41421
      9,2021-05-24T10:47:51.923+03:00,   0.177E+00,   1.59099
     10,2021-05-24T10:47:52.173+03:00,   0.177E+00,   1.76777
     20,2021-05-24T10:47:54.195+03:00,   0.177E+00,   3.53553
     30,2021-05-24T10:47:56.131+03:00,   0.177E+00,   5.30330
     40,2021-05-24T10:47:58.122+03:00,   0.177E+00,   7.07107
     50,2021-05-24T10:48:00.139+03:00,   0.177E+00,   8.83883
     60,2021-05-24T10:48:02.178+03:00,   0.177E+00,  10.60660
     70,2021-05-24T10:48:04.291+03:00,   0.177E+00,  12.37437
     80,2021-05-24T10:48:06.321+03:00,   0.177E+00,  14.14214
     90,2021-05-24T10:48:08.285+03:00,   0.177E+00,  15.90990
    100,2021-05-24T10:48:10.337+03:00,   0.177E+00,  17.67767
    200,2021-05-24T10:48:30.656+03:00,   0.944E-01,  31.91403
    300,2021-05-24T10:48:50.712+03:00,   0.910E-01,  41.63747
    400,2021-05-24T10:49:13.790+03:00,   0.108E+00,  52.10842
    500,2021-05-24T10:49:34.036+03:00,   0.104E+00,  62.36453
    600,2021-05-24T10:49:54.129+03:00,   0.104E+00,  72.76126
    700,2021-05-24T10:50:14.574+03:00,   0.971E-01,  83.11379
    800,2021-05-24T10:50:34.857+03:00,   0.105E+00,  93.50718
    900,2021-05-24T10:50:55.044+03:00,   0.100E+00, 103.60520
   1000,2021-05-24T10:51:15.579+03:00,   0.100E+00, 113.85648
   1100,2021-05-24T10:51:35.911+03:00,   0.978E-01, 123.70182
   1200,2021-05-24T10:51:56.327+03:00,   0.103E+00, 134.44222
   1300,2021-05-24T10:52:16.754+03:00,   0.996E-01, 144.45765
   1400,2021-05-24T10:52:37.028+03:00,   0.981E-01, 155.06239
   1500,2021-05-24T10:52:57.199+03:00,   0.116E+00, 166.43319
   1600,2021-05-24T10:53:17.517+03:00,   0.106E+00, 176.75043
   1700,2021-05-24T10:53:37.986+03:00,   0.975E-01, 187.02005
   1800,2021-05-24T10:53:58.198+03:00,   0.107E+00, 197.26668
