,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-02T06:12:39.634+02:00,   0.235E-01,   0.02353
      2,2021-11-02T06:12:40.004+02:00,   0.259E-01,   0.04941
      3,2021-11-02T06:12:40.346+02:00,   0.285E-01,   0.07789
      4,2021-11-02T06:12:40.783+02:00,   0.285E-01,   0.10636
      5,2021-11-02T06:12:41.119+02:00,   0.285E-01,   0.13483
      6,2021-11-02T06:12:41.470+02:00,   0.313E-01,   0.16615
      7,2021-11-02T06:12:41.903+02:00,   0.313E-01,   0.19747
      8,2021-11-02T06:12:42.249+02:00,   0.313E-01,   0.22879
      9,2021-11-02T06:12:42.584+02:00,   0.313E-01,   0.26011
     10,2021-11-02T06:12:43.038+02:00,   0.313E-01,   0.29142
     20,2021-11-02T06:12:46.009+02:00,   0.313E-01,   0.60461
     30,2021-11-02T06:12:48.984+02:00,   0.313E-01,   0.91780
     40,2021-11-02T06:12:52.163+02:00,   0.276E-01,   1.20098
     50,2021-11-02T06:12:55.124+02:00,   0.276E-01,   1.47664
     60,2021-11-02T06:12:58.211+02:00,   0.247E-01,   1.72616
     70,2021-11-02T06:13:01.326+02:00,   0.247E-01,   1.97277
     80,2021-11-02T06:13:04.336+02:00,   0.247E-01,   2.21937
     90,2021-11-02T06:13:07.316+02:00,   0.247E-01,   2.46598
    100,2021-11-02T06:13:10.446+02:00,   0.211E-01,   2.67703
    200,2021-11-02T06:13:41.199+02:00,   0.230E-01,   4.71144
    300,2021-11-02T06:14:12.502+02:00,   0.243E-01,   6.90523
    400,2021-11-02T06:14:44.726+02:00,   0.131E-01,   9.18948
    500,2021-11-02T06:15:17.944+02:00,   0.994E-02,  10.48223
    600,2021-11-02T06:15:50.669+02:00,   0.130E-01,  11.89618
    700,2021-11-02T06:16:22.056+02:00,   0.131E-01,  13.38253
    800,2021-11-02T06:16:53.364+02:00,   0.231E-01,  15.20823
    900,2021-11-02T06:17:24.716+02:00,   0.240E-01,  17.43926
   1000,2021-11-02T06:17:56.291+02:00,   0.233E-01,  19.76100
   1100,2021-11-02T06:18:28.351+02:00,   0.230E-01,  21.83616
   1200,2021-11-02T06:19:00.800+02:00,   0.226E-01,  24.09306
   1300,2021-11-02T06:19:34.691+02:00,   0.233E-01,  25.79339
   1400,2021-11-02T06:20:09.903+02:00,   0.233E-01,  27.97316
   1500,2021-11-02T06:20:45.280+02:00,   0.157E-01,  30.14478
   1600,2021-11-02T06:21:20.408+02:00,   0.218E-01,  32.18923
   1700,2021-11-02T06:21:52.434+02:00,   0.239E-01,  34.47958
   1800,2021-11-02T06:22:24.857+02:00,   0.225E-01,  36.67799
   1900,2021-11-02T06:22:57.401+02:00,   0.233E-01,  38.61918
   2000,2021-11-02T06:23:29.483+02:00,   0.233E-01,  40.94791
   2100,2021-11-02T06:24:02.631+02:00,   0.145E-01,  42.93826
   2200,2021-11-02T06:24:35.527+02:00,   0.221E-01,  44.71941
   2300,2021-11-02T06:25:08.279+02:00,   0.204E-01,  46.58227
   2400,2021-11-02T06:25:40.799+02:00,   0.165E-01,  48.62022
   2500,2021-11-02T06:26:12.732+02:00,   0.218E-01,  50.27671
   2600,2021-11-02T06:26:44.199+02:00,   0.183E-01,  52.48636
   2700,2021-11-02T06:27:16.089+02:00,   0.142E-01,  54.02833
   2800,2021-11-02T06:27:48.153+02:00,   0.110E-01,  55.50156
