,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-24T10:45:38.972+03:00,   0.177E+00,   0.17678
      2,2021-05-24T10:45:39.101+03:00,   0.177E+00,   0.35355
      3,2021-05-24T10:45:39.240+03:00,   0.177E+00,   0.53033
      4,2021-05-24T10:45:39.397+03:00,   0.177E+00,   0.70711
      5,2021-05-24T10:45:39.524+03:00,   0.177E+00,   0.88388
      6,2021-05-24T10:45:39.685+03:00,   0.177E+00,   1.06066
      7,2021-05-24T10:45:39.865+03:00,   0.177E+00,   1.23744
      8,2021-05-24T10:45:40.010+03:00,   0.177E+00,   1.41421
      9,2021-05-24T10:45:40.141+03:00,   0.177E+00,   1.59099
     10,2021-05-24T10:45:40.302+03:00,   0.177E+00,   1.76777
     20,2021-05-24T10:45:41.803+03:00,   0.177E+00,   3.53553
     30,2021-05-24T10:45:43.249+03:00,   0.177E+00,   5.30330
     40,2021-05-24T10:45:44.769+03:00,   0.177E+00,   7.07107
     50,2021-05-24T10:45:46.162+03:00,   0.177E+00,   8.83883
     60,2021-05-24T10:45:47.637+03:00,   0.177E+00,  10.60660
     70,2021-05-24T10:45:49.165+03:00,   0.177E+00,  12.37437
     80,2021-05-24T10:45:50.699+03:00,   0.177E+00,  14.14214
     90,2021-05-24T10:45:52.134+03:00,   0.177E+00,  15.90990
    100,2021-05-24T10:45:53.674+03:00,   0.177E+00,  17.67767
    200,2021-05-24T10:46:08.375+03:00,   0.981E-01,  31.75514
    300,2021-05-24T10:46:23.025+03:00,   0.108E+00,  42.27175
    400,2021-05-24T10:46:37.792+03:00,   0.105E+00,  52.87198
    500,2021-05-24T10:46:52.843+03:00,   0.107E+00,  63.03188
    600,2021-05-24T10:47:10.473+03:00,   0.102E+00,  73.56965
    700,2021-05-24T10:47:25.966+03:00,   0.111E+00,  83.87690
    800,2021-05-24T10:47:40.787+03:00,   0.108E+00,  94.70739
    900,2021-05-24T10:48:02.370+03:00,   0.108E+00, 105.46634
   1000,2021-05-24T10:48:26.342+03:00,   0.107E+00, 115.99598
   1100,2021-05-24T10:48:49.991+03:00,   0.107E+00, 126.66008
   1200,2021-05-24T10:49:13.980+03:00,   0.107E+00, 137.32418
   1300,2021-05-24T10:49:37.813+03:00,   0.114E+00, 148.15360
   1400,2021-05-24T10:50:01.860+03:00,   0.102E+00, 158.68380
   1500,2021-05-24T10:50:25.672+03:00,   0.107E+00, 169.31542
   1600,2021-05-24T10:50:49.634+03:00,   0.107E+00, 179.99173
   1700,2021-05-24T10:51:13.363+03:00,   0.107E+00, 190.66804
   1800,2021-05-24T10:51:37.101+03:00,   0.105E+00, 201.52679
   1900,2021-05-24T10:52:00.769+03:00,   0.105E+00, 212.00834
   2000,2021-05-24T10:52:24.542+03:00,   0.103E+00, 222.35815
   2100,2021-05-24T10:52:48.388+03:00,   0.111E+00, 232.86589
   2200,2021-05-24T10:53:12.345+03:00,   0.109E+00, 243.76804
   2300,2021-05-24T10:53:36.213+03:00,   0.978E-01, 254.21814
   2400,2021-05-24T10:53:59.862+03:00,   0.108E+00, 264.94499
   2500,2021-05-24T10:54:23.506+03:00,   0.105E+00, 275.28912
   2600,2021-05-24T10:54:47.164+03:00,   0.103E+00, 286.21726
   2700,2021-05-24T10:55:10.908+03:00,   0.109E+00, 296.88357
   2800,2021-05-24T10:55:34.648+03:00,   0.107E+00, 307.48095
   2900,2021-05-24T10:55:58.380+03:00,   0.118E+00, 318.26577
   3000,2021-05-24T10:56:21.947+03:00,   0.115E+00, 328.95877
   3100,2021-05-24T10:56:45.591+03:00,   0.997E-01, 339.30636
   3200,2021-05-24T10:57:09.470+03:00,   0.106E+00, 349.39625
   3300,2021-05-24T10:57:33.074+03:00,   0.106E+00, 359.98045
   3400,2021-05-24T10:57:56.675+03:00,   0.102E+00, 370.70773
