,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-03T08:56:00.434+02:00,   0.235E-01,   0.02353
      2,2021-11-03T08:56:00.794+02:00,   0.259E-01,   0.04941
      3,2021-11-03T08:56:01.146+02:00,   0.285E-01,   0.07789
      4,2021-11-03T08:56:01.588+02:00,   0.285E-01,   0.10636
      5,2021-11-03T08:56:01.946+02:00,   0.285E-01,   0.13483
      6,2021-11-03T08:56:02.303+02:00,   0.313E-01,   0.16615
      7,2021-11-03T08:56:02.735+02:00,   0.313E-01,   0.19747
      8,2021-11-03T08:56:03.095+02:00,   0.313E-01,   0.22879
      9,2021-11-03T08:56:03.439+02:00,   0.313E-01,   0.26011
     10,2021-11-03T08:56:03.892+02:00,   0.313E-01,   0.29142
     20,2021-11-03T08:56:06.900+02:00,   0.313E-01,   0.60461
     30,2021-11-03T08:56:09.910+02:00,   0.313E-01,   0.91780
     40,2021-11-03T08:56:13.183+02:00,   0.276E-01,   1.20097
     50,2021-11-03T08:56:16.262+02:00,   0.276E-01,   1.47664
     60,2021-11-03T08:56:19.450+02:00,   0.247E-01,   1.72615
     70,2021-11-03T08:56:22.652+02:00,   0.247E-01,   1.97276
     80,2021-11-03T08:56:25.799+02:00,   0.247E-01,   2.21937
     90,2021-11-03T08:56:28.907+02:00,   0.247E-01,   2.46598
    100,2021-11-03T08:56:32.210+02:00,   0.211E-01,   2.67703
    200,2021-11-03T08:57:04.380+02:00,   0.231E-01,   4.71277
    300,2021-11-03T08:57:36.178+02:00,   0.239E-01,   6.89047
    400,2021-11-03T08:58:08.201+02:00,   0.142E-01,   9.15745
    500,2021-11-03T08:58:40.393+02:00,   0.173E-01,  10.66956
    600,2021-11-03T08:59:12.774+02:00,   0.213E-01,  12.34287
    700,2021-11-03T08:59:45.216+02:00,   0.227E-01,  14.33873
    800,2021-11-03T09:00:17.529+02:00,   0.130E-01,  16.40355
    900,2021-11-03T09:00:49.449+02:00,   0.156E-01,  17.86983
   1000,2021-11-03T09:01:21.375+02:00,   0.154E-01,  19.59485
   1100,2021-11-03T09:01:53.402+02:00,   0.212E-01,  21.62733
   1200,2021-11-03T09:02:25.624+02:00,   0.223E-01,  23.82883
   1300,2021-11-03T09:02:59.518+02:00,   0.230E-01,  25.61286
   1400,2021-11-03T09:03:33.418+02:00,   0.130E-01,  27.52917
   1500,2021-11-03T09:04:07.709+02:00,   0.185E-01,  29.10052
   1600,2021-11-03T09:04:41.329+02:00,   0.178E-01,  31.24278
   1700,2021-11-03T09:05:18.891+02:00,   0.100E-01,  32.81469
   1800,2021-11-03T09:05:55.482+02:00,   0.138E-01,  34.47088
   1900,2021-11-03T09:06:29.457+02:00,   0.196E-01,  36.60926
   2000,2021-11-03T09:07:02.968+02:00,   0.225E-01,  38.72302
   2100,2021-11-03T09:07:36.887+02:00,   0.232E-01,  40.73516
   2200,2021-11-03T09:08:10.875+02:00,   0.156E-01,  42.85479
   2300,2021-11-03T09:08:44.778+02:00,   0.236E-01,  44.92496
   2400,2021-11-03T09:09:20.848+02:00,   0.109E-01,  46.41956
   2500,2021-11-03T09:09:57.419+02:00,   0.129E-01,  47.97090
   2600,2021-11-03T09:10:33.123+02:00,   0.219E-01,  49.95109
   2700,2021-11-03T09:11:06.332+02:00,   0.188E-01,  52.25840
   2800,2021-11-03T09:11:40.906+02:00,   0.163E-01,  54.02852
   2900,2021-11-03T09:12:14.838+02:00,   0.228E-01,  55.82267
   3000,2021-11-03T09:12:49.178+02:00,   0.239E-01,  57.68434
   3100,2021-11-03T09:13:23.139+02:00,   0.216E-01,  59.71917
   3200,2021-11-03T09:13:56.976+02:00,   0.225E-01,  61.86412
   3300,2021-11-03T09:14:30.879+02:00,   0.223E-01,  63.96666
   3400,2021-11-03T09:15:04.213+02:00,   0.209E-01,  66.22132
   3500,2021-11-03T09:15:38.638+02:00,   0.130E-01,  67.80075
   3600,2021-11-03T09:16:12.963+02:00,   0.174E-01,  69.09317
   3700,2021-11-03T09:16:47.491+02:00,   0.131E-01,  70.49963
   3800,2021-11-03T09:17:22.109+02:00,   0.212E-01,  72.29344
   3900,2021-11-03T09:17:56.416+02:00,   0.218E-01,  74.15900
   4000,2021-11-03T09:18:30.035+02:00,   0.223E-01,  76.33264
   4100,2021-11-03T09:19:03.562+02:00,   0.221E-01,  78.54687
   4200,2021-11-03T09:19:37.019+02:00,   0.243E-01,  80.96048
   4300,2021-11-03T09:20:11.410+02:00,   0.233E-01,  83.06434
   4400,2021-11-03T09:20:45.480+02:00,   0.236E-01,  85.21576
   4500,2021-11-03T09:21:19.182+02:00,   0.213E-01,  87.39463
   4600,2021-11-03T09:21:54.195+02:00,   0.241E-01,  89.30382
   4700,2021-11-03T09:22:30.660+02:00,   0.155E-01,  91.38887
   4800,2021-11-03T09:23:04.470+02:00,   0.206E-01,  93.11250
   4900,2021-11-03T09:23:38.720+02:00,   0.229E-01,  94.74444
   5000,2021-11-03T09:24:12.354+02:00,   0.246E-01,  96.91003
   5100,2021-11-03T09:24:46.793+02:00,   0.175E-01,  98.52167
   5200,2021-11-03T09:25:20.798+02:00,   0.229E-01, 100.44780
   5300,2021-11-03T09:25:54.623+02:00,   0.239E-01, 102.44221
   5400,2021-11-03T09:26:29.058+02:00,   0.218E-01, 104.59995
   5500,2021-11-03T09:27:03.700+02:00,   0.122E-01, 106.81235
   5600,2021-11-03T09:27:36.523+02:00,   0.231E-01, 108.54734
   5700,2021-11-03T09:28:09.828+02:00,   0.195E-01, 110.74844
   5800,2021-11-03T09:28:43.203+02:00,   0.209E-01, 113.02408
   5900,2021-11-03T09:29:17.224+02:00,   0.224E-01, 114.75011
   6000,2021-11-03T09:29:51.285+02:00,   0.134E-01, 116.53485
