,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-24T19:19:24.835+03:00,   0.177E+00,   0.17678
      2,2021-05-24T19:19:25.126+03:00,   0.177E+00,   0.35355
      3,2021-05-24T19:19:25.402+03:00,   0.177E+00,   0.53033
      4,2021-05-24T19:19:25.791+03:00,   0.177E+00,   0.70711
      5,2021-05-24T19:19:26.061+03:00,   0.177E+00,   0.88388
      6,2021-05-24T19:19:26.378+03:00,   0.177E+00,   1.06066
      7,2021-05-24T19:19:26.764+03:00,   0.177E+00,   1.23744
      8,2021-05-24T19:19:27.053+03:00,   0.177E+00,   1.41421
      9,2021-05-24T19:19:27.316+03:00,   0.177E+00,   1.59099
     10,2021-05-24T19:19:27.704+03:00,   0.177E+00,   1.76777
     20,2021-05-24T19:19:30.814+03:00,   0.177E+00,   3.53553
     30,2021-05-24T19:19:33.910+03:00,   0.177E+00,   5.30330
     40,2021-05-24T19:19:37.108+03:00,   0.177E+00,   7.07107
     50,2021-05-24T19:19:40.240+03:00,   0.177E+00,   8.83883
     60,2021-05-24T19:19:43.375+03:00,   0.177E+00,  10.60660
     70,2021-05-24T19:19:46.554+03:00,   0.177E+00,  12.37437
     80,2021-05-24T19:19:49.596+03:00,   0.177E+00,  14.14214
     90,2021-05-24T19:19:52.717+03:00,   0.177E+00,  15.90990
    100,2021-05-24T19:19:55.991+03:00,   0.177E+00,  17.67767
    200,2021-05-24T19:20:28.316+03:00,   0.100E+00,  32.67512
    300,2021-05-24T19:21:03.361+03:00,   0.121E+00,  44.55035
    400,2021-05-24T19:21:41.903+03:00,   0.121E+00,  56.66690
    500,2021-05-24T19:22:20.807+03:00,   0.121E+00,  68.78346
    600,2021-05-24T19:22:59.535+03:00,   0.117E+00,  80.35233
    700,2021-05-24T19:23:36.170+03:00,   0.105E+00,  91.82148
    800,2021-05-24T19:24:12.568+03:00,   0.111E+00, 102.81550
    900,2021-05-24T19:24:48.881+03:00,   0.126E+00, 114.27125
   1000,2021-05-24T19:25:25.331+03:00,   0.110E+00, 125.23639
   1100,2021-05-24T19:26:01.441+03:00,   0.110E+00, 136.20411
   1200,2021-05-24T19:26:38.181+03:00,   0.121E+00, 147.43506
   1300,2021-05-24T19:27:15.526+03:00,   0.114E+00, 158.86768
   1400,2021-05-24T19:27:52.351+03:00,   0.123E+00, 170.25064
   1500,2021-05-24T19:28:29.438+03:00,   0.122E+00, 182.25703
   1600,2021-05-24T19:29:06.626+03:00,   0.117E+00, 193.72327
   1700,2021-05-24T19:29:43.217+03:00,   0.117E+00, 205.42044
   1800,2021-05-24T19:30:19.903+03:00,   0.117E+00, 217.11761
   1900,2021-05-24T19:30:57.339+03:00,   0.116E+00, 229.01906
   2000,2021-05-24T19:31:34.121+03:00,   0.123E+00, 240.41975
   2100,2021-05-24T19:32:11.534+03:00,   0.117E+00, 251.91720
   2200,2021-05-24T19:32:49.079+03:00,   0.124E+00, 263.67684
   2300,2021-05-24T19:33:26.135+03:00,   0.121E+00, 275.40299
   2400,2021-05-24T19:34:03.013+03:00,   0.112E+00, 287.00353
   2500,2021-05-24T19:34:40.308+03:00,   0.117E+00, 298.46686
   2600,2021-05-24T19:35:16.802+03:00,   0.117E+00, 310.18242
   2700,2021-05-24T19:35:52.864+03:00,   0.129E+00, 322.35489
   2800,2021-05-24T19:36:29.445+03:00,   0.123E+00, 333.97745
   2900,2021-05-24T19:37:06.162+03:00,   0.116E+00, 345.76432
   3000,2021-05-24T19:37:42.500+03:00,   0.116E+00, 357.34072
   3100,2021-05-24T19:38:18.598+03:00,   0.108E+00, 368.77471
   3200,2021-05-24T19:38:54.485+03:00,   0.105E+00, 380.04278
   3300,2021-05-24T19:39:30.298+03:00,   0.112E+00, 391.22182
   3400,2021-05-24T19:40:06.555+03:00,   0.110E+00, 402.99258
   3500,2021-05-24T19:40:42.724+03:00,   0.121E+00, 414.64180
   3600,2021-05-24T19:41:19.952+03:00,   0.101E+00, 426.06512
   3700,2021-05-24T19:41:56.546+03:00,   0.110E+00, 437.25314
   3800,2021-05-24T19:42:31.950+03:00,   0.121E+00, 448.95185
   3900,2021-05-24T19:43:08.128+03:00,   0.119E+00, 460.43144
   4000,2021-05-24T19:43:44.982+03:00,   0.117E+00, 471.50449
   4100,2021-05-24T19:44:20.705+03:00,   0.110E+00, 482.78192
   4200,2021-05-24T19:44:56.958+03:00,   0.110E+00, 493.80446
   4300,2021-05-24T19:45:33.507+03:00,   0.121E+00, 505.08734
   4400,2021-05-24T19:46:09.823+03:00,   0.120E+00, 517.05049
   4500,2021-05-24T19:46:45.555+03:00,   0.116E+00, 527.99741
   4600,2021-05-24T19:47:21.233+03:00,   0.114E+00, 539.86796
   4700,2021-05-24T19:47:57.337+03:00,   0.115E+00, 551.43377
   4800,2021-05-24T19:48:33.700+03:00,   0.122E+00, 563.33608
   4900,2021-05-24T19:49:10.467+03:00,   0.108E+00, 575.38554
   5000,2021-05-24T19:49:46.600+03:00,   0.113E+00, 587.13852
   5100,2021-05-24T19:50:22.422+03:00,   0.105E+00, 598.67378
   5200,2021-05-24T19:50:58.693+03:00,   0.115E+00, 610.19560
   5300,2021-05-24T19:51:34.711+03:00,   0.110E+00, 621.92492
   5400,2021-05-24T19:52:11.266+03:00,   0.114E+00, 633.45468
   5500,2021-05-24T19:52:47.861+03:00,   0.112E+00, 645.28319
   5600,2021-05-24T19:53:24.560+03:00,   0.995E-01, 656.46168
   5700,2021-05-24T19:54:00.256+03:00,   0.107E+00, 667.70861
   5800,2021-05-24T19:54:35.816+03:00,   0.106E+00, 679.21616
   5900,2021-05-24T19:55:11.581+03:00,   0.116E+00, 690.81089
   6000,2021-05-24T19:55:47.064+03:00,   0.115E+00, 702.15461
   6100,2021-05-24T19:56:22.723+03:00,   0.115E+00, 713.65642
   6200,2021-05-24T19:56:58.400+03:00,   0.102E+00, 724.86402
   6300,2021-05-24T19:57:35.023+03:00,   0.118E+00, 736.41083
   6400,2021-05-24T19:58:11.154+03:00,   0.117E+00, 748.35318
   6500,2021-05-24T19:58:46.565+03:00,   0.117E+00, 760.01993
   6600,2021-05-24T19:59:22.693+03:00,   0.111E+00, 770.92261
   6700,2021-05-24T19:59:59.543+03:00,   0.120E+00, 782.15557
   6800,2021-05-24T20:00:36.391+03:00,   0.107E+00, 793.05335
   6900,2021-05-24T20:01:12.726+03:00,   0.117E+00, 804.26846
   7000,2021-05-24T20:01:48.764+03:00,   0.125E+00, 816.12786
