,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-03T18:21:00.861+02:00,   0.235E-01,   0.02353
      2,2021-11-03T18:21:01.150+02:00,   0.259E-01,   0.04941
      3,2021-11-03T18:21:01.431+02:00,   0.285E-01,   0.07789
      4,2021-11-03T18:21:01.790+02:00,   0.285E-01,   0.10636
      5,2021-11-03T18:21:02.055+02:00,   0.285E-01,   0.13483
      6,2021-11-03T18:21:02.341+02:00,   0.313E-01,   0.16615
      7,2021-11-03T18:21:02.697+02:00,   0.313E-01,   0.19747
      8,2021-11-03T18:21:02.983+02:00,   0.313E-01,   0.22879
      9,2021-11-03T18:21:03.270+02:00,   0.313E-01,   0.26011
     10,2021-11-03T18:21:03.607+02:00,   0.313E-01,   0.29142
     20,2021-11-03T18:21:06.022+02:00,   0.313E-01,   0.60461
     30,2021-11-03T18:21:09.317+02:00,   0.313E-01,   0.91780
     40,2021-11-03T18:21:12.794+02:00,   0.276E-01,   1.20099
     50,2021-11-03T18:21:16.125+02:00,   0.276E-01,   1.47667
     60,2021-11-03T18:21:19.547+02:00,   0.247E-01,   1.72619
     70,2021-11-03T18:21:22.829+02:00,   0.247E-01,   1.97281
     80,2021-11-03T18:21:26.220+02:00,   0.247E-01,   2.21942
     90,2021-11-03T18:21:29.586+02:00,   0.247E-01,   2.46603
    100,2021-11-03T18:21:33.175+02:00,   0.211E-01,   2.67702
    200,2021-11-03T18:22:07.017+02:00,   0.233E-01,   4.71638
    300,2021-11-03T18:22:37.998+02:00,   0.224E-01,   6.94297
    400,2021-11-03T18:23:09.175+02:00,   0.226E-01,   9.15134
    500,2021-11-03T18:23:44.655+02:00,   0.167E-01,  10.86850
    600,2021-11-03T18:24:19.491+02:00,   0.120E-01,  12.31114
    700,2021-11-03T18:24:53.494+02:00,   0.218E-01,  14.02475
    800,2021-11-03T18:25:28.049+02:00,   0.234E-01,  16.01591
    900,2021-11-03T18:26:02.399+02:00,   0.138E-01,  18.10955
   1000,2021-11-03T18:26:38.817+02:00,   0.191E-01,  19.51037
   1100,2021-11-03T18:27:16.603+02:00,   0.220E-01,  20.90577
   1200,2021-11-03T18:27:52.602+02:00,   0.222E-01,  22.99481
   1300,2021-11-03T18:28:31.661+02:00,   0.229E-01,  25.25602
   1400,2021-11-03T18:29:07.838+02:00,   0.123E-01,  26.73270
   1500,2021-11-03T18:29:44.057+02:00,   0.210E-01,  28.64762
   1600,2021-11-03T18:30:20.874+02:00,   0.160E-01,  30.57064
   1700,2021-11-03T18:30:57.349+02:00,   0.129E-01,  32.22703
   1800,2021-11-03T18:31:33.547+02:00,   0.162E-01,  33.83240
   1900,2021-11-03T18:32:09.447+02:00,   0.229E-01,  35.88752
   2000,2021-11-03T18:32:45.902+02:00,   0.216E-01,  37.74982
   2100,2021-11-03T18:33:23.821+02:00,   0.220E-01,  39.20571
   2200,2021-11-03T18:34:02.790+02:00,   0.235E-01,  41.31809
   2300,2021-11-03T18:34:41.062+02:00,   0.212E-01,  43.29595
