,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-03T18:21:15.079+02:00,   0.286E-01,   0.02864
      2,2021-11-03T18:21:15.408+02:00,   0.315E-01,   0.06015
      3,2021-11-03T18:21:15.749+02:00,   0.347E-01,   0.09481
      4,2021-11-03T18:21:16.172+02:00,   0.347E-01,   0.12947
      5,2021-11-03T18:21:16.494+02:00,   0.347E-01,   0.16412
      6,2021-11-03T18:21:16.857+02:00,   0.347E-01,   0.19878
      7,2021-11-03T18:21:17.277+02:00,   0.347E-01,   0.23344
      8,2021-11-03T18:21:17.776+02:00,   0.307E-01,   0.26417
      9,2021-11-03T18:21:18.129+02:00,   0.307E-01,   0.29490
     10,2021-11-03T18:21:18.579+02:00,   0.307E-01,   0.32563
     20,2021-11-03T18:21:21.578+02:00,   0.307E-01,   0.63292
     30,2021-11-03T18:21:24.502+02:00,   0.307E-01,   0.94022
     40,2021-11-03T18:21:27.754+02:00,   0.236E-01,   1.19024
     50,2021-11-03T18:21:30.827+02:00,   0.205E-01,   1.39541
     60,2021-11-03T18:21:33.861+02:00,   0.200E-01,   1.58865
     70,2021-11-03T18:21:36.907+02:00,   0.221E-01,   1.80315
     80,2021-11-03T18:21:40.091+02:00,   0.170E-01,   2.00422
     90,2021-11-03T18:21:43.060+02:00,   0.170E-01,   2.17416
    100,2021-11-03T18:21:46.081+02:00,   0.206E-01,   2.35293
    200,2021-11-03T18:22:17.604+02:00,   0.235E-01,   4.40878
    300,2021-11-03T18:22:49.116+02:00,   0.195E-01,   6.58445
    400,2021-11-03T18:23:20.509+02:00,   0.181E-01,   8.81041
    500,2021-11-03T18:23:50.858+02:00,   0.220E-01,  10.91848
    600,2021-11-03T18:24:22.764+02:00,   0.254E-01,  13.21675
    700,2021-11-03T18:24:54.578+02:00,   0.221E-01,  15.33535
    800,2021-11-03T18:25:25.283+02:00,   0.191E-01,  17.55148
    900,2021-11-03T18:25:56.531+02:00,   0.208E-01,  19.78824
   1000,2021-11-03T18:26:27.611+02:00,   0.232E-01,  21.97095
   1100,2021-11-03T18:26:58.006+02:00,   0.253E-01,  24.15889
   1200,2021-11-03T18:27:28.611+02:00,   0.240E-01,  26.37497
   1300,2021-11-03T18:27:59.476+02:00,   0.195E-01,  28.30953
   1400,2021-11-03T18:28:30.515+02:00,   0.237E-01,  30.13429
   1500,2021-11-03T18:29:02.222+02:00,   0.182E-01,  32.27463
   1600,2021-11-03T18:29:35.072+02:00,   0.260E-01,  34.37146
   1700,2021-11-03T18:30:06.511+02:00,   0.205E-01,  36.63622
   1800,2021-11-03T18:30:38.136+02:00,   0.184E-01,  38.70268
   1900,2021-11-03T18:31:09.686+02:00,   0.211E-01,  40.83761
   2000,2021-11-03T18:31:43.633+02:00,   0.208E-01,  42.99686
   2100,2021-11-03T18:32:15.879+02:00,   0.251E-01,  45.19202
   2200,2021-11-03T18:32:47.401+02:00,   0.245E-01,  47.25756
   2300,2021-11-03T18:33:18.641+02:00,   0.198E-01,  49.47710
   2400,2021-11-03T18:33:50.118+02:00,   0.164E-01,  51.78620
   2500,2021-11-03T18:34:20.311+02:00,   0.231E-01,  53.95866
   2600,2021-11-03T18:34:50.838+02:00,   0.189E-01,  56.23731
   2700,2021-11-03T18:35:22.554+02:00,   0.216E-01,  58.36461
   2800,2021-11-03T18:35:55.159+02:00,   0.224E-01,  60.51068
   2900,2021-11-03T18:36:27.237+02:00,   0.188E-01,  62.65029
   3000,2021-11-03T18:36:58.874+02:00,   0.249E-01,  64.73063
   3100,2021-11-03T18:37:30.002+02:00,   0.230E-01,  66.81639
   3200,2021-11-03T18:38:02.555+02:00,   0.183E-01,  69.00936
   3300,2021-11-03T18:38:34.075+02:00,   0.203E-01,  71.01790
   3400,2021-11-03T18:39:04.221+02:00,   0.248E-01,  73.41572
