,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-04T06:31:07.137+02:00,   0.235E-01,   0.02353
      2,2021-11-04T06:31:07.445+02:00,   0.259E-01,   0.04941
      3,2021-11-04T06:31:07.758+02:00,   0.285E-01,   0.07789
      4,2021-11-04T06:31:08.142+02:00,   0.285E-01,   0.10636
      5,2021-11-04T06:31:08.451+02:00,   0.285E-01,   0.13483
      6,2021-11-04T06:31:08.793+02:00,   0.313E-01,   0.16615
      7,2021-11-04T06:31:09.208+02:00,   0.313E-01,   0.19747
      8,2021-11-04T06:31:09.544+02:00,   0.313E-01,   0.22879
      9,2021-11-04T06:31:09.891+02:00,   0.313E-01,   0.26011
     10,2021-11-04T06:31:10.299+02:00,   0.313E-01,   0.29142
     20,2021-11-04T06:31:13.159+02:00,   0.313E-01,   0.60461
     30,2021-11-04T06:31:16.016+02:00,   0.313E-01,   0.91780
     40,2021-11-04T06:31:19.068+02:00,   0.276E-01,   1.20097
     50,2021-11-04T06:31:22.093+02:00,   0.276E-01,   1.47663
     60,2021-11-04T06:31:25.282+02:00,   0.247E-01,   1.72615
     70,2021-11-04T06:31:28.413+02:00,   0.247E-01,   1.97276
     80,2021-11-04T06:31:31.463+02:00,   0.247E-01,   2.21937
     90,2021-11-04T06:31:34.549+02:00,   0.247E-01,   2.46598
    100,2021-11-04T06:31:37.778+02:00,   0.211E-01,   2.67704
    200,2021-11-04T06:32:09.313+02:00,   0.230E-01,   4.71100
    300,2021-11-04T06:32:40.377+02:00,   0.237E-01,   6.87286
    400,2021-11-04T06:33:11.145+02:00,   0.161E-01,   9.12835
    500,2021-11-04T06:33:43.890+02:00,   0.969E-02,  10.54875
    600,2021-11-04T06:34:16.173+02:00,   0.142E-01,  12.13626
    700,2021-11-04T06:34:47.691+02:00,   0.215E-01,  13.84341
    800,2021-11-04T06:35:20.811+02:00,   0.221E-01,  16.03704
    900,2021-11-04T06:35:53.576+02:00,   0.240E-01,  18.28338
   1000,2021-11-04T06:36:25.038+02:00,   0.151E-01,  19.84131
   1100,2021-11-04T06:36:55.658+02:00,   0.161E-01,  21.45036
   1200,2021-11-04T06:37:27.677+02:00,   0.194E-01,  23.14950
   1300,2021-11-04T06:38:00.451+02:00,   0.211E-01,  24.66240
   1400,2021-11-04T06:38:32.241+02:00,   0.239E-01,  26.89392
   1500,2021-11-04T06:39:03.704+02:00,   0.224E-01,  29.19088
   1600,2021-11-04T06:39:35.106+02:00,   0.246E-01,  31.62116
   1700,2021-11-04T06:40:06.870+02:00,   0.176E-01,  33.84668
   1800,2021-11-04T06:40:38.883+02:00,   0.160E-01,  36.03404
   1900,2021-11-04T06:41:10.802+02:00,   0.221E-01,  38.18760
   2000,2021-11-04T06:41:42.655+02:00,   0.240E-01,  40.30671
   2100,2021-11-04T06:42:14.078+02:00,   0.210E-01,  42.68099
   2200,2021-11-04T06:42:46.394+02:00,   0.201E-01,  44.52235
   2300,2021-11-04T06:43:18.122+02:00,   0.222E-01,  46.48401
   2400,2021-11-04T06:43:50.594+02:00,   0.122E-01,  48.13163
   2500,2021-11-04T06:44:22.801+02:00,   0.126E-01,  49.59851
   2600,2021-11-04T06:44:54.857+02:00,   0.224E-01,  51.29593
   2700,2021-11-04T06:45:27.788+02:00,   0.210E-01,  52.89066
   2800,2021-11-04T06:45:59.850+02:00,   0.214E-01,  54.56229
   2900,2021-11-04T06:46:32.204+02:00,   0.113E-01,  56.40021
   3000,2021-11-04T06:47:04.454+02:00,   0.153E-01,  57.48542
   3100,2021-11-04T06:47:36.738+02:00,   0.117E-01,  58.86361
   3200,2021-11-04T06:48:08.284+02:00,   0.218E-01,  60.39484
   3300,2021-11-04T06:48:39.480+02:00,   0.205E-01,  62.37516
   3400,2021-11-04T06:49:11.265+02:00,   0.200E-01,  63.86802
   3500,2021-11-04T06:49:42.674+02:00,   0.183E-01,  65.70072
   3600,2021-11-04T06:50:15.281+02:00,   0.105E-01,  67.31082
   3700,2021-11-04T06:50:47.152+02:00,   0.225E-01,  68.66242
   3800,2021-11-04T06:51:17.965+02:00,   0.194E-01,  70.69650
   3900,2021-11-04T06:51:49.039+02:00,   0.120E-01,  72.19543
   4000,2021-11-04T06:52:20.903+02:00,   0.111E-01,  73.45457
   4100,2021-11-04T06:52:52.524+02:00,   0.208E-01,  75.04251
   4200,2021-11-04T06:53:24.775+02:00,   0.223E-01,  76.94406
   4300,2021-11-04T06:53:56.243+02:00,   0.230E-01,  79.13018
   4400,2021-11-04T06:54:27.899+02:00,   0.201E-01,  81.25059
   4500,2021-11-04T06:54:59.493+02:00,   0.109E-01,  82.81264
   4600,2021-11-04T06:55:30.892+02:00,   0.192E-01,  84.33342
   4700,2021-11-04T06:56:05.629+02:00,   0.212E-01,  86.12348
   4800,2021-11-04T06:56:36.912+02:00,   0.226E-01,  88.16940
   4900,2021-11-04T06:57:08.169+02:00,   0.181E-01,  90.28434
   5000,2021-11-04T06:57:40.132+02:00,   0.215E-01,  91.94106
   5100,2021-11-04T06:58:11.661+02:00,   0.135E-01,  93.38383
   5200,2021-11-04T06:58:43.920+02:00,   0.143E-01,  94.75631
   5300,2021-11-04T06:59:17.563+02:00,   0.180E-01,  96.48126
   5400,2021-11-04T06:59:50.856+02:00,   0.134E-01,  98.10819
   5500,2021-11-04T07:00:23.127+02:00,   0.106E-01,  99.70470
   5600,2021-11-04T07:00:55.078+02:00,   0.215E-01, 101.42989
