,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-04T21:16:07.893+02:00,   0.235E-01,   0.02353
      2,2021-11-04T21:16:08.094+02:00,   0.259E-01,   0.04941
      3,2021-11-04T21:16:08.284+02:00,   0.285E-01,   0.07789
      4,2021-11-04T21:16:08.519+02:00,   0.285E-01,   0.10636
      5,2021-11-04T21:16:08.714+02:00,   0.285E-01,   0.13483
      6,2021-11-04T21:16:08.918+02:00,   0.313E-01,   0.16615
      7,2021-11-04T21:16:09.153+02:00,   0.313E-01,   0.19747
      8,2021-11-04T21:16:09.356+02:00,   0.313E-01,   0.22879
      9,2021-11-04T21:16:09.559+02:00,   0.313E-01,   0.26011
     10,2021-11-04T21:16:09.810+02:00,   0.313E-01,   0.29142
     20,2021-11-04T21:16:11.423+02:00,   0.313E-01,   0.60461
     30,2021-11-04T21:16:13.208+02:00,   0.313E-01,   0.91780
     40,2021-11-04T21:16:15.352+02:00,   0.276E-01,   1.20099
     50,2021-11-04T21:16:17.422+02:00,   0.276E-01,   1.47667
     60,2021-11-04T21:16:19.764+02:00,   0.247E-01,   1.72619
     70,2021-11-04T21:16:21.971+02:00,   0.247E-01,   1.97281
     80,2021-11-04T21:16:24.698+02:00,   0.247E-01,   2.21942
     90,2021-11-04T21:16:27.372+02:00,   0.247E-01,   2.46604
    100,2021-11-04T21:16:30.375+02:00,   0.211E-01,   2.67702
    200,2021-11-04T21:17:06.304+02:00,   0.231E-01,   4.69473
    300,2021-11-04T21:17:38.126+02:00,   0.223E-01,   6.90936
    400,2021-11-04T21:18:13.926+02:00,   0.195E-01,   9.16201
    500,2021-11-04T21:18:46.898+02:00,   0.168E-01,  10.48515
    600,2021-11-04T21:19:20.204+02:00,   0.135E-01,  12.03434
    700,2021-11-04T21:19:53.214+02:00,   0.125E-01,  13.65644
    800,2021-11-04T21:20:29.960+02:00,   0.227E-01,  15.37739
    900,2021-11-04T21:21:06.513+02:00,   0.159E-01,  17.50423
   1000,2021-11-04T21:21:40.356+02:00,   0.222E-01,  19.09123
   1100,2021-11-04T21:22:14.197+02:00,   0.231E-01,  21.14723
   1200,2021-11-04T21:22:48.724+02:00,   0.220E-01,  23.06486
   1300,2021-11-04T21:23:26.433+02:00,   0.237E-01,  25.40274
   1400,2021-11-04T21:24:03.307+02:00,   0.215E-01,  27.57790
   1500,2021-11-04T21:24:39.750+02:00,   0.216E-01,  29.63322
   1600,2021-11-04T21:25:20.696+02:00,   0.227E-01,  31.82329
   1700,2021-11-04T21:25:56.092+02:00,   0.227E-01,  34.09544
   1800,2021-11-04T21:26:32.607+02:00,   0.196E-01,  35.93038
   1900,2021-11-04T21:27:09.460+02:00,   0.234E-01,  37.82556
   2000,2021-11-04T21:27:44.793+02:00,   0.234E-01,  40.16606
   2100,2021-11-04T21:28:20.564+02:00,   0.228E-01,  42.42061
   2200,2021-11-04T21:28:57.674+02:00,   0.175E-01,  44.50115
   2300,2021-11-04T21:29:36.155+02:00,   0.122E-01,  46.13763
   2400,2021-11-04T21:30:21.076+02:00,   0.150E-01,  47.75080
   2500,2021-11-04T21:30:59.382+02:00,   0.212E-01,  49.68296
   2600,2021-11-04T21:31:36.648+02:00,   0.233E-01,  51.93411
   2700,2021-11-04T21:32:12.606+02:00,   0.172E-01,  54.04337
   2800,2021-11-04T21:32:48.898+02:00,   0.181E-01,  55.99209
   2900,2021-11-04T21:33:26.979+02:00,   0.162E-01,  57.67533
   3000,2021-11-04T21:34:05.174+02:00,   0.212E-01,  59.39113
   3100,2021-11-04T21:34:43.621+02:00,   0.152E-01,  61.28528
   3200,2021-11-04T21:35:20.693+02:00,   0.207E-01,  62.77660
   3300,2021-11-04T21:35:58.700+02:00,   0.205E-01,  64.52207
   3400,2021-11-04T21:36:36.446+02:00,   0.213E-01,  66.09168
