,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-23T21:46:01.367+03:00,   0.177E+00,   0.17678
      2,2021-05-23T21:46:01.697+03:00,   0.177E+00,   0.35355
      3,2021-05-23T21:46:02.006+03:00,   0.177E+00,   0.53033
      4,2021-05-23T21:46:02.542+03:00,   0.177E+00,   0.70711
      5,2021-05-23T21:46:02.812+03:00,   0.177E+00,   0.88388
      6,2021-05-23T21:46:03.154+03:00,   0.177E+00,   1.06066
      7,2021-05-23T21:46:03.816+03:00,   0.177E+00,   1.23744
      8,2021-05-23T21:46:04.098+03:00,   0.177E+00,   1.41421
      9,2021-05-23T21:46:04.391+03:00,   0.177E+00,   1.59099
     10,2021-05-23T21:46:05.044+03:00,   0.177E+00,   1.76777
     20,2021-05-23T21:46:09.207+03:00,   0.177E+00,   3.53553
     30,2021-05-23T21:46:13.598+03:00,   0.177E+00,   5.30330
     40,2021-05-23T21:46:18.188+03:00,   0.177E+00,   7.07107
     50,2021-05-23T21:46:22.238+03:00,   0.177E+00,   8.83883
     60,2021-05-23T21:46:26.879+03:00,   0.177E+00,  10.60660
     70,2021-05-23T21:46:31.262+03:00,   0.177E+00,  12.37437
     80,2021-05-23T21:46:35.475+03:00,   0.177E+00,  14.14214
     90,2021-05-23T21:46:40.325+03:00,   0.177E+00,  15.90990
    100,2021-05-23T21:46:44.584+03:00,   0.177E+00,  17.67767
    200,2021-05-23T21:47:32.669+03:00,   0.106E+00,  33.06105
    300,2021-05-23T21:48:19.963+03:00,   0.117E+00,  44.73457
    400,2021-05-23T21:49:06.831+03:00,   0.117E+00,  56.44002
    500,2021-05-23T21:49:53.368+03:00,   0.117E+00,  68.14547
    600,2021-05-23T21:50:40.076+03:00,   0.117E+00,  79.85092
    700,2021-05-23T21:51:27.587+03:00,   0.117E+00,  91.55636
    800,2021-05-23T21:52:14.624+03:00,   0.117E+00, 103.26181
    900,2021-05-23T21:53:03.219+03:00,   0.129E+00, 115.07261
   1000,2021-05-23T21:53:52.474+03:00,   0.125E+00, 127.48717
   1100,2021-05-23T21:54:41.296+03:00,   0.121E+00, 139.57442
   1200,2021-05-23T21:55:30.661+03:00,   0.121E+00, 151.71619
   1300,2021-05-23T21:56:23.804+03:00,   0.120E+00, 163.55102
   1400,2021-05-23T21:57:11.276+03:00,   0.120E+00, 175.54220
   1500,2021-05-23T21:57:57.659+03:00,   0.120E+00, 187.53338
   1600,2021-05-23T21:58:43.318+03:00,   0.107E+00, 199.33803
   1700,2021-05-23T21:59:27.414+03:00,   0.118E+00, 211.16048
   1800,2021-05-23T22:00:15.202+03:00,   0.118E+00, 222.98293
   1900,2021-05-23T22:01:04.935+03:00,   0.118E+00, 234.80539
   2000,2021-05-23T22:01:50.067+03:00,   0.118E+00, 246.62784
   2100,2021-05-23T22:02:34.605+03:00,   0.118E+00, 258.45029
   2200,2021-05-23T22:03:25.192+03:00,   0.118E+00, 270.27274
   2300,2021-05-23T22:04:11.498+03:00,   0.118E+00, 282.09519
   2400,2021-05-23T22:04:56.379+03:00,   0.118E+00, 293.91764
   2500,2021-05-23T22:05:41.457+03:00,   0.118E+00, 305.74009
   2600,2021-05-23T22:06:25.856+03:00,   0.118E+00, 317.56254
   2700,2021-05-23T22:07:09.818+03:00,   0.118E+00, 329.38500
   2800,2021-05-23T22:07:58.298+03:00,   0.118E+00, 341.20745
   2900,2021-05-23T22:08:42.944+03:00,   0.118E+00, 353.02990
   3000,2021-05-23T22:09:28.483+03:00,   0.118E+00, 364.85235
   3100,2021-05-23T22:10:15.021+03:00,   0.118E+00, 376.67480
   3200,2021-05-23T22:11:00.244+03:00,   0.116E+00, 388.15767
   3300,2021-05-23T22:11:44.851+03:00,   0.116E+00, 399.76163
   3400,2021-05-23T22:12:32.605+03:00,   0.116E+00, 411.36559
   3500,2021-05-23T22:13:16.712+03:00,   0.126E+00, 423.44934
   3600,2021-05-23T22:14:00.565+03:00,   0.123E+00, 435.43488
   3700,2021-05-23T22:14:57.547+03:00,   0.121E+00, 447.20617
   3800,2021-05-23T22:16:10.633+03:00,   0.120E+00, 459.15413
   3900,2021-05-23T22:17:16.456+03:00,   0.116E+00, 470.79902
   4000,2021-05-23T22:18:14.468+03:00,   0.116E+00, 482.39205
   4100,2021-05-23T22:19:05.475+03:00,   0.116E+00, 493.98507
   4200,2021-05-23T22:20:00.189+03:00,   0.116E+00, 505.57809
   4300,2021-05-23T22:21:00.721+03:00,   0.116E+00, 517.17111
   4400,2021-05-23T22:21:51.857+03:00,   0.116E+00, 528.76414
   4500,2021-05-23T22:22:39.790+03:00,   0.116E+00, 540.35716
   4600,2021-05-23T22:23:28.906+03:00,   0.116E+00, 551.95018
