,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-05T19:52:06.823+02:00,   0.286E-01,   0.02864
      2,2021-11-05T19:52:07.041+02:00,   0.315E-01,   0.06015
      3,2021-11-05T19:52:07.238+02:00,   0.347E-01,   0.09481
      4,2021-11-05T19:52:07.480+02:00,   0.347E-01,   0.12947
      5,2021-11-05T19:52:07.669+02:00,   0.347E-01,   0.16412
      6,2021-11-05T19:52:07.857+02:00,   0.347E-01,   0.19878
      7,2021-11-05T19:52:08.091+02:00,   0.347E-01,   0.23344
      8,2021-11-05T19:52:08.359+02:00,   0.307E-01,   0.26417
      9,2021-11-05T19:52:08.557+02:00,   0.307E-01,   0.29490
     10,2021-11-05T19:52:08.802+02:00,   0.307E-01,   0.32563
     20,2021-11-05T19:52:10.448+02:00,   0.307E-01,   0.63292
     30,2021-11-05T19:52:12.118+02:00,   0.307E-01,   0.94022
     40,2021-11-05T19:52:14.272+02:00,   0.236E-01,   1.19024
     50,2021-11-05T19:52:16.508+02:00,   0.205E-01,   1.39542
     60,2021-11-05T19:52:18.763+02:00,   0.200E-01,   1.58865
     70,2021-11-05T19:52:21.095+02:00,   0.221E-01,   1.80315
     80,2021-11-05T19:52:23.967+02:00,   0.170E-01,   2.00421
     90,2021-11-05T19:52:27.465+02:00,   0.170E-01,   2.17414
    100,2021-11-05T19:52:31.070+02:00,   0.206E-01,   2.34934
    200,2021-11-05T19:53:03.043+02:00,   0.269E-01,   4.46909
    300,2021-11-05T19:53:34.746+02:00,   0.239E-01,   6.81123
    400,2021-11-05T19:54:06.792+02:00,   0.200E-01,   9.09897
    500,2021-11-05T19:54:37.931+02:00,   0.226E-01,  11.44248
    600,2021-11-05T19:55:12.046+02:00,   0.255E-01,  13.72479
    700,2021-11-05T19:55:46.949+02:00,   0.226E-01,  15.89797
    800,2021-11-05T19:56:21.720+02:00,   0.235E-01,  18.11333
    900,2021-11-05T19:56:56.489+02:00,   0.232E-01,  20.35444
   1000,2021-11-05T19:57:31.284+02:00,   0.215E-01,  22.52819
   1100,2021-11-05T19:58:06.256+02:00,   0.182E-01,  24.81035
   1200,2021-11-05T19:58:41.053+02:00,   0.239E-01,  26.98059
   1300,2021-11-05T19:59:17.536+02:00,   0.210E-01,  29.07014
   1400,2021-11-05T19:59:51.919+02:00,   0.227E-01,  31.18077
   1500,2021-11-05T20:00:24.524+02:00,   0.259E-01,  33.32648
   1600,2021-11-05T20:00:57.401+02:00,   0.221E-01,  35.69046
   1700,2021-11-05T20:01:32.295+02:00,   0.235E-01,  38.04433
   1800,2021-11-05T20:02:07.314+02:00,   0.230E-01,  40.40280
   1900,2021-11-05T20:02:42.671+02:00,   0.253E-01,  42.72188
   2000,2021-11-05T20:03:18.243+02:00,   0.164E-01,  44.78055
   2100,2021-11-05T20:03:54.297+02:00,   0.210E-01,  46.80157
   2200,2021-11-05T20:04:29.480+02:00,   0.245E-01,  48.89896
   2300,2021-11-05T20:05:04.734+02:00,   0.157E-01,  51.20391
   2400,2021-11-05T20:05:39.553+02:00,   0.232E-01,  53.31623
   2500,2021-11-05T20:06:17.793+02:00,   0.244E-01,  55.47989
   2600,2021-11-05T20:06:57.648+02:00,   0.233E-01,  57.83640
   2700,2021-11-05T20:07:37.557+02:00,   0.173E-01,  60.17908
   2800,2021-11-05T20:08:17.135+02:00,   0.189E-01,  62.28611
   2900,2021-11-05T20:08:56.141+02:00,   0.182E-01,  64.64242
   3000,2021-11-05T20:09:34.018+02:00,   0.216E-01,  66.91072
   3100,2021-11-05T20:10:09.543+02:00,   0.239E-01,  69.02004
   3200,2021-11-05T20:10:47.105+02:00,   0.255E-01,  71.35543
   3300,2021-11-05T20:11:20.765+02:00,   0.217E-01,  73.57099
   3400,2021-11-05T20:11:52.610+02:00,   0.231E-01,  75.89056
   3500,2021-11-05T20:12:24.894+02:00,   0.216E-01,  78.25503
   3600,2021-11-05T20:12:57.513+02:00,   0.241E-01,  80.42925
   3700,2021-11-05T20:13:31.238+02:00,   0.193E-01,  82.61514
   3800,2021-11-05T20:14:09.406+02:00,   0.219E-01,  84.84300
   3900,2021-11-05T20:14:48.677+02:00,   0.172E-01,  87.05476
   4000,2021-11-05T20:15:26.624+02:00,   0.199E-01,  89.22307
   4100,2021-11-05T20:16:03.088+02:00,   0.190E-01,  91.42176
   4200,2021-11-05T20:16:39.051+02:00,   0.241E-01,  93.60424
   4300,2021-11-05T20:17:14.800+02:00,   0.221E-01,  95.81634
   4400,2021-11-05T20:17:49.626+02:00,   0.217E-01,  98.05595
   4500,2021-11-05T20:18:24.873+02:00,   0.158E-01,  99.84206
   4600,2021-11-05T20:19:00.062+02:00,   0.200E-01, 101.70029
   4700,2021-11-05T20:19:35.550+02:00,   0.161E-01, 103.83497
   4800,2021-11-05T20:20:10.663+02:00,   0.211E-01, 106.14731
   4900,2021-11-05T20:20:46.060+02:00,   0.172E-01, 108.37212
   5000,2021-11-05T20:21:22.284+02:00,   0.227E-01, 110.56091
   5100,2021-11-05T20:21:59.212+02:00,   0.164E-01, 112.69750
   5200,2021-11-05T20:22:36.646+02:00,   0.192E-01, 114.65034
   5300,2021-11-05T20:23:13.633+02:00,   0.222E-01, 116.80130
   5400,2021-11-05T20:23:50.414+02:00,   0.245E-01, 118.94577
   5500,2021-11-05T20:24:26.406+02:00,   0.252E-01, 121.38864
   5600,2021-11-05T20:25:01.591+02:00,   0.185E-01, 123.60774
   5700,2021-11-05T20:25:36.510+02:00,   0.223E-01, 125.75542
   5800,2021-11-05T20:26:12.426+02:00,   0.224E-01, 128.06248
   5900,2021-11-05T20:26:48.733+02:00,   0.220E-01, 130.07939
   6000,2021-11-05T20:27:23.475+02:00,   0.166E-01, 132.32353
   6100,2021-11-05T20:27:58.270+02:00,   0.260E-01, 134.47756
   6200,2021-11-05T20:28:33.501+02:00,   0.223E-01, 136.67781
   6300,2021-11-05T20:29:09.114+02:00,   0.171E-01, 138.91732
   6400,2021-11-05T20:29:44.574+02:00,   0.235E-01, 141.07842
   6500,2021-11-05T20:30:19.936+02:00,   0.210E-01, 143.31385
   6600,2021-11-05T20:30:55.088+02:00,   0.243E-01, 145.41272
   6700,2021-11-05T20:31:29.978+02:00,   0.153E-01, 147.64688
   6800,2021-11-05T20:32:05.028+02:00,   0.253E-01, 149.70545
   6900,2021-11-05T20:32:40.185+02:00,   0.187E-01, 151.77638
   7000,2021-11-05T20:33:15.185+02:00,   0.239E-01, 153.89323
   7100,2021-11-05T20:33:51.113+02:00,   0.177E-01, 155.95769
   7200,2021-11-05T20:34:27.673+02:00,   0.235E-01, 158.11978
   7300,2021-11-05T20:35:04.925+02:00,   0.218E-01, 160.35313
   7400,2021-11-05T20:35:41.576+02:00,   0.213E-01, 162.46075
   7500,2021-11-05T20:36:17.823+02:00,   0.225E-01, 164.72242
   7600,2021-11-05T20:36:54.030+02:00,   0.232E-01, 167.09929
   7700,2021-11-05T20:37:30.304+02:00,   0.243E-01, 169.39432
   7800,2021-11-05T20:38:07.024+02:00,   0.255E-01, 171.68151
   7900,2021-11-05T20:38:43.493+02:00,   0.250E-01, 173.93658
   8000,2021-11-05T20:39:19.729+02:00,   0.252E-01, 176.26921
   8100,2021-11-05T20:39:56.174+02:00,   0.219E-01, 178.54663
   8200,2021-11-05T20:40:32.794+02:00,   0.250E-01, 180.65530
   8300,2021-11-05T20:41:06.995+02:00,   0.200E-01, 182.85092
   8400,2021-11-05T20:41:41.678+02:00,   0.212E-01, 185.06693
   8500,2021-11-05T20:42:16.483+02:00,   0.237E-01, 187.07980
   8600,2021-11-05T20:42:53.667+02:00,   0.200E-01, 189.16333
   8700,2021-11-05T20:43:29.974+02:00,   0.227E-01, 191.20576
   8800,2021-11-05T20:44:06.798+02:00,   0.228E-01, 193.28828
   8900,2021-11-05T20:44:44.413+02:00,   0.194E-01, 195.44343
   9000,2021-11-05T20:45:23.702+02:00,   0.172E-01, 197.35086
   9100,2021-11-05T20:46:00.378+02:00,   0.240E-01, 199.60401
   9200,2021-11-05T20:46:36.562+02:00,   0.221E-01, 201.87069
