,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-06T13:53:38.269+02:00,   0.235E-01,   0.02353
      2,2021-11-06T13:53:38.585+02:00,   0.259E-01,   0.04941
      3,2021-11-06T13:53:38.886+02:00,   0.285E-01,   0.07789
      4,2021-11-06T13:53:39.261+02:00,   0.285E-01,   0.10636
      5,2021-11-06T13:53:39.547+02:00,   0.285E-01,   0.13483
      6,2021-11-06T13:53:39.852+02:00,   0.313E-01,   0.16615
      7,2021-11-06T13:53:40.233+02:00,   0.313E-01,   0.19747
      8,2021-11-06T13:53:40.547+02:00,   0.313E-01,   0.22879
      9,2021-11-06T13:53:40.866+02:00,   0.313E-01,   0.26011
     10,2021-11-06T13:53:41.275+02:00,   0.313E-01,   0.29142
     20,2021-11-06T13:53:44.259+02:00,   0.313E-01,   0.60461
     30,2021-11-06T13:53:46.990+02:00,   0.313E-01,   0.91780
     40,2021-11-06T13:53:49.913+02:00,   0.276E-01,   1.20097
     50,2021-11-06T13:53:52.743+02:00,   0.276E-01,   1.47662
     60,2021-11-06T13:53:55.947+02:00,   0.247E-01,   1.72611
     70,2021-11-06T13:53:59.094+02:00,   0.247E-01,   1.97269
     80,2021-11-06T13:54:02.185+02:00,   0.247E-01,   2.21927
     90,2021-11-06T13:54:05.248+02:00,   0.247E-01,   2.46584
    100,2021-11-06T13:54:08.489+02:00,   0.211E-01,   2.67694
    200,2021-11-06T13:54:40.388+02:00,   0.237E-01,   4.71635
    300,2021-11-06T13:55:11.731+02:00,   0.225E-01,   6.95132
    400,2021-11-06T13:55:43.288+02:00,   0.198E-01,   9.12982
    500,2021-11-06T13:56:15.875+02:00,   0.148E-01,  10.57363
    600,2021-11-06T13:56:47.617+02:00,   0.173E-01,  12.18919
    700,2021-11-06T13:57:19.764+02:00,   0.117E-01,  13.98875
    800,2021-11-06T13:57:55.289+02:00,   0.233E-01,  16.14327
    900,2021-11-06T13:58:27.981+02:00,   0.134E-01,  17.76811
   1000,2021-11-06T13:58:58.357+02:00,   0.161E-01,  19.15453
   1100,2021-11-06T13:59:28.503+02:00,   0.229E-01,  21.08201
   1200,2021-11-06T13:59:58.740+02:00,   0.241E-01,  23.19086
   1300,2021-11-06T14:00:30.754+02:00,   0.223E-01,  25.15820
   1400,2021-11-06T14:01:02.654+02:00,   0.217E-01,  27.43241
   1500,2021-11-06T14:01:34.821+02:00,   0.156E-01,  29.43367
   1600,2021-11-06T14:02:07.252+02:00,   0.184E-01,  31.15423
   1700,2021-11-06T14:02:39.347+02:00,   0.219E-01,  33.08762
   1800,2021-11-06T14:03:11.699+02:00,   0.167E-01,  34.82353
   1900,2021-11-06T14:03:44.079+02:00,   0.194E-01,  36.45660
   2000,2021-11-06T14:04:17.513+02:00,   0.160E-01,  38.62756
   2100,2021-11-06T14:04:50.322+02:00,   0.219E-01,  40.42437
   2200,2021-11-06T14:05:23.688+02:00,   0.233E-01,  42.67079
   2300,2021-11-06T14:05:57.419+02:00,   0.228E-01,  44.55771
   2400,2021-11-06T14:06:30.664+02:00,   0.185E-01,  46.66902
   2500,2021-11-06T14:07:04.256+02:00,   0.102E-01,  48.04527
   2600,2021-11-06T14:07:36.665+02:00,   0.227E-01,  49.78995
   2700,2021-11-06T14:08:09.553+02:00,   0.224E-01,  51.81616
   2800,2021-11-06T14:08:42.766+02:00,   0.126E-01,  53.33977
   2900,2021-11-06T14:09:16.147+02:00,   0.159E-01,  54.84542
   3000,2021-11-06T14:09:48.797+02:00,   0.104E-01,  56.19711
   3100,2021-11-06T14:10:20.458+02:00,   0.220E-01,  58.03559
   3200,2021-11-06T14:10:51.884+02:00,   0.233E-01,  60.31936
   3300,2021-11-06T14:11:24.397+02:00,   0.224E-01,  62.04017
   3400,2021-11-06T14:11:56.381+02:00,   0.143E-01,  63.93258
   3500,2021-11-06T14:12:27.652+02:00,   0.206E-01,  66.13189
   3600,2021-11-06T14:12:59.390+02:00,   0.184E-01,  68.40997
   3700,2021-11-06T14:13:31.177+02:00,   0.124E-01,  70.08153
   3800,2021-11-06T14:14:03.046+02:00,   0.141E-01,  71.37418
   3900,2021-11-06T14:14:37.504+02:00,   0.206E-01,  73.04574
   4000,2021-11-06T14:15:12.823+02:00,   0.161E-01,  74.80115
   4100,2021-11-06T14:15:48.333+02:00,   0.158E-01,  76.30366
   4200,2021-11-06T14:16:21.085+02:00,   0.216E-01,  78.22187
   4300,2021-11-06T14:16:55.172+02:00,   0.186E-01,  80.17783
   4400,2021-11-06T14:17:26.736+02:00,   0.225E-01,  82.40482
   4500,2021-11-06T14:17:58.385+02:00,   0.237E-01,  84.67874
   4600,2021-11-06T14:18:32.013+02:00,   0.148E-01,  86.49357
   4700,2021-11-06T14:19:04.249+02:00,   0.212E-01,  87.83953
   4800,2021-11-06T14:19:35.631+02:00,   0.242E-01,  89.97099
   4900,2021-11-06T14:20:07.513+02:00,   0.143E-01,  92.00915
   5000,2021-11-06T14:20:38.886+02:00,   0.200E-01,  93.19683
   5100,2021-11-06T14:21:10.035+02:00,   0.225E-01,  95.48125
   5200,2021-11-06T14:21:41.746+02:00,   0.184E-01,  97.51141
   5300,2021-11-06T14:22:12.879+02:00,   0.213E-01,  99.70278
   5400,2021-11-06T14:22:44.708+02:00,   0.136E-01, 101.40269
   5500,2021-11-06T14:23:16.787+02:00,   0.923E-02, 102.64982
   5600,2021-11-06T14:23:48.498+02:00,   0.206E-01, 104.21276
   5700,2021-11-06T14:24:19.621+02:00,   0.202E-01, 106.35657
   5800,2021-11-06T14:24:51.675+02:00,   0.138E-01, 108.26835
   5900,2021-11-06T14:25:24.066+02:00,   0.154E-01, 110.03277
   6000,2021-11-06T14:25:56.629+02:00,   0.124E-01, 111.65383
   6100,2021-11-06T14:26:28.705+02:00,   0.137E-01, 113.60805
   6200,2021-11-06T14:27:01.372+02:00,   0.236E-01, 115.40614
   6300,2021-11-06T14:27:32.964+02:00,   0.219E-01, 117.44695
   6400,2021-11-06T14:28:06.135+02:00,   0.235E-01, 119.24317
   6500,2021-11-06T14:28:40.116+02:00,   0.224E-01, 121.19389
   6600,2021-11-06T14:29:12.809+02:00,   0.227E-01, 123.11970
   6700,2021-11-06T14:29:44.952+02:00,   0.159E-01, 125.17889
   6800,2021-11-06T14:30:17.920+02:00,   0.114E-01, 126.81773
   6900,2021-11-06T14:30:50.341+02:00,   0.110E-01, 128.20501
