,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-24T19:20:53.551+03:00,   0.177E+00,   0.17678
      2,2021-05-24T19:20:53.878+03:00,   0.177E+00,   0.35355
      3,2021-05-24T19:20:54.206+03:00,   0.177E+00,   0.53033
      4,2021-05-24T19:20:54.695+03:00,   0.177E+00,   0.70711
      5,2021-05-24T19:20:55.020+03:00,   0.177E+00,   0.88388
      6,2021-05-24T19:20:55.431+03:00,   0.177E+00,   1.06066
      7,2021-05-24T19:20:56.126+03:00,   0.177E+00,   1.23744
      8,2021-05-24T19:20:56.462+03:00,   0.177E+00,   1.41421
      9,2021-05-24T19:20:56.862+03:00,   0.177E+00,   1.59099
     10,2021-05-24T19:20:57.487+03:00,   0.177E+00,   1.76777
     20,2021-05-24T19:21:01.264+03:00,   0.177E+00,   3.53553
     30,2021-05-24T19:21:04.940+03:00,   0.177E+00,   5.30330
     40,2021-05-24T19:21:08.702+03:00,   0.177E+00,   7.07107
     50,2021-05-24T19:21:12.400+03:00,   0.177E+00,   8.83883
     60,2021-05-24T19:21:16.111+03:00,   0.177E+00,  10.60660
     70,2021-05-24T19:21:19.931+03:00,   0.177E+00,  12.37437
     80,2021-05-24T19:21:23.628+03:00,   0.177E+00,  14.14214
     90,2021-05-24T19:21:27.337+03:00,   0.177E+00,  15.90990
    100,2021-05-24T19:21:31.181+03:00,   0.177E+00,  17.67767
    200,2021-05-24T19:22:09.121+03:00,   0.109E+00,  32.96190
    300,2021-05-24T19:22:50.473+03:00,   0.120E+00,  44.89876
    400,2021-05-24T19:23:27.065+03:00,   0.120E+00,  56.91207
    500,2021-05-24T19:24:03.648+03:00,   0.140E+00,  69.91424
    600,2021-05-24T19:24:40.284+03:00,   0.131E+00,  83.27855
    700,2021-05-24T19:25:17.389+03:00,   0.145E+00,  97.64926
    800,2021-05-24T19:25:54.070+03:00,   0.144E+00, 112.20049
    900,2021-05-24T19:26:31.352+03:00,   0.139E+00, 126.25596
   1000,2021-05-24T19:27:08.419+03:00,   0.146E+00, 140.61246
   1100,2021-05-24T19:27:45.120+03:00,   0.136E+00, 154.74692
   1200,2021-05-24T19:28:22.346+03:00,   0.145E+00, 168.46462
   1300,2021-05-24T19:28:59.875+03:00,   0.138E+00, 182.69900
   1400,2021-05-24T19:29:36.866+03:00,   0.125E+00, 196.62492
   1500,2021-05-24T19:30:14.226+03:00,   0.137E+00, 210.24774
   1600,2021-05-24T19:30:51.794+03:00,   0.149E+00, 224.06901
   1700,2021-05-24T19:31:29.330+03:00,   0.141E+00, 238.26656
   1800,2021-05-24T19:32:06.559+03:00,   0.125E+00, 252.06150
   1900,2021-05-24T19:32:44.386+03:00,   0.130E+00, 265.39276
   2000,2021-05-24T19:33:21.172+03:00,   0.137E+00, 279.11452
   2100,2021-05-24T19:33:58.251+03:00,   0.145E+00, 293.20426
   2200,2021-05-24T19:34:35.157+03:00,   0.142E+00, 307.49257
   2300,2021-05-24T19:35:11.378+03:00,   0.137E+00, 321.14674
   2400,2021-05-24T19:35:48.121+03:00,   0.137E+00, 334.84747
   2500,2021-05-24T19:36:25.231+03:00,   0.147E+00, 348.86273
   2600,2021-05-24T19:37:02.314+03:00,   0.145E+00, 363.15258
   2700,2021-05-24T19:37:38.716+03:00,   0.154E+00, 377.34631
   2800,2021-05-24T19:38:15.882+03:00,   0.145E+00, 391.46832
   2900,2021-05-24T19:38:52.360+03:00,   0.143E+00, 405.61182
   3000,2021-05-24T19:39:29.119+03:00,   0.146E+00, 420.03968
   3100,2021-05-24T19:40:05.512+03:00,   0.150E+00, 434.71668
   3200,2021-05-24T19:40:42.367+03:00,   0.141E+00, 448.85093
   3300,2021-05-24T19:41:19.130+03:00,   0.133E+00, 462.00104
   3400,2021-05-24T19:41:56.407+03:00,   0.131E+00, 475.76741
   3500,2021-05-24T19:42:32.114+03:00,   0.128E+00, 489.39681
   3600,2021-05-24T19:43:08.760+03:00,   0.141E+00, 503.42985
   3700,2021-05-24T19:43:44.937+03:00,   0.141E+00, 517.53986
   3800,2021-05-24T19:44:20.948+03:00,   0.141E+00, 531.64986
   3900,2021-05-24T19:44:57.659+03:00,   0.136E+00, 545.60964
   4000,2021-05-24T19:45:34.654+03:00,   0.132E+00, 559.19444
   4100,2021-05-24T19:46:10.989+03:00,   0.136E+00, 572.65428
   4200,2021-05-24T19:46:46.885+03:00,   0.131E+00, 587.60385
   4300,2021-05-24T19:47:23.383+03:00,   0.142E+00, 601.71569
   4400,2021-05-24T19:47:59.711+03:00,   0.146E+00, 616.23990
   4500,2021-05-24T19:48:35.439+03:00,   0.143E+00, 630.51909
   4600,2021-05-24T19:49:12.001+03:00,   0.143E+00, 644.77520
   4700,2021-05-24T19:49:48.537+03:00,   0.140E+00, 658.65115
   4800,2021-05-24T19:50:24.552+03:00,   0.131E+00, 673.33799
   4900,2021-05-24T19:51:01.646+03:00,   0.142E+00, 687.28495
   5000,2021-05-24T19:51:37.820+03:00,   0.149E+00, 701.83818
   5100,2021-05-24T19:52:14.012+03:00,   0.147E+00, 716.42190
   5200,2021-05-24T19:52:49.916+03:00,   0.148E+00, 730.79741
   5300,2021-05-24T19:53:26.514+03:00,   0.148E+00, 745.09838
   5400,2021-05-24T19:54:02.417+03:00,   0.145E+00, 759.70491
   5500,2021-05-24T19:54:39.311+03:00,   0.141E+00, 773.56278
   5600,2021-05-24T19:55:15.803+03:00,   0.138E+00, 787.46842
   5700,2021-05-24T19:55:52.037+03:00,   0.144E+00, 801.35378
   5800,2021-05-24T19:56:28.245+03:00,   0.144E+00, 815.73274
   5900,2021-05-24T19:57:04.586+03:00,   0.144E+00, 830.11169
   6000,2021-05-24T19:57:40.708+03:00,   0.149E+00, 843.32889
   6100,2021-05-24T19:58:17.534+03:00,   0.137E+00, 857.15971
   6200,2021-05-24T19:58:54.070+03:00,   0.151E+00, 871.02468
   6300,2021-05-24T19:59:30.696+03:00,   0.137E+00, 884.78601
   6400,2021-05-24T20:00:08.197+03:00,   0.115E+00, 898.17564
   6500,2021-05-24T20:00:44.560+03:00,   0.136E+00, 911.90058
