,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-06T13:53:43.529+02:00,   0.286E-01,   0.02864
      2,2021-11-06T13:53:43.848+02:00,   0.315E-01,   0.06015
      3,2021-11-06T13:53:44.161+02:00,   0.347E-01,   0.09481
      4,2021-11-06T13:53:44.611+02:00,   0.347E-01,   0.12947
      5,2021-11-06T13:53:44.945+02:00,   0.347E-01,   0.16412
      6,2021-11-06T13:53:45.268+02:00,   0.347E-01,   0.19878
      7,2021-11-06T13:53:45.672+02:00,   0.347E-01,   0.23344
      8,2021-11-06T13:53:46.121+02:00,   0.307E-01,   0.26417
      9,2021-11-06T13:53:46.438+02:00,   0.307E-01,   0.29490
     10,2021-11-06T13:53:46.850+02:00,   0.307E-01,   0.32563
     20,2021-11-06T13:53:49.555+02:00,   0.307E-01,   0.63292
     30,2021-11-06T13:53:52.356+02:00,   0.307E-01,   0.94022
     40,2021-11-06T13:53:55.771+02:00,   0.236E-01,   1.19024
     50,2021-11-06T13:53:58.981+02:00,   0.205E-01,   1.39542
     60,2021-11-06T13:54:02.200+02:00,   0.200E-01,   1.58865
     70,2021-11-06T13:54:05.395+02:00,   0.221E-01,   1.80315
     80,2021-11-06T13:54:08.715+02:00,   0.170E-01,   2.00421
     90,2021-11-06T13:54:11.824+02:00,   0.170E-01,   2.17414
    100,2021-11-06T13:54:15.019+02:00,   0.206E-01,   2.34934
    200,2021-11-06T13:54:47.143+02:00,   0.269E-01,   4.46930
    300,2021-11-06T13:55:19.081+02:00,   0.209E-01,   6.80645
    400,2021-11-06T13:55:51.198+02:00,   0.185E-01,   9.05465
    500,2021-11-06T13:56:24.169+02:00,   0.197E-01,  11.15353
    600,2021-11-06T13:56:58.580+02:00,   0.180E-01,  13.43958
    700,2021-11-06T13:57:35.243+02:00,   0.220E-01,  15.44581
    800,2021-11-06T13:58:13.597+02:00,   0.258E-01,  17.66725
    900,2021-11-06T13:58:50.095+02:00,   0.231E-01,  19.87190
   1000,2021-11-06T13:59:27.080+02:00,   0.245E-01,  22.08634
   1100,2021-11-06T14:00:04.173+02:00,   0.198E-01,  24.27806
   1200,2021-11-06T14:00:41.303+02:00,   0.229E-01,  26.19326
   1300,2021-11-06T14:01:18.526+02:00,   0.220E-01,  28.39980
   1400,2021-11-06T14:01:55.752+02:00,   0.218E-01,  30.70439
   1500,2021-11-06T14:02:33.254+02:00,   0.150E-01,  32.61117
   1600,2021-11-06T14:03:10.524+02:00,   0.242E-01,  34.72849
