,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-06T22:52:18.445+02:00,   0.286E-01,   0.02864
      2,2021-11-06T22:52:18.835+02:00,   0.315E-01,   0.06015
      3,2021-11-06T22:52:19.211+02:00,   0.347E-01,   0.09481
      4,2021-11-06T22:52:19.698+02:00,   0.347E-01,   0.12947
      5,2021-11-06T22:52:20.054+02:00,   0.347E-01,   0.16412
      6,2021-11-06T22:52:20.432+02:00,   0.347E-01,   0.19878
      7,2021-11-06T22:52:20.876+02:00,   0.347E-01,   0.23344
      8,2021-11-06T22:52:21.278+02:00,   0.307E-01,   0.26417
      9,2021-11-06T22:52:21.558+02:00,   0.307E-01,   0.29490
     10,2021-11-06T22:52:21.896+02:00,   0.307E-01,   0.32563
     20,2021-11-06T22:52:24.178+02:00,   0.307E-01,   0.63292
     30,2021-11-06T22:52:26.430+02:00,   0.307E-01,   0.94022
     40,2021-11-06T22:52:28.918+02:00,   0.236E-01,   1.19024
     50,2021-11-06T22:52:31.266+02:00,   0.205E-01,   1.39541
     60,2021-11-06T22:52:33.783+02:00,   0.200E-01,   1.58865
     70,2021-11-06T22:52:37.439+02:00,   0.221E-01,   1.80315
     80,2021-11-06T22:52:40.892+02:00,   0.170E-01,   2.00421
     90,2021-11-06T22:52:44.022+02:00,   0.170E-01,   2.17412
    100,2021-11-06T22:52:47.223+02:00,   0.206E-01,   2.34930
    200,2021-11-06T22:53:21.326+02:00,   0.239E-01,   4.46736
    300,2021-11-06T22:53:53.214+02:00,   0.206E-01,   6.61833
    400,2021-11-06T22:54:25.580+02:00,   0.231E-01,   8.69926
    500,2021-11-06T22:54:58.202+02:00,   0.157E-01,  10.89605
    600,2021-11-06T22:55:30.244+02:00,   0.220E-01,  13.21171
    700,2021-11-06T22:56:02.674+02:00,   0.240E-01,  15.39354
    800,2021-11-06T22:56:35.138+02:00,   0.208E-01,  17.46061
    900,2021-11-06T22:57:07.145+02:00,   0.182E-01,  19.66141
   1000,2021-11-06T22:57:39.626+02:00,   0.258E-01,  21.93805
   1100,2021-11-06T22:58:11.809+02:00,   0.228E-01,  24.33971
   1200,2021-11-06T22:58:44.562+02:00,   0.214E-01,  26.46861
   1300,2021-11-06T22:59:17.006+02:00,   0.219E-01,  28.76252
   1400,2021-11-06T22:59:49.558+02:00,   0.263E-01,  30.97137
   1500,2021-11-06T23:00:22.001+02:00,   0.249E-01,  33.32392
   1600,2021-11-06T23:00:47.583+02:00,   0.244E-01,  35.66887
   1700,2021-11-06T23:01:13.039+02:00,   0.237E-01,  38.05245
   1800,2021-11-06T23:01:38.658+02:00,   0.206E-01,  40.31414
   1900,2021-11-06T23:02:04.223+02:00,   0.237E-01,  42.38660
   2000,2021-11-06T23:02:29.723+02:00,   0.233E-01,  44.72453
   2100,2021-11-06T23:02:55.228+02:00,   0.256E-01,  46.67496
   2200,2021-11-06T23:03:20.599+02:00,   0.245E-01,  48.96319
   2300,2021-11-06T23:03:46.595+02:00,   0.241E-01,  51.26726
   2400,2021-11-06T23:04:12.489+02:00,   0.247E-01,  53.45096
   2500,2021-11-06T23:04:39.180+02:00,   0.243E-01,  55.83793
   2600,2021-11-06T23:05:06.279+02:00,   0.187E-01,  58.12367
   2700,2021-11-06T23:05:31.562+02:00,   0.156E-01,  60.17689
   2800,2021-11-06T23:05:56.949+02:00,   0.226E-01,  62.12981
   2900,2021-11-06T23:06:22.481+02:00,   0.246E-01,  64.02049
   3000,2021-11-06T23:06:48.084+02:00,   0.191E-01,  66.02294
   3100,2021-11-06T23:07:13.611+02:00,   0.193E-01,  68.16927
   3200,2021-11-06T23:07:39.298+02:00,   0.213E-01,  70.51348
   3300,2021-11-06T23:08:04.776+02:00,   0.223E-01,  72.80179
   3400,2021-11-06T23:08:30.289+02:00,   0.201E-01,  75.04818
   3500,2021-11-06T23:08:55.168+02:00,   0.233E-01,  77.38532
