,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-06T23:11:26.200+02:00,   0.286E-01,   0.02864
      2,2021-11-06T23:11:26.588+02:00,   0.315E-01,   0.06015
      3,2021-11-06T23:11:26.956+02:00,   0.347E-01,   0.09481
      4,2021-11-06T23:11:27.459+02:00,   0.347E-01,   0.12947
      5,2021-11-06T23:11:27.820+02:00,   0.347E-01,   0.16412
      6,2021-11-06T23:11:28.201+02:00,   0.347E-01,   0.19878
      7,2021-11-06T23:11:28.663+02:00,   0.347E-01,   0.23344
      8,2021-11-06T23:11:29.180+02:00,   0.307E-01,   0.26417
      9,2021-11-06T23:11:29.549+02:00,   0.307E-01,   0.29490
     10,2021-11-06T23:11:30.031+02:00,   0.307E-01,   0.32563
     20,2021-11-06T23:11:33.237+02:00,   0.307E-01,   0.63292
     30,2021-11-06T23:11:36.458+02:00,   0.307E-01,   0.94022
     40,2021-11-06T23:11:39.810+02:00,   0.236E-01,   1.19024
     50,2021-11-06T23:11:43.298+02:00,   0.205E-01,   1.39541
     60,2021-11-06T23:11:46.583+02:00,   0.200E-01,   1.58865
     70,2021-11-06T23:11:49.794+02:00,   0.221E-01,   1.80315
     80,2021-11-06T23:11:53.317+02:00,   0.170E-01,   2.00421
     90,2021-11-06T23:11:56.478+02:00,   0.170E-01,   2.17412
    100,2021-11-06T23:11:59.733+02:00,   0.206E-01,   2.34929
    200,2021-11-06T23:12:33.060+02:00,   0.240E-01,   4.46688
    300,2021-11-06T23:13:05.719+02:00,   0.204E-01,   6.60327
    400,2021-11-06T23:13:41.646+02:00,   0.187E-01,   8.74227
    500,2021-11-06T23:14:14.551+02:00,   0.137E-01,  10.73246
    600,2021-11-06T23:14:48.113+02:00,   0.219E-01,  12.61323
    700,2021-11-06T23:15:24.594+02:00,   0.233E-01,  14.77964
    800,2021-11-06T23:15:57.840+02:00,   0.184E-01,  16.96930
    900,2021-11-06T23:16:31.198+02:00,   0.172E-01,  19.16761
   1000,2021-11-06T23:17:06.130+02:00,   0.209E-01,  21.48282
   1100,2021-11-06T23:17:37.138+02:00,   0.186E-01,  23.47575
   1200,2021-11-06T23:18:07.657+02:00,   0.263E-01,  25.62067
   1300,2021-11-06T23:18:39.717+02:00,   0.230E-01,  27.72885
   1400,2021-11-06T23:19:11.714+02:00,   0.238E-01,  29.84339
   1500,2021-11-06T23:19:42.903+02:00,   0.149E-01,  32.10801
   1600,2021-11-06T23:20:14.212+02:00,   0.211E-01,  34.13537
   1700,2021-11-06T23:20:45.239+02:00,   0.231E-01,  36.26439
   1800,2021-11-06T23:21:16.485+02:00,   0.227E-01,  38.39246
   1900,2021-11-06T23:21:47.996+02:00,   0.203E-01,  40.64597
