,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-07T06:05:37.504+02:00,   0.286E-01,   0.02864
      2,2021-11-07T06:05:37.757+02:00,   0.315E-01,   0.06015
      3,2021-11-07T06:05:38.030+02:00,   0.347E-01,   0.09481
      4,2021-11-07T06:05:38.346+02:00,   0.347E-01,   0.12947
      5,2021-11-07T06:05:38.607+02:00,   0.347E-01,   0.16412
      6,2021-11-07T06:05:38.860+02:00,   0.347E-01,   0.19878
      7,2021-11-07T06:05:39.164+02:00,   0.347E-01,   0.23344
      8,2021-11-07T06:05:39.518+02:00,   0.307E-01,   0.26417
      9,2021-11-07T06:05:39.761+02:00,   0.307E-01,   0.29490
     10,2021-11-07T06:05:40.084+02:00,   0.307E-01,   0.32563
     20,2021-11-07T06:05:42.216+02:00,   0.307E-01,   0.63292
     30,2021-11-07T06:05:44.348+02:00,   0.307E-01,   0.94022
     40,2021-11-07T06:05:46.900+02:00,   0.236E-01,   1.19024
     50,2021-11-07T06:05:49.889+02:00,   0.205E-01,   1.39541
     60,2021-11-07T06:05:53.347+02:00,   0.200E-01,   1.58865
     70,2021-11-07T06:05:56.795+02:00,   0.221E-01,   1.80315
     80,2021-11-07T06:06:00.093+02:00,   0.170E-01,   2.00421
     90,2021-11-07T06:06:03.162+02:00,   0.170E-01,   2.17412
    100,2021-11-07T06:06:06.292+02:00,   0.206E-01,   2.34929
    200,2021-11-07T06:06:37.914+02:00,   0.240E-01,   4.46859
    300,2021-11-07T06:07:09.566+02:00,   0.205E-01,   6.68316
    400,2021-11-07T06:07:42.522+02:00,   0.225E-01,   8.95967
    500,2021-11-07T06:08:17.128+02:00,   0.218E-01,  10.96902
    600,2021-11-07T06:08:51.215+02:00,   0.178E-01,  13.21844
    700,2021-11-07T06:09:25.512+02:00,   0.237E-01,  15.53783
    800,2021-11-07T06:10:00.797+02:00,   0.248E-01,  17.80128
    900,2021-11-07T06:10:34.942+02:00,   0.203E-01,  20.04197
   1000,2021-11-07T06:11:09.337+02:00,   0.206E-01,  22.09048
   1100,2021-11-07T06:11:44.111+02:00,   0.257E-01,  24.17802
   1200,2021-11-07T06:12:19.003+02:00,   0.167E-01,  26.35558
   1300,2021-11-07T06:12:52.658+02:00,   0.233E-01,  28.15618
   1400,2021-11-07T06:13:27.611+02:00,   0.157E-01,  30.25346
   1500,2021-11-07T06:14:03.158+02:00,   0.199E-01,  32.24012
   1600,2021-11-07T06:14:38.635+02:00,   0.197E-01,  34.35753
   1700,2021-11-07T06:15:15.224+02:00,   0.203E-01,  36.40740
   1800,2021-11-07T06:15:51.903+02:00,   0.223E-01,  38.66067
   1900,2021-11-07T06:16:28.871+02:00,   0.206E-01,  40.80995
   2000,2021-11-07T06:17:06.006+02:00,   0.227E-01,  42.96244
   2100,2021-11-07T06:17:42.883+02:00,   0.244E-01,  45.12588
   2200,2021-11-07T06:18:19.546+02:00,   0.237E-01,  47.43410
   2300,2021-11-07T06:18:56.350+02:00,   0.237E-01,  49.70588
   2400,2021-11-07T06:19:33.416+02:00,   0.200E-01,  51.76400
   2500,2021-11-07T06:20:10.354+02:00,   0.235E-01,  53.94201
   2600,2021-11-07T06:20:47.361+02:00,   0.201E-01,  56.14955
   2700,2021-11-07T06:21:23.858+02:00,   0.227E-01,  58.26806
   2800,2021-11-07T06:21:58.702+02:00,   0.260E-01,  60.55664
   2900,2021-11-07T06:22:33.550+02:00,   0.186E-01,  62.72338
   3000,2021-11-07T06:23:08.175+02:00,   0.221E-01,  64.96085
   3100,2021-11-07T06:23:43.239+02:00,   0.248E-01,  67.14038
   3200,2021-11-07T06:24:18.775+02:00,   0.214E-01,  68.98612
   3300,2021-11-07T06:24:53.986+02:00,   0.186E-01,  71.11968
   3400,2021-11-07T06:25:28.951+02:00,   0.245E-01,  73.26647
   3500,2021-11-07T06:26:03.912+02:00,   0.239E-01,  75.39674
   3600,2021-11-07T06:26:39.179+02:00,   0.176E-01,  77.55009
   3700,2021-11-07T06:27:16.856+02:00,   0.219E-01,  79.52040
   3800,2021-11-07T06:27:53.215+02:00,   0.252E-01,  81.87143
   3900,2021-11-07T06:28:28.975+02:00,   0.246E-01,  84.07432
   4000,2021-11-07T06:29:03.879+02:00,   0.186E-01,  86.32020
   4100,2021-11-07T06:29:38.458+02:00,   0.213E-01,  88.61804
   4200,2021-11-07T06:30:13.643+02:00,   0.192E-01,  90.34464
   4300,2021-11-07T06:30:50.077+02:00,   0.204E-01,  92.53531
   4400,2021-11-07T06:31:25.887+02:00,   0.216E-01,  94.88601
   4500,2021-11-07T06:32:00.884+02:00,   0.188E-01,  97.05426
   4600,2021-11-07T06:32:35.392+02:00,   0.210E-01,  99.30432
   4700,2021-11-07T06:33:10.096+02:00,   0.217E-01, 101.54478
   4800,2021-11-07T06:33:42.883+02:00,   0.206E-01, 103.59464
   4900,2021-11-07T06:34:19.610+02:00,   0.215E-01, 105.65561
   5000,2021-11-07T06:34:56.170+02:00,   0.210E-01, 107.85156
   5100,2021-11-07T06:35:32.729+02:00,   0.208E-01, 110.15454
   5200,2021-11-07T06:36:08.719+02:00,   0.199E-01, 112.45621
