,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-15T21:27:46.948+03:00,   0.177E+00,   0.17678
      2,2021-05-15T21:27:47.169+03:00,   0.177E+00,   0.35355
      3,2021-05-15T21:27:47.379+03:00,   0.177E+00,   0.53033
      4,2021-05-15T21:27:47.719+03:00,   0.177E+00,   0.70711
      5,2021-05-15T21:27:47.941+03:00,   0.177E+00,   0.88388
      6,2021-05-15T21:27:48.177+03:00,   0.177E+00,   1.06066
      7,2021-05-15T21:27:48.482+03:00,   0.177E+00,   1.23744
      8,2021-05-15T21:27:48.712+03:00,   0.177E+00,   1.41421
      9,2021-05-15T21:27:48.919+03:00,   0.177E+00,   1.59099
     10,2021-05-15T21:27:49.234+03:00,   0.177E+00,   1.76777
     20,2021-05-15T21:27:51.945+03:00,   0.177E+00,   3.53553
     30,2021-05-15T21:27:54.730+03:00,   0.177E+00,   5.30330
     40,2021-05-15T21:27:57.513+03:00,   0.177E+00,   7.07107
     50,2021-05-15T21:28:00.253+03:00,   0.177E+00,   8.83883
     60,2021-05-15T21:28:02.981+03:00,   0.177E+00,  10.60660
     70,2021-05-15T21:28:06.267+03:00,   0.177E+00,  12.37437
     80,2021-05-15T21:28:09.405+03:00,   0.177E+00,  14.14214
     90,2021-05-15T21:28:12.472+03:00,   0.177E+00,  15.90990
    100,2021-05-15T21:28:15.513+03:00,   0.177E+00,  17.67767
    200,2021-05-15T21:28:46.944+03:00,   0.946E-01,  32.67406
    300,2021-05-15T21:29:23.303+03:00,   0.102E+00,  42.75829
    400,2021-05-15T21:30:01.033+03:00,   0.994E-01,  52.47407
    500,2021-05-15T21:30:38.527+03:00,   0.877E-01,  62.18114
    600,2021-05-15T21:31:17.272+03:00,   0.965E-01,  71.82672
    700,2021-05-15T21:31:55.523+03:00,   0.965E-01,  81.47229
    800,2021-05-15T21:32:32.668+03:00,   0.965E-01,  91.11787
    900,2021-05-15T21:33:09.873+03:00,   0.944E-01, 100.55271
   1000,2021-05-15T21:33:47.357+03:00,   0.944E-01, 109.99188
   1100,2021-05-15T21:34:25.347+03:00,   0.944E-01, 119.43106
   1200,2021-05-15T21:35:03.030+03:00,   0.944E-01, 128.87024
   1300,2021-05-15T21:35:40.750+03:00,   0.104E+00, 138.32829
   1400,2021-05-15T21:36:14.864+03:00,   0.102E+00, 147.85459
   1500,2021-05-15T21:36:52.318+03:00,   0.886E-01, 157.63462
   1600,2021-05-15T21:37:45.792+03:00,   0.960E-01, 167.20034
   1700,2021-05-15T21:39:10.103+03:00,   0.960E-01, 176.79637
   1800,2021-05-15T21:40:44.697+03:00,   0.960E-01, 186.39239
   1900,2021-05-15T21:42:50.547+03:00,   0.960E-01, 195.98842
   2000,2021-05-15T21:44:51.746+03:00,   0.960E-01, 205.58444
   2100,2021-05-15T21:46:53.059+03:00,   0.960E-01, 215.18047
   2200,2021-05-15T21:48:54.907+03:00,   0.960E-01, 224.77649
   2300,2021-05-15T21:50:55.771+03:00,   0.960E-01, 234.37252
   2400,2021-05-15T21:52:58.212+03:00,   0.960E-01, 243.96854
   2500,2021-05-15T21:55:02.787+03:00,   0.960E-01, 253.56456
   2600,2021-05-15T21:57:02.809+03:00,   0.960E-01, 263.16059
   2700,2021-05-15T21:58:57.196+03:00,   0.960E-01, 272.75661
   2800,2021-05-15T22:00:58.384+03:00,   0.960E-01, 282.35264
   2900,2021-05-15T22:02:57.355+03:00,   0.948E-01, 291.85622
   3000,2021-05-15T22:04:58.498+03:00,   0.948E-01, 301.33325
   3100,2021-05-15T22:06:59.300+03:00,   0.948E-01, 310.81027
   3200,2021-05-15T22:08:58.066+03:00,   0.948E-01, 320.28729
   3300,2021-05-15T22:10:57.284+03:00,   0.948E-01, 329.76431
   3400,2021-05-15T22:12:59.267+03:00,   0.948E-01, 339.24134
   3500,2021-05-15T22:14:55.464+03:00,   0.948E-01, 348.71836
   3600,2021-05-15T22:16:54.520+03:00,   0.948E-01, 358.19538
   3700,2021-05-15T22:18:54.603+03:00,   0.948E-01, 367.67240
   3800,2021-05-15T22:20:53.316+03:00,   0.948E-01, 377.14943
   3900,2021-05-15T22:22:53.630+03:00,   0.948E-01, 386.62645
   4000,2021-05-15T22:24:55.047+03:00,   0.948E-01, 396.10347
   4100,2021-05-15T22:26:54.319+03:00,   0.948E-01, 405.58050
   4200,2021-05-15T22:28:52.881+03:00,   0.948E-01, 415.05752
   4300,2021-05-15T22:30:53.763+03:00,   0.948E-01, 424.53454
   4400,2021-05-15T22:32:57.145+03:00,   0.948E-01, 434.01156
   4500,2021-05-15T22:34:55.690+03:00,   0.948E-01, 443.48859
   4600,2021-05-15T22:36:58.154+03:00,   0.948E-01, 452.96561
   4700,2021-05-15T22:38:55.632+03:00,   0.948E-01, 462.44263
   4800,2021-05-15T22:40:53.885+03:00,   0.948E-01, 471.91965
   4900,2021-05-15T22:42:56.946+03:00,   0.932E-01, 481.17427
   5000,2021-05-15T22:44:55.914+03:00,   0.932E-01, 490.48962
   5100,2021-05-15T22:46:54.660+03:00,   0.932E-01, 499.80498
   5200,2021-05-15T22:48:55.464+03:00,   0.932E-01, 509.12034
   5300,2021-05-15T22:50:54.100+03:00,   0.932E-01, 518.43569
   5400,2021-05-15T22:52:52.415+03:00,   0.932E-01, 527.75105
   5500,2021-05-15T22:54:52.698+03:00,   0.932E-01, 537.06641
   5600,2021-05-15T22:56:50.483+03:00,   0.932E-01, 546.38176
   5700,2021-05-15T22:58:48.273+03:00,   0.932E-01, 555.69712
   5800,2021-05-15T23:00:47.592+03:00,   0.932E-01, 565.01248
   5900,2021-05-15T23:02:49.467+03:00,   0.932E-01, 574.32783
   6000,2021-05-15T23:04:47.647+03:00,   0.932E-01, 583.64319
   6100,2021-05-15T23:06:47.103+03:00,   0.932E-01, 592.95855
   6200,2021-05-15T23:08:45.323+03:00,   0.932E-01, 602.27390
