,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-07T19:13:02.366+02:00,   0.286E-01,   0.02864
      2,2021-11-07T19:13:02.631+02:00,   0.315E-01,   0.06015
      3,2021-11-07T19:13:02.936+02:00,   0.347E-01,   0.09481
      4,2021-11-07T19:13:03.266+02:00,   0.347E-01,   0.12947
      5,2021-11-07T19:13:03.515+02:00,   0.347E-01,   0.16412
      6,2021-11-07T19:13:03.793+02:00,   0.347E-01,   0.19878
      7,2021-11-07T19:13:04.094+02:00,   0.347E-01,   0.23344
      8,2021-11-07T19:13:04.477+02:00,   0.307E-01,   0.26417
      9,2021-11-07T19:13:04.735+02:00,   0.307E-01,   0.29490
     10,2021-11-07T19:13:05.065+02:00,   0.307E-01,   0.32563
     20,2021-11-07T19:13:07.224+02:00,   0.307E-01,   0.63292
     30,2021-11-07T19:13:09.553+02:00,   0.307E-01,   0.94022
     40,2021-11-07T19:13:12.146+02:00,   0.236E-01,   1.19024
     50,2021-11-07T19:13:14.620+02:00,   0.205E-01,   1.39541
     60,2021-11-07T19:13:17.082+02:00,   0.200E-01,   1.58865
     70,2021-11-07T19:13:19.417+02:00,   0.221E-01,   1.80315
     80,2021-11-07T19:13:21.880+02:00,   0.170E-01,   2.00421
     90,2021-11-07T19:13:24.213+02:00,   0.170E-01,   2.17412
    100,2021-11-07T19:13:26.565+02:00,   0.206E-01,   2.34930
    200,2021-11-07T19:13:50.641+02:00,   0.239E-01,   4.46744
    300,2021-11-07T19:14:14.331+02:00,   0.216E-01,   6.61062
    400,2021-11-07T19:14:38.293+02:00,   0.210E-01,   8.86915
    500,2021-11-07T19:15:02.476+02:00,   0.176E-01,  10.93389
    600,2021-11-07T19:15:26.314+02:00,   0.231E-01,  13.15659
    700,2021-11-07T19:15:50.153+02:00,   0.208E-01,  15.32716
    800,2021-11-07T19:16:14.360+02:00,   0.173E-01,  17.42899
    900,2021-11-07T19:16:38.252+02:00,   0.239E-01,  19.70276
   1000,2021-11-07T19:17:02.790+02:00,   0.227E-01,  21.65071
   1100,2021-11-07T19:17:27.002+02:00,   0.229E-01,  23.86597
   1200,2021-11-07T19:17:50.993+02:00,   0.244E-01,  26.14378
   1300,2021-11-07T19:18:17.522+02:00,   0.200E-01,  28.25634
   1400,2021-11-07T19:18:44.065+02:00,   0.213E-01,  30.50871
   1500,2021-11-07T19:19:08.342+02:00,   0.235E-01,  32.66789
   1600,2021-11-07T19:19:35.995+02:00,   0.230E-01,  34.77708
   1700,2021-11-07T19:20:00.660+02:00,   0.236E-01,  36.98140
   1800,2021-11-07T19:20:24.843+02:00,   0.213E-01,  39.19948
   1900,2021-11-07T19:20:49.243+02:00,   0.238E-01,  41.34598
   2000,2021-11-07T19:21:14.254+02:00,   0.168E-01,  43.37976
   2100,2021-11-07T19:21:38.795+02:00,   0.212E-01,  45.54199
   2200,2021-11-07T19:22:03.327+02:00,   0.188E-01,  47.53067
   2300,2021-11-07T19:22:27.891+02:00,   0.224E-01,  49.65929
   2400,2021-11-07T19:22:52.078+02:00,   0.241E-01,  51.82902
   2500,2021-11-07T19:23:16.120+02:00,   0.237E-01,  54.16883
   2600,2021-11-07T19:23:40.397+02:00,   0.235E-01,  56.45745
   2700,2021-11-07T19:24:04.698+02:00,   0.232E-01,  58.77812
   2800,2021-11-07T19:24:29.292+02:00,   0.143E-01,  60.92241
   2900,2021-11-07T19:24:53.531+02:00,   0.194E-01,  62.89469
   3000,2021-11-07T19:25:17.604+02:00,   0.218E-01,  65.26215
   3100,2021-11-07T19:25:41.981+02:00,   0.242E-01,  67.66350
   3200,2021-11-07T19:26:06.367+02:00,   0.252E-01,  69.98428
   3300,2021-11-07T19:26:31.095+02:00,   0.251E-01,  72.26970
   3400,2021-11-07T19:26:55.623+02:00,   0.230E-01,  74.48144
   3500,2021-11-07T19:27:19.676+02:00,   0.199E-01,  76.80126
   3600,2021-11-07T19:27:43.911+02:00,   0.242E-01,  79.10962
   3700,2021-11-07T19:28:08.507+02:00,   0.196E-01,  81.42544
   3800,2021-11-07T19:28:32.919+02:00,   0.241E-01,  83.69315
   3900,2021-11-07T19:28:57.567+02:00,   0.195E-01,  85.61556
   4000,2021-11-07T19:29:22.341+02:00,   0.183E-01,  87.78213
   4100,2021-11-07T19:29:46.582+02:00,   0.213E-01,  90.07661
   4200,2021-11-07T19:30:11.214+02:00,   0.203E-01,  92.19657
   4300,2021-11-07T19:30:35.949+02:00,   0.228E-01,  94.37040
   4400,2021-11-07T19:31:00.149+02:00,   0.181E-01,  96.57968
   4500,2021-11-07T19:31:24.158+02:00,   0.241E-01,  98.90479
   4600,2021-11-07T19:31:48.666+02:00,   0.159E-01, 101.18466
   4700,2021-11-07T19:32:12.875+02:00,   0.208E-01, 103.58248
   4800,2021-11-07T19:32:37.300+02:00,   0.215E-01, 105.85694
   4900,2021-11-07T19:33:02.126+02:00,   0.254E-01, 108.08489
   5000,2021-11-07T19:33:26.674+02:00,   0.218E-01, 110.36116
   5100,2021-11-07T19:33:51.047+02:00,   0.218E-01, 112.60908
   5200,2021-11-07T19:34:15.839+02:00,   0.232E-01, 114.89446
   5300,2021-11-07T19:34:39.823+02:00,   0.248E-01, 117.34101
   5400,2021-11-07T19:35:04.469+02:00,   0.239E-01, 119.68714
   5500,2021-11-07T19:35:29.105+02:00,   0.236E-01, 121.78164
   5600,2021-11-07T19:35:53.469+02:00,   0.246E-01, 123.98842
   5700,2021-11-07T19:36:18.500+02:00,   0.216E-01, 126.23796
   5800,2021-11-07T19:36:42.981+02:00,   0.242E-01, 128.56336
   5900,2021-11-07T19:37:06.968+02:00,   0.239E-01, 130.95981
   6000,2021-11-07T19:37:31.640+02:00,   0.245E-01, 133.25736
