,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-15T21:37:37.707+03:00,   0.177E+00,   0.17678
      2,2021-05-15T21:37:38.175+03:00,   0.177E+00,   0.35355
      3,2021-05-15T21:37:38.556+03:00,   0.177E+00,   0.53033
      4,2021-05-15T21:37:39.357+03:00,   0.177E+00,   0.70711
      5,2021-05-15T21:37:39.741+03:00,   0.177E+00,   0.88388
      6,2021-05-15T21:37:40.223+03:00,   0.177E+00,   1.06066
      7,2021-05-15T21:37:41.024+03:00,   0.177E+00,   1.23744
      8,2021-05-15T21:37:41.422+03:00,   0.177E+00,   1.41421
      9,2021-05-15T21:37:41.853+03:00,   0.177E+00,   1.59099
     10,2021-05-15T21:37:42.687+03:00,   0.177E+00,   1.76777
     20,2021-05-15T21:37:47.966+03:00,   0.177E+00,   3.53553
     30,2021-05-15T21:37:53.870+03:00,   0.177E+00,   5.30330
     40,2021-05-15T21:38:00.747+03:00,   0.177E+00,   7.07107
     50,2021-05-15T21:38:06.605+03:00,   0.177E+00,   8.83883
     60,2021-05-15T21:38:12.984+03:00,   0.177E+00,  10.60660
     70,2021-05-15T21:38:20.616+03:00,   0.177E+00,  12.37437
     80,2021-05-15T21:38:27.841+03:00,   0.177E+00,  14.14214
     90,2021-05-15T21:38:34.328+03:00,   0.177E+00,  15.90990
    100,2021-05-15T21:38:42.502+03:00,   0.177E+00,  17.67767
    200,2021-05-15T21:40:10.336+03:00,   0.121E+00,  33.26413
    300,2021-05-15T21:42:13.457+03:00,   0.121E+00,  45.93490
    400,2021-05-15T21:44:15.544+03:00,   0.123E+00,  57.92671
    500,2021-05-15T21:46:16.554+03:00,   0.121E+00,  70.50897
    600,2021-05-15T21:48:16.962+03:00,   0.127E+00,  83.67285
    700,2021-05-15T21:50:19.771+03:00,   0.119E+00,  97.09546
    800,2021-05-15T21:52:21.670+03:00,   0.124E+00, 110.06381
    900,2021-05-15T21:54:24.809+03:00,   0.121E+00, 122.92421
   1000,2021-05-15T21:56:26.990+03:00,   0.133E+00, 135.87969
   1100,2021-05-15T21:58:25.711+03:00,   0.137E+00, 149.13842
   1200,2021-05-15T22:00:23.954+03:00,   0.142E+00, 162.35544
   1300,2021-05-15T22:02:26.899+03:00,   0.133E+00, 175.64483
   1400,2021-05-15T22:04:25.663+03:00,   0.133E+00, 188.92251
   1500,2021-05-15T22:06:23.197+03:00,   0.133E+00, 202.20018
   1600,2021-05-15T22:08:24.468+03:00,   0.133E+00, 215.47785
   1700,2021-05-15T22:10:22.723+03:00,   0.133E+00, 228.75552
