,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-15T21:38:15.096+03:00,   0.177E+00,   0.17678
      2,2021-05-15T21:38:15.504+03:00,   0.177E+00,   0.35355
      3,2021-05-15T21:38:15.877+03:00,   0.177E+00,   0.53033
      4,2021-05-15T21:38:17.412+03:00,   0.177E+00,   0.70711
      5,2021-05-15T21:38:17.819+03:00,   0.177E+00,   0.88388
      6,2021-05-15T21:38:18.250+03:00,   0.177E+00,   1.06066
      7,2021-05-15T21:38:19.780+03:00,   0.177E+00,   1.23744
      8,2021-05-15T21:38:20.190+03:00,   0.177E+00,   1.41421
      9,2021-05-15T21:38:20.580+03:00,   0.177E+00,   1.59099
     10,2021-05-15T21:38:21.932+03:00,   0.177E+00,   1.76777
     20,2021-05-15T21:38:28.781+03:00,   0.177E+00,   3.53553
     30,2021-05-15T21:38:35.877+03:00,   0.177E+00,   5.30330
     40,2021-05-15T21:38:43.140+03:00,   0.177E+00,   7.07107
     50,2021-05-15T21:38:50.610+03:00,   0.177E+00,   8.83883
     60,2021-05-15T21:38:57.739+03:00,   0.177E+00,  10.60660
     70,2021-05-15T21:39:07.254+03:00,   0.177E+00,  12.37437
     80,2021-05-15T21:39:16.233+03:00,   0.177E+00,  14.14214
     90,2021-05-15T21:39:23.365+03:00,   0.177E+00,  15.90990
    100,2021-05-15T21:39:34.054+03:00,   0.177E+00,  17.67767
    200,2021-05-15T21:41:25.004+03:00,   0.125E+00,  33.37889
    300,2021-05-15T21:43:26.570+03:00,   0.133E+00,  46.01336
    400,2021-05-15T21:45:29.742+03:00,   0.146E+00,  59.45445
    500,2021-05-15T21:47:30.825+03:00,   0.146E+00,  74.04990
    600,2021-05-15T21:49:32.095+03:00,   0.137E+00,  87.88565
    700,2021-05-15T21:51:35.618+03:00,   0.150E+00, 101.71725
    800,2021-05-15T21:53:37.154+03:00,   0.148E+00, 115.41805
    900,2021-05-15T21:55:38.697+03:00,   0.129E+00, 129.00169
   1000,2021-05-15T21:57:40.138+03:00,   0.135E+00, 142.43007
   1100,2021-05-15T21:59:38.013+03:00,   0.149E+00, 156.39450
   1200,2021-05-15T22:01:36.590+03:00,   0.145E+00, 170.37778
   1300,2021-05-15T22:03:37.940+03:00,   0.145E+00, 184.88736
   1400,2021-05-15T22:05:40.100+03:00,   0.145E+00, 199.39694
   1500,2021-05-15T22:07:40.310+03:00,   0.145E+00, 213.90651
   1600,2021-05-15T22:09:40.540+03:00,   0.128E+00, 227.85988
   1700,2021-05-15T22:11:39.427+03:00,   0.141E+00, 241.28848
   1800,2021-05-15T22:13:38.494+03:00,   0.125E+00, 255.17975
   1900,2021-05-15T22:15:39.169+03:00,   0.145E+00, 268.74184
   2000,2021-05-15T22:17:38.158+03:00,   0.139E+00, 282.90281
   2100,2021-05-15T22:19:37.590+03:00,   0.131E+00, 296.12681
   2200,2021-05-15T22:21:39.270+03:00,   0.124E+00, 309.32087
   2300,2021-05-15T22:23:39.078+03:00,   0.146E+00, 323.09011
   2400,2021-05-15T22:25:37.776+03:00,   0.136E+00, 336.54319
   2500,2021-05-15T22:27:39.186+03:00,   0.131E+00, 350.98851
   2600,2021-05-15T22:29:39.660+03:00,   0.139E+00, 364.63557
   2700,2021-05-15T22:31:43.293+03:00,   0.136E+00, 378.25428
   2800,2021-05-15T22:33:45.279+03:00,   0.132E+00, 391.84214
   2900,2021-05-15T22:35:46.476+03:00,   0.141E+00, 405.04833
   3000,2021-05-15T22:37:44.775+03:00,   0.137E+00, 418.61485
   3100,2021-05-15T22:39:46.154+03:00,   0.137E+00, 432.27612
   3200,2021-05-15T22:41:44.815+03:00,   0.135E+00, 446.04358
   3300,2021-05-15T22:43:45.536+03:00,   0.144E+00, 459.46752
   3400,2021-05-15T22:45:45.594+03:00,   0.139E+00, 473.39061
   3500,2021-05-15T22:47:44.709+03:00,   0.123E+00, 486.39902
   3600,2021-05-15T22:49:41.969+03:00,   0.136E+00, 499.60192
   3700,2021-05-15T22:51:42.972+03:00,   0.136E+00, 513.16232
   3800,2021-05-15T22:53:40.576+03:00,   0.136E+00, 526.72272
   3900,2021-05-15T22:55:38.366+03:00,   0.136E+00, 540.28312
   4000,2021-05-15T22:57:40.082+03:00,   0.136E+00, 553.84352
   4100,2021-05-15T22:59:38.318+03:00,   0.130E+00, 566.99532
   4200,2021-05-15T23:01:39.500+03:00,   0.129E+00, 580.54560
   4300,2021-05-15T23:03:41.794+03:00,   0.133E+00, 594.23389
   4400,2021-05-15T23:05:40.409+03:00,   0.119E+00, 607.43563
   4500,2021-05-15T23:07:39.694+03:00,   0.142E+00, 620.80254
   4600,2021-05-15T23:09:41.072+03:00,   0.135E+00, 634.44026
   4700,2021-05-15T23:11:38.824+03:00,   0.125E+00, 648.06801
   4800,2021-05-15T23:13:36.481+03:00,   0.137E+00, 661.62905
   4900,2021-05-15T23:15:36.732+03:00,   0.137E+00, 675.35227
   5000,2021-05-15T23:17:35.569+03:00,   0.137E+00, 689.07550
   5100,2021-05-15T23:19:34.051+03:00,   0.137E+00, 702.79872
   5200,2021-05-15T23:21:35.718+03:00,   0.140E+00, 716.08127
   5300,2021-05-15T23:23:34.198+03:00,   0.126E+00, 729.50433
   5400,2021-05-15T23:25:34.998+03:00,   0.138E+00, 743.29519
   5500,2021-05-15T23:27:36.680+03:00,   0.149E+00, 756.99463
   5600,2021-05-15T23:29:36.399+03:00,   0.144E+00, 770.90069
   5700,2021-05-15T23:31:36.145+03:00,   0.137E+00, 784.78346
   5800,2021-05-15T23:33:38.014+03:00,   0.130E+00, 798.36377
   5900,2021-05-15T23:35:37.036+03:00,   0.136E+00, 811.43692
   6000,2021-05-15T23:37:35.591+03:00,   0.137E+00, 824.65578
   6100,2021-05-15T23:39:36.148+03:00,   0.132E+00, 837.88701
   6200,2021-05-15T23:41:34.141+03:00,   0.124E+00, 851.00137
   6300,2021-05-15T23:43:32.903+03:00,   0.136E+00, 864.52971
   6400,2021-05-15T23:45:32.938+03:00,   0.145E+00, 878.04675
   6500,2021-05-15T23:47:33.468+03:00,   0.127E+00, 891.80175
   6600,2021-05-15T23:49:32.981+03:00,   0.130E+00, 906.02530
