,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-08T20:03:02.437+02:00,   0.286E-01,   0.02864
      2,2021-11-08T20:03:02.756+02:00,   0.315E-01,   0.06015
      3,2021-11-08T20:03:03.077+02:00,   0.347E-01,   0.09481
      4,2021-11-08T20:03:03.481+02:00,   0.347E-01,   0.12947
      5,2021-11-08T20:03:03.804+02:00,   0.347E-01,   0.16412
      6,2021-11-08T20:03:04.133+02:00,   0.347E-01,   0.19878
      7,2021-11-08T20:03:04.515+02:00,   0.347E-01,   0.23344
      8,2021-11-08T20:03:04.967+02:00,   0.307E-01,   0.26417
      9,2021-11-08T20:03:05.291+02:00,   0.307E-01,   0.29490
     10,2021-11-08T20:03:05.732+02:00,   0.307E-01,   0.32563
     20,2021-11-08T20:03:08.742+02:00,   0.307E-01,   0.63292
     30,2021-11-08T20:03:11.778+02:00,   0.307E-01,   0.94022
     40,2021-11-08T20:03:15.125+02:00,   0.236E-01,   1.19024
     50,2021-11-08T20:03:18.322+02:00,   0.205E-01,   1.39541
     60,2021-11-08T20:03:21.492+02:00,   0.200E-01,   1.58865
     70,2021-11-08T20:03:24.622+02:00,   0.221E-01,   1.80315
     80,2021-11-08T20:03:27.914+02:00,   0.170E-01,   2.00421
     90,2021-11-08T20:03:31.011+02:00,   0.170E-01,   2.17414
    100,2021-11-08T20:03:34.191+02:00,   0.206E-01,   2.34934
    200,2021-11-08T20:04:06.320+02:00,   0.256E-01,   4.44685
    300,2021-11-08T20:04:36.838+02:00,   0.249E-01,   6.91326
    400,2021-11-08T20:05:07.696+02:00,   0.240E-01,   9.24711
    500,2021-11-08T20:05:38.637+02:00,   0.190E-01,  11.34583
    600,2021-11-08T20:06:09.791+02:00,   0.173E-01,  13.37068
    700,2021-11-08T20:06:40.683+02:00,   0.165E-01,  15.50140
    800,2021-11-08T20:07:11.591+02:00,   0.202E-01,  17.66666
    900,2021-11-08T20:07:42.766+02:00,   0.211E-01,  19.92850
   1000,2021-11-08T20:08:14.916+02:00,   0.253E-01,  22.00315
   1100,2021-11-08T20:08:46.203+02:00,   0.231E-01,  24.25838
   1200,2021-11-08T20:09:19.312+02:00,   0.228E-01,  26.44893
   1300,2021-11-08T20:09:52.083+02:00,   0.232E-01,  28.76705
   1400,2021-11-08T20:10:25.105+02:00,   0.173E-01,  30.78918
   1500,2021-11-08T20:10:56.327+02:00,   0.251E-01,  32.87634
   1600,2021-11-08T20:11:27.369+02:00,   0.250E-01,  35.06296
   1700,2021-11-08T20:11:58.356+02:00,   0.191E-01,  37.26723
   1800,2021-11-08T20:12:29.894+02:00,   0.224E-01,  39.18682
   1900,2021-11-08T20:13:02.057+02:00,   0.204E-01,  41.28369
   2000,2021-11-08T20:13:33.859+02:00,   0.252E-01,  43.59781
   2100,2021-11-08T20:14:08.028+02:00,   0.229E-01,  45.77233
   2200,2021-11-08T20:14:41.407+02:00,   0.218E-01,  47.99305
   2300,2021-11-08T20:15:12.731+02:00,   0.246E-01,  50.16994
   2400,2021-11-08T20:15:44.251+02:00,   0.227E-01,  52.51010
