,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-11-09T06:17:35.753+02:00,   0.286E-01,   0.02864
      2,2021-11-09T06:17:36.004+02:00,   0.315E-01,   0.06015
      3,2021-11-09T06:17:36.254+02:00,   0.347E-01,   0.09481
      4,2021-11-09T06:17:36.571+02:00,   0.347E-01,   0.12947
      5,2021-11-09T06:17:36.814+02:00,   0.347E-01,   0.16412
      6,2021-11-09T06:17:37.073+02:00,   0.347E-01,   0.19878
      7,2021-11-09T06:17:37.369+02:00,   0.347E-01,   0.23344
      8,2021-11-09T06:17:37.734+02:00,   0.307E-01,   0.26417
      9,2021-11-09T06:17:37.969+02:00,   0.307E-01,   0.29490
     10,2021-11-09T06:17:38.299+02:00,   0.307E-01,   0.32563
     20,2021-11-09T06:17:40.388+02:00,   0.307E-01,   0.63292
     30,2021-11-09T06:17:42.519+02:00,   0.307E-01,   0.94022
     40,2021-11-09T06:17:45.539+02:00,   0.236E-01,   1.19024
     50,2021-11-09T06:17:48.502+02:00,   0.205E-01,   1.39541
     60,2021-11-09T06:17:51.715+02:00,   0.200E-01,   1.58865
     70,2021-11-09T06:17:55.371+02:00,   0.221E-01,   1.80315
     80,2021-11-09T06:17:59.153+02:00,   0.170E-01,   2.00421
     90,2021-11-09T06:18:02.672+02:00,   0.170E-01,   2.17414
    100,2021-11-09T06:18:06.166+02:00,   0.206E-01,   2.34934
    200,2021-11-09T06:18:39.385+02:00,   0.269E-01,   4.46913
    300,2021-11-09T06:19:11.611+02:00,   0.235E-01,   6.81716
    400,2021-11-09T06:19:43.811+02:00,   0.206E-01,   8.96014
    500,2021-11-09T06:20:16.336+02:00,   0.145E-01,  10.93398
    600,2021-11-09T06:20:50.003+02:00,   0.203E-01,  13.19238
    700,2021-11-09T06:21:27.917+02:00,   0.173E-01,  15.31355
    800,2021-11-09T06:22:02.629+02:00,   0.254E-01,  17.37840
    900,2021-11-09T06:22:35.190+02:00,   0.241E-01,  19.72142
   1000,2021-11-09T06:23:11.017+02:00,   0.205E-01,  21.98599
   1100,2021-11-09T06:23:47.301+02:00,   0.214E-01,  23.98134
   1200,2021-11-09T06:24:23.864+02:00,   0.195E-01,  26.08893
   1300,2021-11-09T06:24:59.707+02:00,   0.257E-01,  28.31033
   1400,2021-11-09T06:25:37.756+02:00,   0.228E-01,  30.63517
   1500,2021-11-09T06:26:10.799+02:00,   0.244E-01,  32.74959
   1600,2021-11-09T06:26:45.801+02:00,   0.214E-01,  35.03981
   1700,2021-11-09T06:27:22.029+02:00,   0.248E-01,  37.29941
   1800,2021-11-09T06:27:57.309+02:00,   0.214E-01,  39.26081
   1900,2021-11-09T06:28:32.258+02:00,   0.206E-01,  41.41445
   2000,2021-11-09T06:29:07.126+02:00,   0.185E-01,  43.56373
   2100,2021-11-09T06:29:40.844+02:00,   0.255E-01,  45.65640
   2200,2021-11-09T06:30:15.657+02:00,   0.225E-01,  47.88094
   2300,2021-11-09T06:30:50.111+02:00,   0.243E-01,  50.16537
   2400,2021-11-09T06:31:24.868+02:00,   0.212E-01,  52.35328
   2500,2021-11-09T06:31:58.597+02:00,   0.210E-01,  54.66209
   2600,2021-11-09T06:32:33.702+02:00,   0.233E-01,  57.02159
   2700,2021-11-09T06:33:10.395+02:00,   0.177E-01,  59.15923
   2800,2021-11-09T06:33:46.958+02:00,   0.248E-01,  61.41335
   2900,2021-11-09T06:34:24.621+02:00,   0.197E-01,  63.53516
   3000,2021-11-09T06:35:02.314+02:00,   0.259E-01,  65.64088
   3100,2021-11-09T06:35:38.074+02:00,   0.238E-01,  67.76905
   3200,2021-11-09T06:36:13.081+02:00,   0.221E-01,  69.89081
   3300,2021-11-09T06:36:49.801+02:00,   0.235E-01,  72.00578
   3400,2021-11-09T06:37:26.648+02:00,   0.140E-01,  73.96272
   3500,2021-11-09T06:38:01.696+02:00,   0.105E-01,  75.74579
   3600,2021-11-09T06:38:35.745+02:00,   0.220E-01,  77.80640
   3700,2021-11-09T06:39:10.290+02:00,   0.239E-01,  80.13919
   3800,2021-11-09T06:39:45.045+02:00,   0.208E-01,  82.04186
   3900,2021-11-09T06:40:19.815+02:00,   0.183E-01,  84.13541
   4000,2021-11-09T06:40:54.612+02:00,   0.213E-01,  86.32238
   4100,2021-11-09T06:41:30.709+02:00,   0.191E-01,  88.32712
   4200,2021-11-09T06:42:05.439+02:00,   0.240E-01,  90.56063
   4300,2021-11-09T06:42:39.983+02:00,   0.233E-01,  92.70683
   4400,2021-11-09T06:43:16.803+02:00,   0.170E-01,  94.95582
   4500,2021-11-09T06:43:54.733+02:00,   0.246E-01,  97.15687
   4600,2021-11-09T06:44:28.224+02:00,   0.201E-01,  98.99354
   4700,2021-11-09T06:45:00.833+02:00,   0.157E-01, 101.07553
   4800,2021-11-09T06:45:33.122+02:00,   0.232E-01, 103.14806
   4900,2021-11-09T06:46:07.426+02:00,   0.178E-01, 105.45328
   5000,2021-11-09T06:46:43.973+02:00,   0.175E-01, 107.59800
   5100,2021-11-09T06:47:22.600+02:00,   0.140E-01, 109.47425
   5200,2021-11-09T06:48:00.940+02:00,   0.217E-01, 111.61680
   5300,2021-11-09T06:48:39.357+02:00,   0.209E-01, 113.68236
   5400,2021-11-09T06:49:12.231+02:00,   0.205E-01, 115.75378
   5500,2021-11-09T06:49:44.160+02:00,   0.233E-01, 117.80606
   5600,2021-11-09T06:50:20.289+02:00,   0.238E-01, 120.08753
   5700,2021-11-09T06:50:54.561+02:00,   0.203E-01, 122.28187
   5800,2021-11-09T06:51:29.896+02:00,   0.223E-01, 124.52036
   5900,2021-11-09T06:52:06.689+02:00,   0.197E-01, 126.71467
   6000,2021-11-09T06:52:43.148+02:00,   0.202E-01, 128.86254
   6100,2021-11-09T06:53:20.020+02:00,   0.228E-01, 130.88569
   6200,2021-11-09T06:53:56.479+02:00,   0.192E-01, 132.89944
   6300,2021-11-09T06:54:30.872+02:00,   0.253E-01, 135.08115
   6400,2021-11-09T06:55:05.645+02:00,   0.188E-01, 137.19247
   6500,2021-11-09T06:55:40.740+02:00,   0.244E-01, 139.52402
   6600,2021-11-09T06:56:15.480+02:00,   0.205E-01, 141.58155
   6700,2021-11-09T06:56:50.249+02:00,   0.254E-01, 143.73949
   6800,2021-11-09T06:57:25.171+02:00,   0.249E-01, 145.91434
   6900,2021-11-09T06:58:00.725+02:00,   0.174E-01, 147.80580
   7000,2021-11-09T06:58:36.400+02:00,   0.155E-01, 149.68110
   7100,2021-11-09T06:59:13.035+02:00,   0.175E-01, 151.79554
   7200,2021-11-09T06:59:49.683+02:00,   0.246E-01, 153.99370
   7300,2021-11-09T07:00:26.371+02:00,   0.190E-01, 156.01677
   7400,2021-11-09T07:01:02.598+02:00,   0.213E-01, 158.37030
   7500,2021-11-09T07:01:36.779+02:00,   0.251E-01, 160.71278
   7600,2021-11-09T07:02:11.773+02:00,   0.212E-01, 162.95835
   7700,2021-11-09T07:02:46.400+02:00,   0.223E-01, 165.27094
   7800,2021-11-09T07:03:20.855+02:00,   0.207E-01, 167.55437
   7900,2021-11-09T07:03:58.052+02:00,   0.253E-01, 169.74754
   8000,2021-11-09T07:04:34.483+02:00,   0.188E-01, 172.08994
   8100,2021-11-09T07:05:09.462+02:00,   0.208E-01, 174.17234
   8200,2021-11-09T07:05:44.767+02:00,   0.189E-01, 176.33994
   8300,2021-11-09T07:06:19.946+02:00,   0.260E-01, 178.44511
   8400,2021-11-09T07:06:56.485+02:00,   0.223E-01, 180.59844
   8500,2021-11-09T07:07:33.253+02:00,   0.208E-01, 182.73288
   8600,2021-11-09T07:08:08.297+02:00,   0.203E-01, 184.99597
   8700,2021-11-09T07:08:43.257+02:00,   0.169E-01, 187.05009
   8800,2021-11-09T07:09:19.086+02:00,   0.104E-01, 188.09490
   8900,2021-11-09T07:09:53.721+02:00,   0.210E-01, 190.07928
   9000,2021-11-09T07:10:28.436+02:00,   0.256E-01, 192.24659
   9100,2021-11-09T07:11:02.871+02:00,   0.241E-01, 194.61957
   9200,2021-11-09T07:11:37.660+02:00,   0.219E-01, 196.74794
   9300,2021-11-09T07:12:14.335+02:00,   0.245E-01, 199.00209
   9400,2021-11-09T07:12:49.976+02:00,   0.245E-01, 201.44998
   9500,2021-11-09T07:13:26.861+02:00,   0.221E-01, 203.52996
   9600,2021-11-09T07:14:02.857+02:00,   0.215E-01, 205.89114
   9700,2021-11-09T07:14:38.956+02:00,   0.225E-01, 208.18729
   9800,2021-11-09T07:15:14.064+02:00,   0.196E-01, 210.17791
   9900,2021-11-09T07:15:49.086+02:00,   0.163E-01, 212.54089
  10000,2021-11-09T07:16:23.682+02:00,   0.251E-01, 214.71904
  10100,2021-11-09T07:16:58.542+02:00,   0.234E-01, 217.00214
  10200,2021-11-09T07:17:33.578+02:00,   0.199E-01, 219.19108
  10300,2021-11-09T07:18:07.896+02:00,   0.242E-01, 221.36855
  10400,2021-11-09T07:18:42.825+02:00,   0.221E-01, 223.25615
  10500,2021-11-09T07:19:17.795+02:00,   0.197E-01, 225.49417
  10600,2021-11-09T07:19:52.739+02:00,   0.173E-01, 227.63409
  10700,2021-11-09T07:20:27.255+02:00,   0.176E-01, 229.68692
  10800,2021-11-09T07:21:03.403+02:00,   0.251E-01, 231.84047
  10900,2021-11-09T07:21:40.174+02:00,   0.224E-01, 234.06603
  11000,2021-11-09T07:22:16.979+02:00,   0.174E-01, 236.07965
  11100,2021-11-09T07:22:53.111+02:00,   0.231E-01, 238.37964
  11200,2021-11-09T07:23:29.740+02:00,   0.211E-01, 240.51684
  11300,2021-11-09T07:24:05.851+02:00,   0.253E-01, 242.74267
  11400,2021-11-09T07:24:42.121+02:00,   0.254E-01, 245.01030
  11500,2021-11-09T07:25:17.782+02:00,   0.205E-01, 247.19662
  11600,2021-11-09T07:25:51.911+02:00,   0.241E-01, 249.21445
  11700,2021-11-09T07:26:26.377+02:00,   0.219E-01, 251.25935
  11800,2021-11-09T07:27:00.904+02:00,   0.259E-01, 253.22484
  11900,2021-11-09T07:27:35.470+02:00,   0.171E-01, 255.60242
  12000,2021-11-09T07:28:09.402+02:00,   0.215E-01, 257.67545
  12100,2021-11-09T07:28:44.256+02:00,   0.211E-01, 259.76232
  12200,2021-11-09T07:29:19.166+02:00,   0.222E-01, 261.90406
  12300,2021-11-09T07:29:53.953+02:00,   0.210E-01, 264.06229
  12400,2021-11-09T07:30:28.966+02:00,   0.217E-01, 266.20619
  12500,2021-11-09T07:31:04.100+02:00,   0.201E-01, 268.17075
  12600,2021-11-09T07:31:38.738+02:00,   0.235E-01, 270.27245
  12700,2021-11-09T07:32:13.322+02:00,   0.216E-01, 272.61953
  12800,2021-11-09T07:32:47.881+02:00,   0.193E-01, 274.55136
  12900,2021-11-09T07:33:22.518+02:00,   0.233E-01, 276.62618
  13000,2021-11-09T07:33:57.499+02:00,   0.203E-01, 278.95341
  13100,2021-11-09T07:34:34.053+02:00,   0.182E-01, 281.14802
  13200,2021-11-09T07:35:08.519+02:00,   0.208E-01, 283.21449
  13300,2021-11-09T07:35:41.464+02:00,   0.213E-01, 285.29298
  13400,2021-11-09T07:36:15.123+02:00,   0.217E-01, 287.43202
  13500,2021-11-09T07:36:49.806+02:00,   0.224E-01, 289.66492
  13600,2021-11-09T07:37:24.701+02:00,   0.184E-01, 291.65138
