,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-17T23:06:49.412+03:00,   0.177E+00,   0.17678
      2,2021-05-17T23:06:49.611+03:00,   0.177E+00,   0.35355
      3,2021-05-17T23:06:49.800+03:00,   0.177E+00,   0.53033
      4,2021-05-17T23:06:50.157+03:00,   0.177E+00,   0.70711
      5,2021-05-17T23:06:50.342+03:00,   0.177E+00,   0.88388
      6,2021-05-17T23:06:50.557+03:00,   0.177E+00,   1.06066
      7,2021-05-17T23:06:50.807+03:00,   0.177E+00,   1.23744
      8,2021-05-17T23:06:51.004+03:00,   0.177E+00,   1.41421
      9,2021-05-17T23:06:51.191+03:00,   0.177E+00,   1.59099
     10,2021-05-17T23:06:51.442+03:00,   0.177E+00,   1.76777
     20,2021-05-17T23:06:53.533+03:00,   0.177E+00,   3.53553
     30,2021-05-17T23:06:55.679+03:00,   0.177E+00,   5.30330
     40,2021-05-17T23:06:57.872+03:00,   0.177E+00,   7.07107
     50,2021-05-17T23:06:59.950+03:00,   0.177E+00,   8.83883
     60,2021-05-17T23:07:02.011+03:00,   0.177E+00,  10.60660
     70,2021-05-17T23:07:04.161+03:00,   0.177E+00,  12.37437
     80,2021-05-17T23:07:06.263+03:00,   0.177E+00,  14.14214
     90,2021-05-17T23:07:08.317+03:00,   0.177E+00,  15.90990
    100,2021-05-17T23:07:10.493+03:00,   0.177E+00,  17.67767
    200,2021-05-17T23:07:34.648+03:00,   0.106E+00,  33.07368
    300,2021-05-17T23:07:59.708+03:00,   0.125E+00,  45.25563
    400,2021-05-17T23:08:24.331+03:00,   0.125E+00,  57.73695
    500,2021-05-17T23:08:48.713+03:00,   0.113E+00,  70.12821
    600,2021-05-17T23:09:11.493+03:00,   0.134E+00,  82.36841
    700,2021-05-17T23:09:34.809+03:00,   0.120E+00,  94.57405
    800,2021-05-17T23:09:58.475+03:00,   0.127E+00, 106.86988
    900,2021-05-17T23:10:21.883+03:00,   0.139E+00, 119.63874
   1000,2021-05-17T23:10:45.595+03:00,   0.133E+00, 132.69953
   1100,2021-05-17T23:11:08.943+03:00,   0.117E+00, 144.72205
   1200,2021-05-17T23:11:32.584+03:00,   0.127E+00, 157.08706
   1300,2021-05-17T23:11:55.923+03:00,   0.124E+00, 169.59350
   1400,2021-05-17T23:12:18.674+03:00,   0.124E+00, 182.00323
   1500,2021-05-17T23:12:40.221+03:00,   0.130E+00, 194.23872
   1600,2021-05-17T23:13:01.389+03:00,   0.123E+00, 206.53923
   1700,2021-05-17T23:13:22.549+03:00,   0.123E+00, 218.87808
   1800,2021-05-17T23:13:43.676+03:00,   0.123E+00, 231.21693
   1900,2021-05-17T23:14:04.838+03:00,   0.123E+00, 243.55578
   2000,2021-05-17T23:14:25.832+03:00,   0.123E+00, 255.89462
   2100,2021-05-17T23:14:47.126+03:00,   0.122E+00, 267.99916
   2200,2021-05-17T23:15:08.437+03:00,   0.120E+00, 280.13279
   2300,2021-05-17T23:15:29.433+03:00,   0.132E+00, 292.58637
   2400,2021-05-17T23:15:50.705+03:00,   0.127E+00, 304.92595
   2500,2021-05-17T23:16:12.100+03:00,   0.124E+00, 317.27628
   2600,2021-05-17T23:16:31.024+03:00,   0.124E+00, 329.65178
   2700,2021-05-17T23:16:44.579+03:00,   0.124E+00, 342.02728
   2800,2021-05-17T23:16:58.121+03:00,   0.124E+00, 354.40278
