,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-10-11T07:53:24.144+03:00,   0.286E-01,   0.02864
      2,2021-10-11T07:53:24.444+03:00,   0.315E-01,   0.06014
      3,2021-10-11T07:53:24.746+03:00,   0.347E-01,   0.09479
      4,2021-10-11T07:53:25.107+03:00,   0.347E-01,   0.12945
      5,2021-10-11T07:53:25.402+03:00,   0.347E-01,   0.16410
      6,2021-10-11T07:53:25.697+03:00,   0.347E-01,   0.19875
      7,2021-10-11T07:53:26.037+03:00,   0.347E-01,   0.23341
      8,2021-10-11T07:53:26.451+03:00,   0.307E-01,   0.26413
      9,2021-10-11T07:53:26.726+03:00,   0.307E-01,   0.29486
     10,2021-10-11T07:53:27.087+03:00,   0.307E-01,   0.32558
     20,2021-10-11T07:53:29.510+03:00,   0.307E-01,   0.63284
     30,2021-10-11T07:53:32.160+03:00,   0.307E-01,   0.94010
     40,2021-10-11T07:53:35.057+03:00,   0.236E-01,   1.19012
     50,2021-10-11T07:53:37.734+03:00,   0.207E-01,   1.39684
     60,2021-10-11T07:53:40.322+03:00,   0.204E-01,   1.59034
     70,2021-10-11T07:53:42.883+03:00,   0.204E-01,   1.79404
     80,2021-10-11T07:53:45.647+03:00,   0.183E-01,   1.99150
     90,2021-10-11T07:53:48.396+03:00,   0.156E-01,   2.16900
    100,2021-10-11T07:53:51.107+03:00,   0.171E-01,   2.32954
    200,2021-10-11T07:54:17.233+03:00,   0.219E-01,   4.37210
    300,2021-10-11T07:54:43.858+03:00,   0.145E-01,   6.42182
    400,2021-10-11T07:55:14.150+03:00,   0.200E-01,   8.51880
    500,2021-10-11T07:55:45.977+03:00,   0.237E-01,  10.76425
    600,2021-10-11T07:56:20.700+03:00,   0.246E-01,  13.04227
    700,2021-10-11T07:56:55.408+03:00,   0.159E-01,  14.69905
    800,2021-10-11T07:57:30.702+03:00,   0.233E-01,  16.91748
    900,2021-10-11T07:58:05.747+03:00,   0.225E-01,  19.19878
   1000,2021-10-11T07:58:37.756+03:00,   0.229E-01,  21.42436
