,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-10-08T21:47:28.315+03:00,   0.286E-01,   0.02864
      2,2021-10-08T21:47:28.471+03:00,   0.315E-01,   0.06014
      3,2021-10-08T21:47:28.628+03:00,   0.347E-01,   0.09479
      4,2021-10-08T21:47:28.847+03:00,   0.347E-01,   0.12945
      5,2021-10-08T21:47:29.088+03:00,   0.347E-01,   0.16410
      6,2021-10-08T21:47:29.244+03:00,   0.347E-01,   0.19875
      7,2021-10-08T21:47:29.477+03:00,   0.347E-01,   0.23341
      8,2021-10-08T21:47:29.719+03:00,   0.307E-01,   0.26413
      9,2021-10-08T21:47:29.879+03:00,   0.307E-01,   0.29486
     10,2021-10-08T21:47:30.082+03:00,   0.307E-01,   0.32558
     20,2021-10-08T21:47:31.460+03:00,   0.307E-01,   0.63284
     30,2021-10-08T21:47:33.065+03:00,   0.307E-01,   0.94010
     40,2021-10-08T21:47:34.631+03:00,   0.236E-01,   1.19012
     50,2021-10-08T21:47:36.056+03:00,   0.207E-01,   1.39686
     60,2021-10-08T21:47:37.527+03:00,   0.204E-01,   1.59036
     70,2021-10-08T21:47:38.941+03:00,   0.204E-01,   1.79406
     80,2021-10-08T21:47:40.395+03:00,   0.177E-01,   1.99246
     90,2021-10-08T21:47:41.805+03:00,   0.158E-01,   2.16580
    100,2021-10-08T21:47:43.213+03:00,   0.174E-01,   2.32830
    200,2021-10-08T21:47:57.631+03:00,   0.251E-01,   4.36729
    300,2021-10-08T21:48:12.052+03:00,   0.262E-01,   6.74523
    400,2021-10-08T21:48:27.580+03:00,   0.253E-01,   9.15441
    500,2021-10-08T21:48:45.593+03:00,   0.211E-01,  11.48438
    600,2021-10-08T21:49:04.169+03:00,   0.220E-01,  13.45925
    700,2021-10-08T21:49:21.341+03:00,   0.242E-01,  15.66797
    800,2021-10-08T21:49:37.501+03:00,   0.188E-01,  17.82136
    900,2021-10-08T21:49:53.050+03:00,   0.198E-01,  20.12270
   1000,2021-10-08T21:50:09.042+03:00,   0.182E-01,  22.16701
   1100,2021-10-08T21:50:24.862+03:00,   0.246E-01,  24.37755
   1200,2021-10-08T21:50:40.962+03:00,   0.207E-01,  26.49993
   1300,2021-10-08T21:50:57.285+03:00,   0.163E-01,  28.65544
   1400,2021-10-08T21:51:13.531+03:00,   0.178E-01,  30.70181
   1500,2021-10-08T21:51:29.668+03:00,   0.221E-01,  32.99752
   1600,2021-10-08T21:51:45.869+03:00,   0.204E-01,  35.27507
   1700,2021-10-08T21:52:02.014+03:00,   0.227E-01,  37.62713
   1800,2021-10-08T21:52:18.215+03:00,   0.242E-01,  39.90517
   1900,2021-10-08T21:52:34.615+03:00,   0.178E-01,  42.00250
   2000,2021-10-08T21:52:50.884+03:00,   0.182E-01,  44.13943
   2100,2021-10-08T21:53:06.886+03:00,   0.257E-01,  46.45153
   2200,2021-10-08T21:53:23.223+03:00,   0.256E-01,  48.80224
   2300,2021-10-08T21:53:40.551+03:00,   0.186E-01,  51.00304
   2400,2021-10-08T21:53:56.590+03:00,   0.208E-01,  53.11673
   2500,2021-10-08T21:54:12.613+03:00,   0.240E-01,  55.46430
   2600,2021-10-08T21:54:28.800+03:00,   0.232E-01,  57.61462
   2700,2021-10-08T21:54:45.043+03:00,   0.242E-01,  59.75549
   2800,2021-10-08T21:55:01.367+03:00,   0.195E-01,  61.99051
   2900,2021-10-08T21:55:17.413+03:00,   0.199E-01,  63.87167
   3000,2021-10-08T21:55:33.486+03:00,   0.231E-01,  66.10222
   3100,2021-10-08T21:55:49.605+03:00,   0.232E-01,  68.35690
   3200,2021-10-08T21:56:05.897+03:00,   0.213E-01,  70.51712
   3300,2021-10-08T21:56:21.912+03:00,   0.235E-01,  72.80105
   3400,2021-10-08T21:56:38.046+03:00,   0.246E-01,  75.00124
   3500,2021-10-08T21:56:54.060+03:00,   0.207E-01,  77.07788
   3600,2021-10-08T21:57:10.925+03:00,   0.230E-01,  79.23053
   3700,2021-10-08T21:57:29.809+03:00,   0.192E-01,  81.44779
   3800,2021-10-08T21:57:45.713+03:00,   0.216E-01,  83.60723
   3900,2021-10-08T21:58:01.726+03:00,   0.244E-01,  85.88955
   4000,2021-10-08T21:58:17.938+03:00,   0.177E-01,  87.81106
   4100,2021-10-08T21:58:34.094+03:00,   0.179E-01,  89.93221
   4200,2021-10-08T21:58:50.025+03:00,   0.255E-01,  92.30737
