,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-10-12T15:21:21.268+03:00,   0.286E-01,   0.02864
      2,2021-10-12T15:21:21.441+03:00,   0.315E-01,   0.06014
      3,2021-10-12T15:21:21.602+03:00,   0.347E-01,   0.09479
      4,2021-10-12T15:21:21.821+03:00,   0.347E-01,   0.12945
      5,2021-10-12T15:21:22.040+03:00,   0.347E-01,   0.16410
      6,2021-10-12T15:21:22.213+03:00,   0.347E-01,   0.19875
      7,2021-10-12T15:21:22.438+03:00,   0.347E-01,   0.23341
      8,2021-10-12T15:21:22.689+03:00,   0.307E-01,   0.26413
      9,2021-10-12T15:21:22.862+03:00,   0.307E-01,   0.29486
     10,2021-10-12T15:21:23.065+03:00,   0.307E-01,   0.32558
     20,2021-10-12T15:21:24.454+03:00,   0.307E-01,   0.63284
     30,2021-10-12T15:21:25.871+03:00,   0.307E-01,   0.94010
     40,2021-10-12T15:21:27.447+03:00,   0.236E-01,   1.19012
     50,2021-10-12T15:21:28.937+03:00,   0.207E-01,   1.39684
     60,2021-10-12T15:21:30.459+03:00,   0.204E-01,   1.59034
     70,2021-10-12T15:21:31.980+03:00,   0.204E-01,   1.79404
     80,2021-10-12T15:21:33.463+03:00,   0.177E-01,   1.99244
     90,2021-10-12T15:21:35.142+03:00,   0.158E-01,   2.16576
    100,2021-10-12T15:21:36.939+03:00,   0.174E-01,   2.32826
    200,2021-10-12T15:21:54.674+03:00,   0.255E-01,   4.40997
    300,2021-10-12T15:22:14.999+03:00,   0.245E-01,   6.82802
    400,2021-10-12T15:22:43.186+03:00,   0.247E-01,   9.16470
    500,2021-10-12T15:23:11.227+03:00,   0.257E-01,  11.44667
    600,2021-10-12T15:23:39.129+03:00,   0.220E-01,  13.65439
    700,2021-10-12T15:24:07.199+03:00,   0.257E-01,  15.70204
    800,2021-10-12T15:24:36.072+03:00,   0.192E-01,  17.91059
    900,2021-10-12T15:25:05.114+03:00,   0.188E-01,  19.81036
   1000,2021-10-12T15:25:33.541+03:00,   0.253E-01,  21.85480
   1100,2021-10-12T15:26:02.206+03:00,   0.256E-01,  24.08645
   1200,2021-10-12T15:26:31.065+03:00,   0.187E-01,  26.28526
   1300,2021-10-12T15:26:59.772+03:00,   0.239E-01,  28.53344
   1400,2021-10-12T15:27:28.787+03:00,   0.215E-01,  30.58654
